,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,C200228C00060000,2020-02-25 1:53PM EST,60.0,9.6,9.4,9.5,0.15,+1.59%,15,0,50.0,1
1,C200228C00065000,2020-02-25 2:38PM EST,65.0,4.55,4.45,4.65,0.0,-,2,0,56.06,1
2,C200228C00066500,2020-02-26 12:48PM EST,66.5,3.25,3.15,3.25,-0.4,-10.96%,41,0,48.63,1
3,C200228C00067000,2020-02-26 12:29PM EST,67.0,2.86,2.73,2.78,0.01,+0.35%,88,0,44.92,1
4,C200228C00067500,2020-02-25 3:45PM EST,67.5,2.64,2.8,2.84,-0.14,-5.04%,12,-,65.72,1
5,C200228C00068000,2020-02-26 12:19PM EST,68.0,1.76,1.91,1.94,-0.55,-23.81%,50,0,41.02,1
6,C200228C00068500,2020-02-25 3:43PM EST,68.5,2.13,1.99,2.02,0.2,+10.36%,2,-,58.11,1
7,C200228C00069000,2020-02-26 12:54PM EST,69.0,1.27,1.21,1.24,-0.22,-14.77%,271,0,38.67,1
8,C200228C00069500,2020-02-26 1:02PM EST,69.5,1.0,0.91,0.94,-0.36,-26.47%,251,0,37.4,1
9,C200228C00070000,2020-02-26 1:12PM EST,70.0,0.68,0.67,0.69,-0.38,-35.85%,854,0,36.43,1
10,C200228C00070500,2020-02-26 12:58PM EST,70.5,0.51,0.47,0.49,-0.33,-39.29%,230,0,35.65,1
11,C200228C00071000,2020-02-26 12:40PM EST,71.0,0.33,0.31,0.32,-0.36,-52.17%,398,512,34.38,1
12,C200228C00071500,2020-02-26 12:31PM EST,71.5,0.22,0.19,0.2,-0.19,-46.34%,156,0,33.4,1
13,C200228C00072000,2020-02-26 10:31AM EST,72.0,0.28,0.27,0.28,-0.05,-15.15%,140,-,43.36,1
14,C200228C00072500,2020-02-26 12:12PM EST,72.5,0.09,0.06,0.07,-0.14,-60.87%,179,559,32.42,1
15,C200228C00073000,2020-02-26 10:20AM EST,73.0,0.12,0.03,0.05,-0.02,-14.29%,362,0,33.79,1
16,C200228C00073500,2020-02-26 11:09AM EST,73.5,0.03,0.02,0.03,-0.09,-75.00%,28,0,33.99,1
17,C200228C00074000,2020-02-26 12:08PM EST,74.0,0.02,0.0,0.03,-0.06,-75.00%,164,0,37.11,1
18,C200228C00074500,2020-02-26 9:48AM EST,74.5,0.02,0.0,0.03,-0.04,-66.67%,53,0,40.63,1
19,C200228C00075000,2020-02-26 11:25AM EST,75.0,0.02,0.0,0.02,-0.02,-50.00%,12,0,41.02,1
20,C200228C00075500,2020-02-26 12:04PM EST,75.5,0.02,0.0,0.03,-0.04,-66.67%,107,0,46.88,1
