,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,DAL200228P00045000,2020-02-26 1:01PM EST,45.0,0.23,0.26,0.28,-0.14,-37.84%,471,99,90.63,1
1,DAL200228P00045500,2020-02-26 1:06PM EST,45.5,0.31,0.28,0.32,-0.05,-13.89%,12,70,85.74,1
2,DAL200228P00046000,2020-02-26 10:04AM EST,46.0,0.31,0.23,0.3,0.01,+3.33%,26,-,74.41,1
3,DAL200228P00046500,2020-02-25 2:28PM EST,46.5,0.54,0.29,0.35,0.19,+54.29%,4,-,71.09,1
4,DAL200228P00047000,2020-02-26 1:09PM EST,47.0,0.42,0.41,0.46,0.03,+7.69%,176,12,71.39,1
5,DAL200228P00047500,2020-02-25 3:52PM EST,47.5,0.57,0.31,0.45,0.0,-,-,-,58.2,1
6,DAL200228P00048000,2020-02-26 1:23PM EST,48.0,0.6,0.57,0.61,-0.15,-20.00%,222,126,62.21,1
7,DAL200228P00048500,2020-02-26 12:44PM EST,48.5,0.62,0.67,0.73,-0.07,-10.14%,85,89,57.72,1
8,DAL200228P00049000,2020-02-26 1:22PM EST,49.0,0.82,0.8,0.85,0.03,+3.80%,2457,176,52.44,1
9,DAL200228P00049500,2020-02-26 10:19AM EST,49.5,0.7,0.59,0.67,-0.23,-24.73%,113,-,29.0,1
10,DAL200228P00050000,2020-02-26 1:23PM EST,50.0,1.19,1.17,1.2,0.11,+10.19%,3015,923,41.6,1
31,DAL200228P00061000,2020-02-21 3:12PM EST,61.0,3.59,10.3,12.8,0.0,-,11,0,240.33,1
32,DAL200228P00061500,2020-02-19 9:56AM EST,61.5,3.2,10.7,13.4,0.0,-,-,0,254.1,1
36,DAL200228P00065000,2020-02-24 11:26AM EST,65.0,11.32,14.05,16.8,0.0,-,2,52,282.81,1
0,DAL200306P00044000,2020-02-26 9:43AM EST,44.0,0.55,0.37,0.45,0.12,+27.91%,8,-,66.6,8
1,DAL200306P00045000,2020-02-26 1:16PM EST,45.0,0.57,0.57,0.62,0.07,+14.00%,69,193,66.21,8
2,DAL200306P00045500,2020-02-26 1:24PM EST,45.5,0.66,0.63,0.67,-0.02,-2.94%,60,103,63.57,8
3,DAL200306P00046000,2020-02-26 1:05PM EST,46.0,0.65,0.69,0.74,-0.08,-10.96%,294,87,61.04,8
4,DAL200306P00046500,2020-02-26 10:21AM EST,46.5,0.66,0.55,0.65,-0.04,-5.71%,24,-,51.17,8
5,DAL200306P00047000,2020-02-26 10:02AM EST,47.0,0.72,0.63,0.68,-0.13,-15.29%,29,-,48.88,8
6,DAL200306P00047500,2020-02-26 10:40AM EST,47.5,0.73,0.7,0.76,-0.19,-20.65%,20,-,46.09,8
7,DAL200306P00048000,2020-02-26 1:24PM EST,48.0,1.13,1.12,1.13,0.13,+13.00%,140,12,52.25,8
8,DAL200306P00048500,2020-02-26 1:15PM EST,48.5,1.2,1.23,1.27,0.12,+11.11%,297,24,50.15,8
9,DAL200306P00049000,2020-02-26 1:12PM EST,49.0,1.38,1.39,1.43,0.14,+11.29%,130,200,47.85,8
10,DAL200306P00049500,2020-02-26 1:24PM EST,49.5,1.61,1.6,1.64,0.28,+21.05%,46,402,46.39,8
11,DAL200306P00050000,2020-02-26 1:15PM EST,50.0,1.71,1.79,1.84,0.1,+6.21%,502,0,43.75,8
