,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,DGX200320C00085000,2020-01-21 10:35AM EST,85.0,22.42,26.0,30.5,0.0,-,-,0,118.36,22
1,DGX200320C00095000,2020-02-07 9:30AM EST,95.0,17.0,13.6,17.2,0.0,-,2,1,70.31,22
2,DGX200320C00105000,2020-02-26 12:59PM EST,105.0,6.6,6.2,6.7,-1.8,-21.43%,1,0,33.01,22
3,DGX200320C00110000,2020-02-25 3:52PM EST,110.0,2.9,2.8,3.0,0.0,-,4,95,26.44,22
4,DGX200320C00115000,2020-02-25 2:47PM EST,115.0,0.62,0.6,0.75,-0.03,-4.62%,23,375,21.53,22
5,DGX200320C00120000,2020-02-25 3:37PM EST,120.0,0.1,0.05,0.15,0.0,-,6,62,21.29,22
6,DGX200320C00125000,2020-02-21 10:14AM EST,125.0,0.04,0.0,0.05,0.0,-,100,155,23.93,22
0,DGX200417C00115000,2020-02-24 10:51AM EST,115.0,1.95,1.4,1.65,0.0,-,-,-,21.23,50
1,DGX200417C00120000,2020-02-25 3:47PM EST,120.0,0.45,0.35,0.45,0.0,-,-,-,18.92,50
0,DGX200515C00060000,2020-01-10 2:47PM EST,60.0,46.78,50.3,54.6,0.0,-,2,0,109.96,78
1,DGX200515C00075000,2020-02-18 12:07AM EST,75.0,36.8,33.7,38.4,0.0,-,-,0,59.94,78
2,DGX200515C00080000,2020-01-13 10:09AM EST,80.0,27.2,30.7,35.0,0.0,-,-,0,71.16,78
4,DGX200515C00095000,2020-01-29 9:44AM EST,95.0,16.8,16.0,16.8,0.0,-,3,7,35.47,78
5,DGX200515C00100000,2020-01-23 9:36AM EST,100.0,10.15,13.5,14.3,0.0,-,4,0,42.55,78
6,DGX200515C00105000,2020-02-25 2:02PM EST,105.0,8.4,7.6,8.2,0.0,-,1,890,26.39,78
7,DGX200515C00110000,2020-02-25 1:51PM EST,110.0,4.8,4.5,4.8,-0.07,-1.44%,5,116,23.24,78
8,DGX200515C00115000,2020-02-26 11:40AM EST,115.0,2.2,2.25,2.5,-0.7,-24.14%,6,0,21.67,78
9,DGX200515C00120000,2020-02-24 2:50PM EST,120.0,0.98,0.85,1.05,-0.02,-2.00%,4,0,20.12,78
10,DGX200515C00125000,2020-02-20 1:15PM EST,125.0,0.4,0.25,0.4,0.0,-,20,21,19.53,78
11,DGX200515C00130000,2020-02-21 3:58PM EST,130.0,0.09,0.0,0.25,0.0,-,1,1,21.58,78
12,DGX200515C00135000,2020-02-18 10:51AM EST,135.0,0.05,0.0,0.1,0.0,-,-,0,21.63,78
0,DGX200821C00090000,2020-01-27 11:30AM EST,90.0,22.5,21.1,21.9,0.0,-,2,0,29.88,176
1,DGX200821C00100000,2020-02-19 9:46AM EST,100.0,14.68,12.5,13.1,0.0,-,4,11,23.78,176
2,DGX200821C00105000,2020-01-27 2:37PM EST,105.0,10.5,8.8,9.4,0.0,-,12,22,21.94,176
3,DGX200821C00110000,2020-02-21 12:26PM EST,110.0,7.4,5.8,6.2,0.0,-,3,326,20.15,176
4,DGX200821C00115000,2020-02-20 9:34AM EST,115.0,4.18,3.4,3.8,0.0,-,20,61,18.99,176
5,DGX200821C00120000,2020-02-24 10:07AM EST,120.0,2.25,1.8,2.1,0.0,-,5,0,17.99,176
6,DGX200821C00125000,2020-02-24 12:12PM EST,125.0,1.4,0.8,1.05,0.0,-,35,73,17.23,176
7,DGX200821C00130000,2020-02-10 10:13AM EST,130.0,0.45,0.3,0.5,0.0,-,1,0,16.87,176
8,DGX200821C00140000,2020-01-13 12:08AM EST,140.0,0.1,0.05,0.2,0.0,-,-,15,18.58,176
0,DGX201218C00100000,2020-02-19 11:01AM EST,100.0,15.9,13.9,14.5,0.0,-,-,0,22.67,295
1,DGX201218C00110000,2020-02-19 1:19PM EST,110.0,8.38,7.5,7.9,0.0,-,5,6,19.9,295
2,DGX201218C00115000,2020-02-19 3:10PM EST,115.0,5.2,5.1,5.5,0.0,-,3,0,19.09,295
3,DGX201218C00120000,2020-02-25 2:35PM EST,120.0,3.3,3.4,3.8,0.0,-,-,-,18.83,295
4,DGX201218C00125000,2020-02-20 2:34PM EST,125.0,2.3,1.9,2.25,0.0,-,-,0,17.68,295
5,DGX201218C00135000,2020-02-18 12:08PM EST,135.0,0.55,0.5,0.75,0.0,-,-,2,16.76,295
