,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,DGX200320P00075000,2020-01-21 10:35AM EST,75.0,0.07,0.00,0.05,0.0,-,-,0,58.98,22
1,DGX200320P00085000,2020-01-27 12:09AM EST,85.0,0.12,-,0.05,0.0,-,-,0,45.12,22
2,DGX200320P00095000,2020-02-25 12:56PM EST,95.0,0.1,0.00,0.2,0.0,-,1,0,35.21,22
3,DGX200320P00100000,2020-02-24 11:54AM EST,100.0,0.22,0.15,0.35,0.0,-,1,15,28.71,22
4,DGX200320P00105000,2020-02-21 1:37PM EST,105.0,0.7,0.65,0.8,0.25,+55.56%,52,0,23.41,22
5,DGX200320P00110000,2020-02-26 11:36AM EST,110.0,1.75,1.90,2.15,-0.5,-22.22%,5,0,19.34,22
6,DGX200320P00115000,2020-01-28 3:47PM EST,115.0,5.74,4.60,5.1,0.0,-,-,1,12.75,22
0,DGX200417P00110000,2020-02-25 11:24AM EST,110.0,2.65,2.7,2.95,0.0,-,-,-,17.97,50
0,DGX200515P00065000,2019-11-21 12:12PM EST,65.0,0.15,0.0,0.15,0.0,-,-,0,54.3,78
1,DGX200515P00070000,2019-11-07 9:41AM EST,70.0,0.4,0.0,0.0,0.0,-,20,25,25.0,78
2,DGX200515P00080000,2020-01-29 10:58AM EST,80.0,0.2,0.0,0.25,0.0,-,10,0,38.23,78
3,DGX200515P00085000,2020-02-05 1:20PM EST,85.0,0.25,0.15,0.35,0.0,-,1,0,34.23,78
4,DGX200515P00090000,2020-02-19 12:14PM EST,90.0,0.22,0.35,0.55,0.0,-,1,0,31.06,78
5,DGX200515P00095000,2020-02-24 12:37PM EST,95.0,0.59,0.65,0.85,0.0,-,1,0,27.71,78
6,DGX200515P00100000,2020-02-06 12:03PM EST,100.0,0.7,1.2,1.45,0.0,-,5,0,25.16,78
7,DGX200515P00105000,2020-02-26 11:45AM EST,105.0,2.1,2.25,2.45,-0.4,-16.00%,19,82,22.6,78
8,DGX200515P00110000,2020-02-26 11:22AM EST,110.0,3.7,3.9,4.3,0.7,+23.33%,31,0,21.06,78
9,DGX200515P00115000,2020-02-20 12:13PM EST,115.0,5.2,6.6,7.0,0.0,-,10,12,19.3,78
10,DGX200515P00120000,2020-01-31 3:22PM EST,120.0,10.55,10.2,10.7,0.0,-,2,0,17.9,78
0,DGX200821P00065000,2020-01-16 10:14AM EST,65.0,0.1,0.0,0.2,0.0,-,18,23,38.09,176
1,DGX200821P00075000,2019-12-26 12:09PM EST,75.0,0.51,0.15,0.7,0.0,-,-,0,36.89,176
2,DGX200821P00085000,2020-02-20 11:34AM EST,85.0,0.5,0.55,0.7,0.0,-,1,11,26.88,176
3,DGX200821P00090000,2020-02-05 11:29AM EST,90.0,0.85,0.85,1.1,0.0,-,2,0,25.2,176
4,DGX200821P00095000,2020-01-16 2:41PM EST,95.0,2.15,0.95,1.45,0.0,-,5,96,22.19,176
5,DGX200821P00100000,2020-02-03 10:15AM EST,100.0,2.5,2.15,2.45,0.0,-,1,16,21.33,176
6,DGX200821P00105000,2020-02-18 11:57AM EST,105.0,3.1,3.4,3.8,0.0,-,13,45,20.02,176
7,DGX200821P00110000,2020-01-31 9:32AM EST,110.0,5.22,5.3,5.7,0.0,-,5,10,18.7,176
8,DGX200821P00115000,2020-02-18 2:25PM EST,115.0,6.9,7.9,8.3,0.0,-,2,1402,17.48,176
9,DGX200821P00125000,2020-01-31 3:24PM EST,125.0,15.16,15.1,15.7,0.0,-,1,0,15.55,176
10,DGX200821P00130000,2020-02-25 6:46PM EST,130.0,20.0,19.5,20.3,0.0,-,-,1,15.6,176
0,DGX201218P00080000,2020-02-24 9:49AM EST,80.0,0.9,0.85,1.05,0.0,-,-,-,27.25,295
1,DGX201218P00085000,2020-02-24 9:49AM EST,85.0,1.3,1.2,1.45,0.1,+8.33%,1,2,25.49,295
2,DGX201218P00090000,2020-02-24 3:50PM EST,90.0,1.6,1.65,1.9,0.0,-,-,-,23.38,295
3,DGX201218P00100000,2020-02-24 10:44AM EST,100.0,3.1,3.6,4.0,0.0,-,-,1,21.34,295
4,DGX201218P00105000,2020-02-18 12:07AM EST,105.0,4.1,5.1,5.4,0.0,-,-,2,19.84,295
5,DGX201218P00110000,2020-02-20 11:31AM EST,110.0,6.63,7.0,7.5,0.0,-,5,0,19.04,295
6,DGX201218P00115000,2020-02-18 12:07AM EST,115.0,8.2,9.5,10.0,0.0,-,-,15,17.96,295
7,DGX201218P00120000,2020-02-19 11:02AM EST,120.0,10.69,12.6,13.2,0.0,-,-,15,17.32,295
