,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,DHR200320P00075000,2020-02-24 9:35AM EST,75.0,0.05,0.0,0.1,0.0,-,1,11,108.59,22
1,DHR200320P00080000,2020-02-24 9:35AM EST,80.0,0.05,0.0,0.1,0.0,-,1,3,99.22,22
2,DHR200320P00095000,2019-12-11 11:03AM EST,95.0,0.17,0.0,0.1,0.0,-,3,0,74.61,22
3,DHR200320P00100000,2020-01-10 10:44AM EST,100.0,0.05,0.0,0.25,0.0,-,5,20,75.59,22
4,DHR200320P00105000,2019-11-05 11:39AM EST,105.0,1.0,0.05,0.7,0.0,-,5,0,80.96,22
5,DHR200320P00110000,2020-01-17 3:56PM EST,110.0,0.05,0.0,0.05,0.0,-,2,62,53.32,22
6,DHR200320P00115000,2020-02-20 1:57PM EST,115.0,0.02,0.0,0.25,0.0,-,1,113,53.13,22
7,DHR200320P00120000,2020-01-08 10:18AM EST,120.0,0.33,0.0,0.15,0.0,-,20,58,47.36,22
8,DHR200320P00125000,2020-02-25 2:01PM EST,125.0,0.2,0.2,0.5,0.0,-,1,338,50.93,22
9,DHR200320P00130000,2020-02-25 1:06PM EST,130.0,0.35,0.05,0.45,0.0,-,2,353,41.75,22
10,DHR200320P00135000,2020-02-25 3:07PM EST,135.0,0.67,0.4,0.5,0.0,-,17,326,34.72,22
11,DHR200320P00140000,2020-02-25 1:32PM EST,140.0,0.85,0.75,0.85,-0.3,-26.09%,3,0,31.2,22
12,DHR200320P00145000,2020-02-26 11:04AM EST,145.0,1.2,1.4,1.6,-1.15,-48.94%,10,0,28.72,22
13,DHR200320P00150000,2020-02-25 1:00PM EST,150.0,2.3,2.65,2.85,-1.7,-42.50%,3,0,25.76,22
14,DHR200320P00155000,2020-02-26 12:16PM EST,155.0,5.03,4.6,5.0,-1.87,-27.10%,5,879,23.06,22
15,DHR200320P00160000,2020-02-26 11:28AM EST,160.0,6.63,7.6,8.0,-1.04,-13.56%,19,0,17.58,22
0,DHR200417P00125000,2020-02-25 11:59AM EST,125.0,0.48,0.3,0.6,0.0,-,2,0,36.08,50
1,DHR200417P00135000,2020-02-25 12:20PM EST,135.0,1.05,0.85,1.3,0.0,-,-,-,31.1,50
2,DHR200417P00140000,2020-02-25 1:35PM EST,140.0,2.0,1.4,1.8,0.0,-,-,-,27.87,50
3,DHR200417P00145000,2020-02-25 3:13PM EST,145.0,3.53,2.35,2.7,0.0,-,-,-,25.4,50
4,DHR200417P00150000,2020-02-25 1:43PM EST,150.0,4.0,4.3,5.0,-0.74,-15.61%,1,461,27.14,50
5,DHR200417P00155000,2020-02-26 11:46AM EST,155.0,5.8,6.3,7.1,-0.08,-1.36%,3,8,24.96,50
6,DHR200417P00160000,2020-02-25 9:55AM EST,160.0,6.7,8.4,8.9,0.0,-,-,-,17.55,50
0,DHR200619P00100000,2019-12-12 10:30AM EST,100.0,0.55,0.25,0.6,0.0,-,4,0,44.87,113
1,DHR200619P00105000,2020-01-08 9:52AM EST,105.0,0.25,0.05,0.45,0.0,-,-,16,38.26,113
2,DHR200619P00110000,2019-11-21 11:42AM EST,110.0,1.85,0.6,0.9,0.0,-,34,0,39.62,113
3,DHR200619P00115000,2020-02-03 3:39PM EST,115.0,0.59,0.9,1.05,0.0,-,2,0,36.6,113
4,DHR200619P00120000,2020-02-25 1:02PM EST,120.0,1.17,1.1,1.3,0.0,-,1,0,34.12,113
5,DHR200619P00125000,2020-02-26 12:47PM EST,125.0,1.65,1.6,1.75,-0.35,-17.50%,29,69,32.47,113
6,DHR200619P00130000,2020-02-25 11:34AM EST,130.0,2.0,2.1,2.3,-0.55,-21.57%,1,0,30.64,113
