,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,DISCK200320C00020000,2019-12-24 9:40AM EST,20.0,10.8,8.3,8.7,0.0,-,16,14,231.64,22
1,DISCK200320C00025000,2020-02-25 10:02AM EST,25.0,2.5,1.5,1.7,0.0,-,1,138,51.27,22
2,DISCK200320C00027500,2020-02-19 11:24AM EST,27.5,1.95,0.4,0.55,0.0,-,1,191,48.34,22
3,DISCK200320C00030000,2020-02-25 12:17PM EST,30.0,0.2,0.1,0.15,0.0,-,107,1754,48.05,22
4,DISCK200320C00032500,2020-02-25 12:14PM EST,32.5,0.05,0.0,0.1,0.0,-,200,0,51.56,22
5,DISCK200320C00035000,2020-02-25 11:06AM EST,35.0,0.05,0.0,0.1,0.0,-,4,20,64.06,22
6,DISCK200320C00042500,2019-09-27 12:19PM EST,42.5,0.03,0.0,0.05,0.0,-,10,16,85.94,22
0,DISCK200619C00025000,2019-12-20 11:50AM EST,25.0,6.63,4.4,4.5,0.0,-,3,14,74.51,113
1,DISCK200619C00027500,2020-02-24 2:01PM EST,27.5,1.86,1.2,1.4,0.0,-,1,0,38.04,113
2,DISCK200619C00030000,2020-02-20 3:35PM EST,30.0,1.36,0.55,0.7,0.0,-,68,461,36.67,113
3,DISCK200619C00032500,2020-02-18 11:22AM EST,32.5,0.72,0.2,0.3,0.0,-,2,69,35.11,113
4,DISCK200619C00035000,2020-02-12 1:52PM EST,35.0,0.25,0.05,0.15,0.0,-,2,48,35.84,113
5,DISCK200619C00037500,2020-01-21 1:12PM EST,37.5,0.3,0.0,0.0,0.0,-,-,0,12.5,113
0,DISCK200918C00022500,2020-01-28 10:13AM EST,22.5,7.1,4.5,4.8,0.0,-,-,0,42.68,204
1,DISCK200918C00025000,2020-02-20 3:25PM EST,25.0,5.1,3.0,3.2,0.0,-,-,0,38.87,204
2,DISCK200918C00027500,2020-02-24 2:01PM EST,27.5,2.54,1.85,2.05,0.0,-,1,0,37.06,204
3,DISCK200918C00030000,2020-02-18 9:32AM EST,30.0,2.15,1.05,1.25,0.0,-,3,333,35.84,204
4,DISCK200918C00032500,2020-01-22 10:02AM EST,32.5,2.06,0.0,0.0,0.0,-,-,0,6.25,204
5,DISCK200918C00040000,2020-02-07 1:33PM EST,40.0,0.2,0.0,0.15,0.0,-,1,0,35.06,204
6,DISCK200918C00042500,2020-01-21 2:58PM EST,42.5,0.16,0.0,0.0,0.0,-,-,0,12.5,204
