,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,DISCK200320P00017500,2019-11-07 9:32AM EST,17.5,0.1,0.0,0.1,0.0,-,-,5,78.52,22
1,DISCK200320P00020000,2019-12-30 2:50PM EST,20.0,0.09,0.0,0.1,0.0,-,15,19,54.3,22
2,DISCK200320P00022500,2020-02-26 9:44AM EST,22.5,0.2,0.15,0.3,-0.05,-20.00%,35,1238,52.34,22
3,DISCK200320P00025000,2020-02-25 12:50PM EST,25.0,0.75,0.75,0.85,0.15,+25.00%,2,122,42.19,22
4,DISCK200320P00027500,2020-02-21 11:17AM EST,27.5,1.8,2.1,2.3,0.0,-,20,0,37.6,22
8,DISCK200320P00037500,2019-07-26 8:41AM EST,37.5,8.5,11.4,12.4,0.0,-,10,10,115.92,22
0,DISCK200619P00022500,2020-02-25 1:09PM EST,22.5,0.55,0.65,0.75,0.0,-,300,336,35.21,113
1,DISCK200619P00025000,2020-02-21 3:17PM EST,25.0,0.78,1.5,1.65,0.0,-,4,53,33.62,113
2,DISCK200619P00027500,2020-02-21 3:18PM EST,27.5,2.55,2.85,3.0,0.0,-,20,0,31.1,113
3,DISCK200619P00030000,2020-02-21 3:01PM EST,30.0,3.0,4.6,4.9,0.0,-,13,68,30.08,113
0,DISCK200918P00022500,2020-02-25 2:01PM EST,22.5,1.15,1.0,1.15,0.0,-,-,-,32.91,204
1,DISCK200918P00025000,2020-02-21 1:16PM EST,25.0,2.05,2.05,2.25,0.0,-,10,0,33.13,204
2,DISCK200918P00027500,2020-02-05 2:57PM EST,27.5,3.0,3.3,3.6,0.0,-,100,0,31.4,204
3,DISCK200918P00030000,2020-02-05 2:57PM EST,30.0,3.0,5.0,5.3,0.0,-,34,0,29.37,204
4,DISCK200918P00035000,2020-02-25 1:24PM EST,35.0,9.03,9.3,9.5,0.0,-,1,1,19.14,204
