,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,DISH200228C00031500,2020-02-12 9:38AM EST,31.5,10.3,5.0,5.9,0.0,-,-,10,151.37,1
1,DISH200228C00035500,2020-01-24 10:34AM EST,35.5,2.7,4.9,6.0,0.0,-,40,0,374.71,1
2,DISH200228C00036000,2020-02-13 10:56AM EST,36.0,4.8,1.15,1.35,0.0,-,12,611,68.56,1
3,DISH200228C00036500,2020-02-26 10:10AM EST,36.5,1.55,0.8,0.95,-0.38,-19.69%,10,23,61.13,1
4,DISH200228C00037000,2020-02-25 3:35PM EST,37.0,1.09,0.55,0.7,0.0,-,33,51,59.77,1
5,DISH200228C00037500,2020-02-13 10:34AM EST,37.5,2.2,0.35,0.5,0.0,-,1,0,58.59,1
6,DISH200228C00038000,2020-02-26 12:31PM EST,38.0,0.35,0.2,0.3,-0.3,-46.15%,8,0,55.08,1
7,DISH200228C00038500,2020-02-25 1:45PM EST,38.5,0.44,0.1,0.2,0.0,-,15,170,54.3,1
8,DISH200228C00039000,2020-02-24 3:50PM EST,39.0,0.28,0.05,0.15,0.0,-,12,0,55.86,1
9,DISH200228C00039500,2020-02-24 3:12PM EST,39.5,0.55,0.05,0.1,0.0,-,13,0,59.38,1
10,DISH200228C00040000,2020-02-24 3:23PM EST,40.0,0.05,0.0,0.1,-0.1,-66.67%,3,0,60.94,1
11,DISH200228C00040500,2020-02-25 12:57PM EST,40.5,0.1,0.0,0.1,0.0,-,10,43,67.58,1
12,DISH200228C00041000,2020-02-25 3:00PM EST,41.0,0.35,0.0,0.1,0.34,"+3,400.00%",1,74,74.22,1
13,DISH200228C00041500,2020-02-25 1:32PM EST,41.5,0.05,0.0,0.05,0.0,-,12,49,71.09,1
14,DISH200228C00042000,2020-02-25 3:44PM EST,42.0,0.06,0.0,0.1,0.0,-,3,0,86.33,1
15,DISH200228C00042500,2020-02-24 3:23PM EST,42.5,0.07,0.0,0.3,0.0,-,6,7,116.41,1
16,DISH200228C00043000,2020-02-24 12:26PM EST,43.0,0.1,0.0,0.05,0.0,-,10,197,87.5,1
17,DISH200228C00043500,2020-02-21 3:56PM EST,43.5,0.15,0.0,0.1,0.0,-,2,5,103.91,1
18,DISH200228C00044000,2020-02-20 12:09PM EST,44.0,0.25,0.0,0.05,0.0,-,22,144,97.66,1
19,DISH200228C00044500,2020-02-19 10:21AM EST,44.5,0.36,0.0,0.2,0.0,-,-,0,130.47,1
20,DISH200228C00045000,2020-02-24 9:30AM EST,45.0,0.46,0.0,0.05,0.0,-,2,33,107.81,1
21,DISH200228C00046000,2020-02-20 11:44AM EST,46.0,0.05,0.0,0.05,0.0,-,1,22,117.19,1
22,DISH200228C00046500,2020-02-21 10:00AM EST,46.5,0.07,0.0,0.05,0.0,-,1,8,121.88,1
23,DISH200228C00047000,2020-02-18 3:55PM EST,47.0,0.55,0.0,0.05,0.0,-,21,24,126.56,1
24,DISH200228C00047500,2020-02-24 9:30AM EST,47.5,0.27,0.0,0.15,0.0,-,2,2,155.47,1
25,DISH200228C00048000,2020-02-19 9:59AM EST,48.0,0.1,0.0,0.1,0.0,-,3,20,150.0,1
26,DISH200228C00048500,2020-02-19 9:39AM EST,48.5,0.1,0.0,0.1,0.0,-,-,0,154.69,1
0,DISH200306C00036000,2020-02-04 2:37PM EST,36.0,2.5,1.65,1.85,0.0,-,-,0,58.94,8
1,DISH200306C00036500,2020-02-07 1:51PM EST,36.5,2.15,1.35,1.55,0.0,-,4,13,57.32,8
