,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,DIS200228P00100000,2020-02-26 1:12PM EST,100.0,0.01,0.0,0.03,0.0,-,102,33,87.5,1
1,DIS200228P00105000,2020-02-26 1:13PM EST,105.0,0.02,0.01,0.03,0.0,-,80,102,71.09,1
2,DIS200228P00110000,2020-02-26 1:19PM EST,110.0,0.05,0.04,0.05,0.0,-,212,230,58.2,1
3,DIS200228P00115000,2020-02-26 1:18PM EST,115.0,0.16,0.13,0.14,0.03,+23.08%,584,1351,46.29,1
4,DIS200228P00120000,2020-02-26 1:24PM EST,120.0,0.55,0.54,0.57,0.23,+71.88%,2102,1446,34.72,1
5,DIS200228P00122000,2020-02-26 1:24PM EST,122.0,1.01,0.96,0.99,0.57,+129.55%,1406,192,28.37,1
6,DIS200228P00123000,2020-02-26 1:26PM EST,123.0,1.3,1.32,1.35,0.72,+124.14%,2211,0,25.24,1
7,DIS200228P00124000,2020-02-26 1:25PM EST,124.0,1.71,1.68,1.73,0.97,+131.08%,2308,0,18.51,1
0,DIS200306P00100000,2020-02-26 1:19PM EST,100.0,0.1,0.08,0.1,0.01,+11.11%,356,0,60.94,8
1,DIS200306P00105000,2020-02-26 1:15PM EST,105.0,0.18,0.12,0.18,0.03,+20.00%,876,256,52.64,8
2,DIS200306P00110000,2020-02-26 1:12PM EST,110.0,0.32,0.3,0.31,0.07,+28.00%,396,0,46.0,8
3,DIS200306P00115000,2020-02-26 1:21PM EST,115.0,0.64,0.59,0.61,0.18,+39.13%,312,364,38.09,8
4,DIS200306P00120000,2020-02-26 1:25PM EST,120.0,1.43,1.41,1.44,0.53,+58.89%,2566,203,31.47,8
5,DIS200306P00122000,2020-02-26 1:23PM EST,122.0,2.02,2.01,2.04,0.88,+77.19%,886,355,28.66,8
6,DIS200306P00123000,2020-02-26 1:21PM EST,123.0,2.5,2.42,2.44,1.15,+85.19%,631,0,27.37,8
7,DIS200306P00124000,2020-02-26 1:24PM EST,124.0,2.81,2.79,2.83,1.21,+75.62%,940,221,25.0,8
8,DIS200306P00125000,2020-02-26 1:20PM EST,125.0,3.4,3.25,3.3,1.62,+91.01%,1524,476,22.46,8
9,DIS200306P00126000,2020-02-26 1:26PM EST,126.0,3.85,3.85,3.95,1.73,+81.60%,315,0,20.92,8
10,DIS200306P00127000,2020-02-26 12:55PM EST,127.0,4.25,4.45,4.55,1.71,+67.32%,340,0,15.43,8
0,DIS200313P00110000,2020-02-26 1:12PM EST,110.0,0.5,0.41,0.53,0.15,+42.86%,179,45,40.63,15
1,DIS200313P00115000,2020-02-26 1:24PM EST,115.0,0.95,0.91,0.99,0.33,+53.23%,193,39,34.96,15
2,DIS200313P00120000,2020-02-26 1:14PM EST,120.0,2.15,1.86,2.03,0.99,+85.34%,255,238,30.25,15
3,DIS200313P00122000,2020-02-26 1:24PM EST,122.0,2.61,2.53,2.69,1.07,+69.48%,44,47,28.28,15
4,DIS200313P00123000,2020-02-26 1:17PM EST,123.0,3.05,2.92,3.1,1.25,+69.44%,162,0,27.37,15
5,DIS200313P00124000,2020-02-26 1:23PM EST,124.0,3.45,3.35,3.55,1.56,+82.54%,363,67,26.29,15
6,DIS200313P00125000,2020-02-26 1:14PM EST,125.0,4.15,3.8,4.05,1.84,+79.65%,117,0,25.12,15
7,DIS200313P00126000,2020-02-26 12:43PM EST,126.0,3.96,4.35,4.6,1.47,+59.04%,111,107,23.76,15
8,DIS200313P00127000,2020-02-26 12:05PM EST,127.0,4.15,4.9,5.15,1.16,+38.80%,95,91,21.49,15
9,DIS200313P00128000,2020-02-26 12:48PM EST,128.0,4.9,5.6,5.8,1.6,+48.48%,53,156,19.12,15
10,DIS200313P00129000,2020-02-26 1:12PM EST,129.0,6.47,6.3,6.5,2.47,+61.75%,122,283,14.8,15
11,DIS200313P00130000,2020-02-26 12:51PM EST,130.0,6.28,7.1,7.45,1.88,+42.73%,136,0,14.36,15
0,DIS200320P00085000,2020-02-26 12:38PM EST,85.0,0.04,0.04,0.05,0.0,-,192,124,59.96,22
1,DIS200320P00090000,2020-02-26 12:46PM EST,90.0,0.07,0.08,0.09,0.02,+40.00%,118,435,56.06,22
2,DIS200320P00095000,2020-02-26 12:51PM EST,95.0,0.11,0.13,0.15,-0.02,-15.38%,299,0,51.17,22
3,DIS200320P00100000,2020-02-26 1:25PM EST,100.0,0.24,0.22,0.24,0.05,+26.32%,468,820,46.68,22
4,DIS200320P00105000,2020-02-26 1:12PM EST,105.0,0.39,0.36,0.39,0.08,+25.81%,637,2084,41.5,22
5,DIS200320P00110000,2020-02-26 1:24PM EST,110.0,0.67,0.65,0.68,0.16,+31.37%,895,0,36.82,22
6,DIS200320P00115000,2020-02-26 1:26PM EST,115.0,1.21,1.23,1.26,0.42,+53.16%,2793,3660,32.54,22
7,DIS200320P00120000,2020-02-26 1:26PM EST,120.0,2.34,2.36,2.43,0.89,+61.38%,5350,5665,28.91,22
8,DIS200320P00125000,2020-02-26 1:21PM EST,125.0,4.5,4.25,4.4,1.9,+73.08%,5439,8148,24.15,22
9,DIS200320P00128000,2020-02-26 1:12PM EST,128.0,6.13,6.05,6.2,2.33,+61.32%,943,1857,20.97,22
