,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,DLR200320P00095000,2020-01-31 3:46PM EST,95.0,0.25,0.0,0.1,0.0,-,1,0,53.52,22
1,DLR200320P00100000,2020-02-24 2:02PM EST,100.0,0.15,0.0,0.2,0.0,-,1,14,50.39,22
2,DLR200320P00105000,2020-02-14 3:08PM EST,105.0,0.39,0.0,0.15,0.0,-,10,0,45.31,22
3,DLR200320P00110000,2020-02-24 3:06PM EST,110.0,0.1,0.05,0.2,0.0,-,2,70,39.06,22
4,DLR200320P00115000,2020-02-24 12:08PM EST,115.0,0.3,0.2,0.3,0.06,+25.00%,2,0,33.45,22
5,DLR200320P00120000,2020-02-25 2:17PM EST,120.0,0.5,0.55,0.65,-0.05,-9.09%,27,1100,30.45,22
6,DLR200320P00125000,2020-02-26 11:21AM EST,125.0,1.35,1.3,1.45,0.35,+35.00%,33,465,28.1,22
7,DLR200320P00130000,2020-02-26 11:21AM EST,130.0,2.42,2.9,3.1,0.97,+66.90%,20,1739,26.54,22
8,DLR200320P00135000,2020-02-25 11:48AM EST,135.0,4.74,5.8,6.0,1.74,+58.00%,6,0,26.47,22
9,DLR200320P00140000,2020-02-25 12:02PM EST,140.0,5.8,9.8,10.1,0.0,-,4,0,29.15,22
10,DLR200320P00145000,2020-02-04 1:45PM EST,145.0,21.0,14.4,15.0,0.0,-,2,0,36.77,22
11,DLR200320P00155000,2020-02-24 2:25PM EST,155.0,21.1,23.2,24.1,0.0,-,-,-,26.56,22
0,DLR201016P00115000,2020-02-24 12:08PM EST,115.0,2.6,3.4,3.7,0.0,-,-,20,24.63,232
1,DLR201016P00120000,2020-02-24 10:35AM EST,120.0,4.85,4.5,4.9,1.24,+34.35%,1,-,23.43,232
2,DLR201016P00125000,2020-02-24 9:53AM EST,125.0,4.8,6.2,6.6,0.0,-,-,-,22.7,232
3,DLR201016P00130000,2020-02-25 10:19AM EST,130.0,6.4,8.3,8.7,0.0,-,-,-,22.0,232
