,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,DUK200320P00075000,2020-02-07 10:47AM EST,75.0,0.03,0.0,0.05,0.0,-,2,15,49.22,22
1,DUK200320P00080000,2020-02-13 10:34AM EST,80.0,0.03,0.0,0.1,0.0,-,5,0,43.46,22
2,DUK200320P00085000,2020-02-13 12:15PM EST,85.0,0.05,0.0,0.1,0.0,-,2,0,32.81,22
3,DUK200320P00087500,2020-02-18 10:31AM EST,87.5,0.03,0.0,0.2,0.0,-,20,0,31.79,22
4,DUK200320P00090000,2020-02-24 2:48PM EST,90.0,0.05,0.1,0.2,0.0,-,3,55,26.03,22
5,DUK200320P00092500,2020-02-25 3:42PM EST,92.5,0.3,0.2,0.3,0.0,-,42,0,22.56,22
6,DUK200320P00095000,2020-02-26 12:05PM EST,95.0,0.51,0.45,0.55,-0.14,-21.54%,10,832,20.09,22
7,DUK200320P00097500,2020-02-26 10:21AM EST,97.5,1.0,0.95,1.1,-0.07,-6.54%,182,0,18.34,22
8,DUK200320P00100000,2020-02-26 1:03PM EST,100.0,1.9,1.9,2.05,-0.4,-17.39%,109,1493,16.18,22
0,DUK200417P00065000,2020-02-10 11:02AM EST,65.0,0.03,0.0,0.05,0.0,-,4,59,48.24,50
1,DUK200417P00070000,2020-02-14 11:37AM EST,70.0,0.03,0.0,0.1,0.0,-,5,59,44.73,50
2,DUK200417P00075000,2020-02-12 12:25PM EST,75.0,0.05,0.0,0.25,0.0,-,1,61,43.36,50
3,DUK200417P00077500,2020-02-19 12:03PM EST,77.5,0.02,0.0,0.25,0.0,-,5,0,39.06,50
4,DUK200417P00080000,2020-02-25 3:26PM EST,80.0,0.09,0.0,0.2,0.0,-,2,0,33.4,50
5,DUK200417P00082500,2020-02-21 2:13PM EST,82.5,0.05,0.05,0.2,0.0,-,5,292,29.4,50
6,DUK200417P00085000,2020-02-24 3:54PM EST,85.0,0.15,0.1,0.25,0.0,-,16,464,26.76,50
7,DUK200417P00087500,2020-02-25 2:46PM EST,87.5,0.34,0.2,0.35,0.0,-,10,726,24.63,50
8,DUK200417P00090000,2020-02-24 11:07AM EST,90.0,0.4,0.4,0.5,0.1,+33.33%,8,331,22.56,50
9,DUK200417P00092500,2020-02-26 12:08PM EST,92.5,0.7,0.65,0.75,0.25,+55.56%,8,301,20.7,50
10,DUK200417P00095000,2020-02-26 11:53AM EST,95.0,1.0,1.05,1.15,0.1,+11.11%,8,265,18.97,50
11,DUK200417P00097500,2020-02-24 10:47AM EST,97.5,1.71,1.7,1.85,0.31,+22.14%,20,0,17.79,50
12,DUK200417P00100000,2020-02-26 12:29PM EST,100.0,2.73,2.7,2.85,-0.27,-9.00%,57,0,16.38,50
13,DUK200417P00105000,2020-02-25 12:22PM EST,105.0,5.0,5.8,6.2,0.0,-,1,0,14.62,50
15,DUK200417P00120000,2019-10-01 9:11AM EST,120.0,25.6,26.8,27.3,0.0,-,-,10,87.61,50
0,DUK200619P00055000,2019-09-24 8:47AM EST,55.0,0.1,0.05,0.25,0.0,-,1,0,50.98,113
1,DUK200619P00060000,2019-12-12 11:09AM EST,60.0,0.17,0.0,0.1,0.0,-,1,6,41.6,113
2,DUK200619P00065000,2020-01-16 9:34AM EST,65.0,0.1,0.1,0.05,0.0,-,10,48,32.42,113
3,DUK200619P00070000,2020-02-13 12:28PM EST,70.0,0.1,0.0,0.2,0.0,-,1,0,33.69,113
4,DUK200619P00075000,2020-01-21 2:26PM EST,75.0,0.22,0.0,0.0,0.0,-,9,0,12.5,113
5,DUK200619P00077500,2019-12-23 12:38PM EST,77.5,0.75,0.2,0.35,0.0,-,1,16,28.17,113
6,DUK200619P00080000,2020-02-13 12:28PM EST,80.0,0.3,0.3,0.45,0.0,-,1,0,26.71,113
7,DUK200619P00082500,2020-02-24 2:05PM EST,82.5,0.3,0.4,0.55,0.0,-,2,0,24.93,113
8,DUK200619P00085000,2020-02-26 12:59PM EST,85.0,0.65,0.55,0.75,0.3,+85.71%,11,244,23.85,113
9,DUK200619P00087500,2020-02-20 10:52AM EST,87.5,1.0,0.85,0.95,0.0,-,2,0,22.24,113
10,DUK200619P00090000,2020-02-25 3:41PM EST,90.0,1.3,1.2,1.3,0.0,-,12,0,21.22,113
11,DUK200619P00092500,2020-02-25 3:57PM EST,92.5,1.85,1.65,1.8,0.0,-,5,1847,20.39,113
12,DUK200619P00095000,2020-02-25 2:07PM EST,95.0,2.25,2.25,2.45,-0.05,-2.17%,2,0,19.52,113
13,DUK200619P00097500,2020-02-24 3:40PM EST,97.5,3.06,3.1,3.3,-0.34,-10.00%,10,0,18.7,113
14,DUK200619P00100000,2020-02-25 11:39AM EST,100.0,3.4,4.3,4.5,0.0,-,17,0,18.46,113
15,DUK200619P00105000,2020-02-25 3:46PM EST,105.0,7.45,7.3,7.6,0.0,-,8,64,17.95,113
16,DUK200619P00110000,2020-02-26 9:41AM EST,110.0,11.15,10.8,11.2,1.15,+11.50%,1,-,14.82,113
0,DUK200717P00060000,2020-02-25 2:29PM EST,60.0,0.05,0.0,0.15,0.0,-,10,10,39.65,141
1,DUK200717P00065000,2019-12-23 11:24AM EST,65.0,0.25,0.0,0.2,0.0,-,4,10,35.69,141
