,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ED200228C00081500,2020-02-21 10:35AM EST,81.5,8.5,6.9,7.2,0.0,-,4,4,63.28,1
1,ED200228C00085000,2020-02-18 12:12AM EST,85.0,9.4,3.4,3.9,0.0,-,-,-,54.49,1
2,ED200228C00085500,2020-02-21 10:21AM EST,85.5,5.0,3.0,3.3,0.0,-,5,5,45.31,1
3,ED200228C00086500,2020-02-18 12:12AM EST,86.5,7.84,2.1,2.3,0.0,-,-,-,35.45,1
4,ED200228C00087500,2020-02-21 10:21AM EST,87.5,3.1,1.2,1.45,0.0,-,7,7,29.83,1
5,ED200228C00088000,2020-02-14 3:54PM EST,88.0,6.34,0.8,1.0,0.0,-,20,0,25.05,1
6,ED200228C00088500,2020-02-25 9:49AM EST,88.5,1.0,0.6,0.75,0.0,-,34,34,25.34,1
7,ED200228C00089000,2020-02-25 2:54PM EST,89.0,0.47,0.3,0.45,0.0,-,52,62,22.46,1
8,ED200228C00089500,2020-02-24 11:52AM EST,89.5,0.8,0.15,0.25,0.0,-,10,10,20.7,1
9,ED200228C00090000,2020-02-24 12:41PM EST,90.0,0.42,0.05,0.15,0.0,-,4,4,20.8,1
10,ED200228C00090500,2020-02-24 10:35AM EST,90.5,0.2,0.0,0.1,0.0,-,10,34,21.88,1
11,ED200228C00091000,2020-02-26 12:51PM EST,91.0,0.05,0.05,0.1,-0.1,-66.67%,4,89,25.39,1
12,ED200228C00091500,2020-02-24 11:13AM EST,91.5,0.15,0.0,0.05,0.0,-,8,0,24.41,1
13,ED200228C00092000,2020-02-21 3:08PM EST,92.0,0.3,0.0,0.05,0.0,-,6,7,27.34,1
14,ED200228C00092500,2020-02-20 11:13AM EST,92.5,2.0,0.0,0.1,0.0,-,1,6,35.35,1
15,ED200228C00093000,2020-02-21 9:54AM EST,93.0,0.05,0.0,0.0,0.0,-,1,0,12.5,1
16,ED200228C00093500,2020-02-26 10:26AM EST,93.5,0.03,0.0,0.05,-0.02,-40.00%,1,28,35.94,1
17,ED200228C00094000,2020-02-20 3:33PM EST,94.0,0.05,0.0,0.05,0.0,-,1,22,38.67,1
18,ED200228C00095000,2020-02-21 10:42AM EST,95.0,0.05,0.0,0.05,0.0,-,2,134,43.75,1
19,ED200228C00095500,2020-02-21 1:48PM EST,95.5,0.03,0.0,0.05,0.0,-,2,5,46.48,1
20,ED200228C00096000,2020-02-21 11:16AM EST,96.0,0.01,0.0,0.05,0.0,-,4,23,49.02,1
21,ED200228C00097000,2020-02-20 3:55PM EST,97.0,0.15,0.0,0.05,0.0,-,22,0,53.91,1
22,ED200228C00097500,2020-02-20 2:17PM EST,97.5,0.09,0.0,0.05,0.0,-,-,6,50.78,1
23,ED200228C00098000,2020-01-29 1:47PM EST,98.0,0.25,0.0,0.05,0.0,-,-,2,53.13,1
24,ED200228C00100000,2020-02-20 3:56PM EST,100.0,0.05,0.0,0.05,0.0,-,1,5,61.72,1
0,ED200306C00089000,2020-02-26 11:06AM EST,89.0,0.77,0.8,0.9,-0.23,-23.00%,50,20,20.26,8
1,ED200306C00089500,2020-02-24 10:23AM EST,89.5,1.07,0.6,0.75,0.0,-,2,15,20.97,8
2,ED200306C00090000,2020-02-24 1:16PM EST,90.0,0.6,0.4,0.55,0.0,-,1,15,20.22,8
3,ED200306C00090500,2020-02-26 10:26AM EST,90.5,0.37,0.25,0.4,-0.01,-2.63%,1,5,19.78,8
4,ED200306C00091000,2020-02-25 9:30AM EST,91.0,0.35,0.15,0.3,0.0,-,4,3,19.83,8
5,ED200306C00091500,2020-02-24 10:29AM EST,91.5,0.27,0.1,0.2,0.0,-,21,22,19.24,8
6,ED200306C00092000,2020-02-24 11:10AM EST,92.0,0.1,0.05,0.15,-0.16,-61.54%,1,24,19.53,8
7,ED200306C00092500,2020-02-21 10:45AM EST,92.5,0.1,0.0,0.1,0.0,-,1,3,19.34,8
8,ED200306C00093000,2020-02-19 2:21PM EST,93.0,0.17,0.0,0.1,0.0,-,3,3,21.0,8
9,ED200306C00093500,2020-02-14 2:04PM EST,93.5,1.45,0.0,0.25,0.0,-,4,14,28.71,8
10,ED200306C00094000,2020-02-21 11:28AM EST,94.0,0.05,0.0,0.1,0.0,-,1,4,24.32,8
11,ED200306C00094500,2020-02-21 3:57PM EST,94.5,0.02,0.0,0.2,0.0,-,10,37,30.57,8
12,ED200306C00095000,2020-02-21 9:46AM EST,95.0,0.1,0.0,0.05,0.0,-,21,37,24.02,8
13,ED200306C00095500,2020-02-20 11:18AM EST,95.5,0.55,0.0,0.1,0.0,-,7,2,29.1,8
14,ED200306C00096000,2020-02-07 10:20AM EST,96.0,0.55,0.0,0.15,0.0,-,2,11,33.4,8
15,ED200306C00097000,2020-02-21 10:47AM EST,97.0,0.05,0.0,0.1,0.0,-,4,4,33.59,8
16,ED200306C00097500,2020-02-05 11:13AM EST,97.5,0.25,0.0,0.3,0.0,-,1,2,44.92,8
17,ED200306C00098000,2020-02-21 9:36AM EST,98.0,0.32,0.0,0.2,0.0,-,2,2,42.19,8
0,ED200313C00088000,2020-02-18 12:12AM EST,88.0,4.6,1.55,1.75,0.0,-,-,0,20.48,15
1,ED200313C00088500,2020-02-14 3:18PM EST,88.5,5.5,1.3,1.5,0.0,-,-,0,20.51,15
2,ED200313C00089000,2020-02-18 12:12AM EST,89.0,4.1,1.05,1.2,0.0,-,-,0,19.53,15
3,ED200313C00089500,2020-02-26 10:54AM EST,89.5,1.1,0.85,1.0,-2.8,-71.79%,-,0,19.53,15
4,ED200313C00090000,2020-02-24 12:10PM EST,90.0,1.12,0.65,0.75,0.0,-,2,7,18.46,15
5,ED200313C00090500,2020-02-13 11:20AM EST,90.5,2.85,0.5,0.7,0.0,-,-,0,19.92,15
6,ED200313C00091000,2020-02-24 1:47PM EST,91.0,0.65,0.4,0.55,0.0,-,-,2,19.61,15
7,ED200313C00091500,2020-02-18 12:12AM EST,91.5,2.85,0.25,0.35,0.0,-,-,9,17.92,15
8,ED200313C00092000,2020-02-20 3:50PM EST,92.0,0.4,0.2,0.3,0.0,-,5,7,18.6,15
9,ED200313C00093000,2020-02-21 1:48PM EST,93.0,0.15,0.0,0.15,0.0,-,8,10,17.82,15
10,ED200313C00094000,2020-02-24 11:03AM EST,94.0,0.15,0.0,0.1,0.0,-,10,3,18.65,15
11,ED200313C00094500,2020-02-20 3:58PM EST,94.5,1.5,0.0,0.15,0.0,-,1,5,21.83,15
12,ED200313C00095500,2020-02-20 3:24PM EST,95.5,0.9,0.0,0.1,0.0,-,4,17,22.27,15
13,ED200313C00096000,2020-02-18 1:43PM EST,96.0,0.85,0.0,0.0,0.0,-,6,9,12.5,15
14,ED200313C00096500,2020-02-21 11:48AM EST,96.5,0.05,0.0,0.05,0.0,-,5,5,21.68,15
15,ED200313C00098000,2020-02-06 11:25AM EST,98.0,0.01,0.0,0.05,0.0,-,1,1,24.81,15
16,ED200313C00100000,2020-02-18 10:05AM EST,100.0,0.1,0.0,0.05,0.0,-,10,10,28.71,15
0,ED200320C00070000,2020-02-18 12:12AM EST,70.0,24.25,18.5,19.0,0.0,-,-,-,61.23,22
1,ED200320C00075000,2020-02-18 2:04PM EST,75.0,19.5,13.5,14.1,0.0,-,1,1,55.76,22
2,ED200320C00080000,2020-02-14 3:28PM EST,80.0,14.25,8.6,9.0,0.0,-,4,0,37.4,22
3,ED200320C00082500,2020-02-18 12:12AM EST,82.5,11.73,6.2,6.5,0.0,-,-,-,29.27,22
4,ED200320C00085000,2020-02-14 3:30PM EST,85.0,9.21,4.1,4.4,0.0,-,17,0,26.32,22
5,ED200320C00087500,2020-02-21 1:07PM EST,87.5,3.48,2.15,2.4,0.0,-,1,1,21.46,22
6,ED200320C00088000,2020-02-25 6:49PM EST,88.0,2.1,1.95,2.2,0.0,-,-,1,22.24,22
7,ED200320C00088500,2020-02-25 3:42PM EST,88.5,1.7,1.55,1.7,0.0,-,4,4,19.48,22
8,ED200320C00089000,2020-02-24 11:09AM EST,89.0,1.95,1.45,1.6,0.0,-,-,10,20.9,22
9,ED200320C00090000,2020-02-25 3:09PM EST,90.0,1.05,0.85,1.05,0.0,-,41,110,19.12,22
10,ED200320C00092000,2020-02-24 12:06PM EST,92.0,0.6,0.3,0.45,0.0,-,-,1,18.14,22
11,ED200320C00092500,2020-02-26 11:20AM EST,92.5,0.3,0.2,0.35,-0.05,-14.29%,2,236,17.9,22
12,ED200320C00093000,2020-02-24 3:11PM EST,93.0,0.3,0.15,0.25,0.0,-,-,3,17.29,22
13,ED200320C00095000,2020-02-26 10:03AM EST,95.0,0.08,0.05,0.1,-0.02,-20.00%,4,873,17.77,22
14,ED200320C00097500,2020-02-25 12:37PM EST,97.5,0.03,0.0,0.1,0.0,-,2,85,22.66,22
15,ED200320C00100000,2020-02-20 3:54PM EST,100.0,0.15,0.0,0.05,0.0,-,1,2,24.22,22
16,ED200320C00105000,2020-01-30 11:45AM EST,105.0,0.06,0.0,0.05,0.0,-,-,12,31.84,22
0,ED200327C00087500,2020-02-11 10:07AM EST,87.5,5.6,2.35,2.6,0.0,-,1,0,21.02,29
1,ED200327C00088000,2020-02-12 10:19AM EST,88.0,5.0,2.1,2.3,0.0,-,10,0,20.68,29
2,ED200327C00088500,2020-02-13 11:20AM EST,88.5,4.7,1.8,2.0,0.0,-,-,0,20.17,29
3,ED200327C00089500,2020-02-13 12:18PM EST,89.5,3.8,1.3,1.45,0.0,-,-,1,19.07,29
4,ED200327C00090000,2020-02-24 9:44AM EST,90.0,1.85,1.05,1.2,0.0,-,2,12,18.46,29
5,ED200327C00090500,2020-02-24 12:03AM EST,90.5,2.9,0.85,1.0,0.0,-,-,10,18.12,29
6,ED200327C00091000,2020-02-21 3:56PM EST,91.0,1.5,0.7,0.95,0.0,-,3,12,19.21,29
7,ED200327C00091500,2020-02-21 11:48AM EST,91.5,1.2,0.6,0.7,0.0,-,5,9,17.87,29
8,ED200327C00092000,2020-02-21 3:32PM EST,92.0,1.15,0.45,0.55,0.0,-,14,17,17.38,29
9,ED200327C00092500,2020-02-24 10:58AM EST,92.5,0.6,0.35,0.45,0.0,-,2,9,17.31,29
10,ED200327C00093500,2020-02-18 12:12AM EST,93.5,1.95,0.2,0.3,0.0,-,-,4,17.29,29
11,ED200327C00094000,2020-02-18 10:23AM EST,94.0,2.1,0.15,0.25,0.0,-,1,0,17.43,29
12,ED200327C00094500,2020-02-24 12:59PM EST,94.5,0.15,0.0,0.2,0.0,-,6,3,17.43,29
13,ED200327C00095000,2020-02-21 1:07PM EST,95.0,0.35,0.0,0.15,0.0,-,11,72,17.14,29
14,ED200327C00095500,2020-02-20 9:49AM EST,95.5,1.1,0.0,0.15,0.0,-,-,4,18.07,29
15,ED200327C00096000,2020-02-19 10:37AM EST,96.0,1.05,0.0,0.15,0.0,-,1,5,18.99,29
16,ED200327C00097000,2020-02-24 12:03AM EST,97.0,0.25,0.0,0.1,0.0,-,-,1,19.14,29
17,ED200327C00098500,2020-02-18 12:12AM EST,98.5,0.27,0.0,0.1,0.0,-,-,2,21.58,29
18,ED200327C00099000,2020-02-21 10:42AM EST,99.0,0.05,0.0,0.1,0.0,-,1,28,22.36,29
19,ED200327C00099500,2020-02-18 12:12AM EST,99.5,0.15,0.0,0.05,0.0,-,-,20,20.51,29
20,ED200327C00100000,2020-02-19 11:41AM EST,100.0,0.2,0.0,0.05,0.0,-,-,2,21.29,29
