,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,EMN200320C00045000,2019-09-12 1:54PM EST,45.0,29.63,26.0,30.3,0.0,-,24,0,284.08,22
1,EMN200320C00050000,2020-01-02 9:30AM EST,50.0,30.35,20.2,21.2,0.0,-,15,15,189.06,22
2,EMN200320C00055000,2019-10-28 1:20PM EST,55.0,23.4,22.6,24.2,0.0,-,1,0,289.67,22
3,EMN200320C00060000,2020-02-21 11:16AM EST,60.0,13.8,7.0,7.3,0.0,-,5,5,54.25,22
4,EMN200320C00062500,2019-09-05 10:04AM EST,62.5,8.4,10.3,11.2,0.0,-,2,0,137.65,22
5,EMN200320C00065000,2020-02-25 1:57PM EST,65.0,3.5,3.2,3.5,-0.52,-12.94%,1,62,45.85,22
6,EMN200320C00067500,2020-02-24 11:13AM EST,67.5,2.15,1.85,2.0,0.0,-,1,0,40.41,22
7,EMN200320C00070000,2020-02-25 3:09PM EST,70.0,1.15,0.95,1.1,0.0,-,7,134,38.67,22
8,EMN200320C00072500,2020-02-26 12:59PM EST,72.5,0.52,0.45,0.55,-0.07,-11.86%,11,0,37.5,22
9,EMN200320C00075000,2020-02-26 12:14PM EST,75.0,0.25,0.15,0.25,-0.1,-28.57%,14,0,36.72,22
10,EMN200320C00077500,2020-02-26 12:15PM EST,77.5,0.09,0.05,0.15,-0.01,-10.00%,26,1151,38.77,22
11,EMN200320C00080000,2020-02-26 10:06AM EST,80.0,0.05,0.05,0.1,-0.1,-66.67%,12,968,41.41,22
12,EMN200320C00082500,2020-02-21 3:07PM EST,82.5,0.09,0.0,0.15,0.0,-,1,0,50.1,22
13,EMN200320C00085000,2020-02-24 3:33PM EST,85.0,0.06,0.0,0.1,0.0,-,3,303,51.56,22
14,EMN200320C00087500,2020-02-21 10:30AM EST,87.5,0.05,0.0,0.1,0.0,-,1,201,50.78,22
15,EMN200320C00090000,2020-02-11 3:59PM EST,90.0,0.05,0.0,0.05,0.0,-,2,0,50.39,22
16,EMN200320C00095000,2020-02-06 3:43PM EST,95.0,0.03,0.0,0.1,0.0,-,1,10,62.89,22
17,EMN200320C00100000,2019-11-07 12:43PM EST,100.0,0.42,0.0,0.0,0.0,-,-,71,25.0,22
0,EMN200417C00070000,2020-02-25 2:01PM EST,70.0,2.05,1.60,1.75,0.0,-,14,6,33.67,50
1,EMN200417C00072500,2020-02-25 2:27PM EST,72.5,1.2,0.95,1.1,0.08,+7.14%,3,140,33.25,50
2,EMN200417C00075000,2020-02-25 6:54PM EST,75.0,0.6,0.55,0.65,-0.55,-47.83%,8,2,32.74,50
3,EMN200417C00082500,2020-02-24 11:59AM EST,82.5,0.25,-,0.55,0.0,-,-,-,45.34,50
0,EMN200619C00060000,2020-02-25 6:54PM EST,60.0,9.7,8.3,8.6,0.0,-,-,2,36.78,113
1,EMN200619C00067500,2020-02-24 11:07AM EST,67.5,6.1,3.8,4.0,0.0,-,1,0,32.12,113
2,EMN200619C00070000,2020-02-26 9:46AM EST,70.0,3.3,2.7,2.9,-0.7,-17.50%,19,39,30.91,113
3,EMN200619C00072500,2020-02-06 10:43AM EST,72.5,2.3,1.9,2.1,-2.33,-50.32%,2,52,30.41,113
4,EMN200619C00075000,2020-02-25 1:06PM EST,75.0,1.9,1.2,1.5,0.0,-,1,41,30.13,113
5,EMN200619C00077500,2020-02-26 1:15PM EST,77.5,0.95,0.8,1.0,-0.17,-15.18%,1,0,29.4,113
6,EMN200619C00080000,2020-02-25 1:21PM EST,80.0,0.8,0.5,0.7,0.0,-,7,0,29.44,113
7,EMN200619C00082500,2020-02-12 10:16AM EST,82.5,0.65,0.3,0.5,0.0,-,1,0,29.74,113
8,EMN200619C00085000,2020-02-24 2:32PM EST,85.0,0.52,0.2,0.4,0.0,-,5,232,30.86,113
9,EMN200619C00087500,2020-02-25 11:53AM EST,87.5,0.27,0.15,0.25,0.0,-,3,16,30.27,113
10,EMN200619C00090000,2020-02-24 11:09AM EST,90.0,0.27,0.0,0.2,0.0,-,6,128,31.25,113
11,EMN200619C00095000,2019-12-24 10:56AM EST,95.0,0.75,0.05,0.35,0.0,-,4,28,39.36,113
12,EMN200619C00100000,2019-12-16 11:18AM EST,100.0,0.58,0.0,0.3,0.0,-,2,0,42.24,113
13,EMN200619C00105000,2020-02-04 2:52PM EST,105.0,0.07,0.0,0.15,0.0,-,20,180,41.02,113
14,EMN200619C00110000,2019-11-12 2:07PM EST,110.0,0.39,0.0,0.3,0.0,-,60,58,49.61,113
0,EMN200918C00055000,2020-02-25 12:34PM EST,55.0,14.9,12.8,13.1,0.0,-,2,0,34.68,204
1,EMN200918C00060000,2020-02-19 9:46AM EST,60.0,14.31,9.0,9.3,0.0,-,2,2,31.56,204
2,EMN200918C00065000,2020-02-19 2:50PM EST,65.0,10.4,6.1,6.3,0.0,-,-,13,30.02,204
3,EMN200918C00067500,2020-02-19 11:13AM EST,67.5,8.6,4.8,5.1,0.0,-,-,0,29.57,204
4,EMN200918C00070000,2020-01-27 11:34AM EST,70.0,4.08,3.8,4.1,0.0,-,1,0,29.31,204
5,EMN200918C00072500,2020-02-26 1:23PM EST,72.5,3.01,3.0,3.2,-1.36,-31.12%,1,2,28.77,204
6,EMN200918C00075000,2020-02-25 3:56PM EST,75.0,2.34,2.2,2.4,0.0,-,4,28,27.95,204
7,EMN200918C00077500,2020-02-10 11:35AM EST,77.5,3.7,1.65,1.85,0.0,-,3,9,27.82,204
8,EMN200918C00080000,2020-02-21 12:37PM EST,80.0,2.88,1.2,1.4,0.0,-,4,23,27.61,204
9,EMN200918C00082500,2020-02-06 3:45PM EST,82.5,2.3,0.85,1.05,0.0,-,5,56,27.44,204
10,EMN200918C00085000,2020-02-21 3:07PM EST,85.0,1.67,0.6,0.8,0.0,-,1,17,27.49,204
11,EMN200918C00090000,2020-02-04 3:20PM EST,90.0,0.9,0.3,0.45,0.0,-,6,57,27.49,204
0,EMN201218C00040000,2020-01-09 2:07PM EST,40.0,35.4,30.0,35.0,0.0,-,5,5,90.67,295
1,EMN201218C00045000,2019-12-12 2:56PM EST,45.0,34.78,28.0,33.0,0.0,-,14,0,95.32,295
2,EMN201218C00047500,2019-08-30 11:54AM EST,47.5,19.1,21.5,25.4,0.0,-,2,30,60.84,295
3,EMN201218C00050000,2020-02-06 3:42PM EST,50.0,18.99,17.2,17.5,0.0,-,7,0,33.28,295
4,EMN201218C00055000,2019-12-17 12:52PM EST,55.0,25.1,21.7,23.1,0.0,-,1,0,77.25,295
5,EMN201218C00057500,2019-10-28 11:51AM EST,57.5,21.0,21.6,22.2,0.0,-,8,16,80.33,295
6,EMN201218C00060000,2020-02-03 2:07PM EST,60.0,14.1,9.9,10.2,0.0,-,12,0,30.57,295
7,EMN201218C00062500,2020-02-11 10:56AM EST,62.5,14.7,8.4,8.7,0.0,-,5,0,30.01,295
8,EMN201218C00065000,2020-02-03 3:45PM EST,65.0,7.54,7.0,7.6,-3.26,-30.19%,3,0,30.58,295
9,EMN201218C00067500,2020-02-03 3:45PM EST,67.5,11.26,5.9,6.4,0.0,-,1,0,30.12,295
10,EMN201218C00070000,2020-01-24 12:35PM EST,70.0,8.64,8.3,8.7,0.0,-,2,0,43.88,295
11,EMN201218C00072500,2020-02-24 1:49PM EST,72.5,4.4,3.9,4.2,0.0,-,53,0,28.37,295
12,EMN201218C00075000,2020-02-10 2:41PM EST,75.0,3.28,3.1,3.4,0.0,-,1,0,27.95,295
13,EMN201218C00077500,2020-02-24 10:23AM EST,77.5,3.8,2.5,2.65,0.0,-,1,0,27.22,295
14,EMN201218C00080000,2020-02-21 10:28AM EST,80.0,4.0,1.95,2.15,0.0,-,2,0,27.19,295
15,EMN201218C00082500,2020-02-20 1:46PM EST,82.5,3.2,1.5,1.7,0.0,-,3,29,26.95,295
16,EMN201218C00085000,2020-02-26 9:49AM EST,85.0,1.44,1.15,1.35,-0.71,-33.02%,1,158,26.84,295
17,EMN201218C00087500,2020-02-21 2:08PM EST,87.5,1.96,0.85,1.05,0.0,-,2,20,26.62,295
18,EMN201218C00090000,2020-02-21 2:14PM EST,90.0,1.53,0.7,0.9,0.0,-,15,0,27.17,295
19,EMN201218C00095000,2020-02-19 1:38PM EST,95.0,0.7,0.35,0.5,0.0,-,6,0,26.39,295
20,EMN201218C00100000,2020-01-17 9:46AM EST,100.0,0.95,0.3,0.5,0.0,-,3,18,29.1,295
21,EMN201218C00105000,2020-01-24 3:30PM EST,105.0,0.3,0.2,0.4,0.0,-,-,0,30.23,295
22,EMN201218C00115000,2019-11-08 9:30AM EST,115.0,1.3,0.3,0.6,0.0,-,-,20,37.48,295
