,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,EMN200320P00040000,2019-12-16 12:01AM EST,40.0,0.06,-,0.1,0.0,-,-,0,96.09,22
1,EMN200320P00042500,2020-01-03 1:39PM EST,42.5,0.05,0.00,0.0,0.0,-,3,5,50.0,22
2,EMN200320P00045000,2020-01-02 11:59AM EST,45.0,0.05,0.00,0.25,0.0,-,5,16,78.71,22
3,EMN200320P00047500,2019-09-30 10:06AM EST,47.5,0.4,0.05,0.4,0.0,-,10,0,76.95,22
4,EMN200320P00050000,2020-02-11 10:13AM EST,50.0,0.05,0.00,0.3,0.0,-,4,0,61.72,22
5,EMN200320P00055000,2020-02-25 3:41PM EST,55.0,0.35,0.20,0.3,0.0,-,3,0,50.78,22
6,EMN200320P00057500,2020-01-31 10:09AM EST,57.5,0.3,0.40,0.5,0.0,-,10,0,47.41,22
7,EMN200320P00060000,2020-02-26 10:32AM EST,60.0,0.7,0.75,0.8,0.02,+2.94%,11,0,43.58,22
8,EMN200320P00062500,2020-02-26 10:01AM EST,62.5,1.1,1.20,1.35,-0.35,-24.14%,5,99,41.07,22
9,EMN200320P00065000,2020-02-25 1:41PM EST,65.0,1.81,2.05,2.2,-0.34,-15.81%,21,0,38.77,22
10,EMN200320P00067500,2020-02-26 11:42AM EST,67.5,2.85,3.20,3.4,-0.6,-17.39%,22,489,36.33,22
11,EMN200320P00070000,2020-02-26 12:30PM EST,70.0,4.74,4.80,5.1,-0.46,-8.85%,44,3042,35.67,22
12,EMN200320P00072500,2020-02-26 10:00AM EST,72.5,6.1,6.90,7.2,-0.95,-13.48%,17,587,37.06,22
13,EMN200320P00075000,2020-02-26 9:54AM EST,75.0,8.9,9.00,9.4,0.72,+8.80%,21,0,35.99,22
14,EMN200320P00077500,2020-02-21 1:14PM EST,77.5,5.24,10.90,11.9,0.0,-,1,70,42.58,22
15,EMN200320P00080000,2020-02-12 3:11PM EST,80.0,5.5,13.70,14.3,0.0,-,1,70,43.46,22
16,EMN200320P00082500,2020-01-27 10:19AM EST,82.5,12.5,16.30,16.8,0.0,-,30,0,48.83,22
17,EMN200320P00085000,2020-02-12 9:34AM EST,85.0,10.0,17.20,19.9,0.0,-,3,0,78.56,22
18,EMN200320P00087500,2020-02-05 3:46PM EST,87.5,12.7,20.80,22.3,0.0,-,1,0,81.54,22
19,EMN200320P00090000,2020-02-24 1:22PM EST,90.0,20.1,23.30,24.5,0.0,-,10,19,75.39,22
20,EMN200320P00095000,2020-01-28 10:48AM EST,95.0,25.1,26.20,29.6,0.0,-,1,0,89.94,22
