,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,EMR200228C00063000,2020-02-25 3:01PM EST,63.0,4.3,4.5,4.9,0.0,-,2,2,106.64,1
1,EMR200228C00064000,2020-02-25 3:01PM EST,64.0,3.4,3.9,4.5,0.0,-,-,-,114.55,1
2,EMR200228C00065000,2020-02-21 11:19AM EST,65.0,3.8,2.6,2.85,0.0,-,1,0,76.27,1
3,EMR200228C00065500,2020-02-25 6:54PM EST,65.5,1.95,2.25,2.5,0.0,-,-,3,74.12,1
4,EMR200228C00066000,2020-02-25 3:54PM EST,66.0,1.65,2.35,2.65,0.0,-,-,-,91.21,1
5,EMR200228C00066500,2020-02-25 3:58PM EST,66.5,1.35,1.95,2.15,0.0,-,-,-,83.11,1
6,EMR200228C00067000,2020-01-30 2:29PM EST,67.0,1.1,1.15,1.35,0.0,-,7,7,59.67,1
7,EMR200228C00067500,2020-02-25 12:55PM EST,67.5,0.85,0.9,1.05,0.0,-,193,193,56.84,1
8,EMR200228C00068000,2020-02-25 12:31PM EST,68.0,1.05,1.0,1.15,0.0,-,7,-,69.14,1
9,EMR200228C00068500,2020-02-25 10:38AM EST,68.5,0.8,0.45,0.6,0.0,-,49,49,51.27,1
10,EMR200228C00069000,2020-02-26 9:39AM EST,69.0,0.6,0.55,0.65,0.2,+50.00%,7,-,61.43,1
11,EMR200228C00069500,2020-02-26 9:46AM EST,69.5,0.4,0.15,0.3,-0.01,-2.44%,7,43,50.78,1
12,EMR200228C00070000,2020-02-26 11:51AM EST,70.0,0.25,0.1,0.2,-0.1,-28.57%,6,152,49.02,1
13,EMR200228C00070500,2020-02-24 1:58PM EST,70.5,0.16,0.05,0.15,-0.19,-54.29%,14,15,49.61,1
14,EMR200228C00071000,2020-02-25 3:15PM EST,71.0,0.1,0.0,0.1,-0.05,-33.33%,14,0,48.83,1
15,EMR200228C00071500,2020-02-25 10:10AM EST,71.5,0.21,0.05,0.1,0.0,-,19,43,52.73,1
16,EMR200228C00072000,2020-02-24 11:34AM EST,72.0,0.22,0.0,0.1,0.0,-,24,38,56.64,1
17,EMR200228C00072500,2020-02-24 11:33AM EST,72.5,0.14,0.0,0.1,0.0,-,104,134,52.73,1
18,EMR200228C00073000,2020-02-26 9:30AM EST,73.0,0.05,0.0,0.1,-0.02,-28.57%,15,61,56.25,1
19,EMR200228C00074000,2020-02-20 10:39AM EST,74.0,0.05,0.0,0.1,-0.39,-88.64%,1,0,62.89,1
20,EMR200228C00074500,2020-02-21 2:57PM EST,74.5,0.05,0.0,0.1,0.0,-,22,0,66.02,1
21,EMR200228C00075000,2020-02-20 10:40AM EST,75.0,0.13,0.0,0.1,0.0,-,1,0,69.14,1
22,EMR200228C00076000,2020-02-18 3:17PM EST,76.0,0.05,0.0,0.1,0.0,-,1,0,75.39,1
23,EMR200228C00077000,2020-02-14 3:52PM EST,77.0,0.25,0.0,0.1,0.0,-,10,48,81.64,1
24,EMR200228C00078000,2020-02-20 2:51PM EST,78.0,0.05,0.0,0.1,0.0,-,2,0,87.5,1
25,EMR200228C00079000,2020-02-13 2:15PM EST,79.0,0.15,0.0,0.1,0.0,-,25,108,93.36,1
26,EMR200228C00080000,2020-02-24 9:32AM EST,80.0,0.2,0.0,0.1,0.0,-,37,271,99.22,1
27,EMR200228C00081000,2020-02-12 3:38PM EST,81.0,0.15,0.1,0.1,0.0,-,38,0,117.19,1
28,EMR200228C00082000,2020-02-10 12:58PM EST,82.0,0.1,0.0,0.1,0.0,-,5,405,110.16,1
29,EMR200228C00084000,2020-01-22 3:16PM EST,84.0,0.26,0.0,0.0,0.0,-,500,0,50.0,1
0,EMR200306C00065000,2020-02-25 3:01PM EST,65.0,3.1,3.1,3.3,0.0,-,3,0,53.22,8
1,EMR200306C00066000,2020-02-25 3:01PM EST,66.0,2.45,2.9,3.2,0.0,-,-,-,62.6,8
2,EMR200306C00068000,2020-02-26 9:30AM EST,68.0,1.44,1.65,1.8,0.12,+9.09%,-,-,53.13,8
3,EMR200306C00071000,2020-02-25 12:49PM EST,71.0,0.45,0.35,0.45,0.0,-,68,59,41.6,8
4,EMR200306C00072000,2020-02-26 11:39AM EST,72.0,0.35,0.2,0.3,-0.19,-35.19%,5,2,41.31,8
5,EMR200306C00073000,2020-02-21 3:59PM EST,73.0,0.25,0.1,0.2,0.0,-,1,0,41.41,8
6,EMR200306C00074000,2020-02-25 10:56AM EST,74.0,0.15,0.1,0.15,0.0,-,1,264,42.77,8
7,EMR200306C00075000,2020-02-20 3:59PM EST,75.0,0.1,0.0,0.1,0.0,-,1,0,43.07,8
8,EMR200306C00076000,2020-02-10 2:10PM EST,76.0,0.67,0.0,0.2,0.0,-,2,6,54.3,8
9,EMR200306C00077000,2020-02-21 12:43PM EST,77.0,0.11,0.0,0.15,0.0,-,10,0,54.69,8
10,EMR200306C00078000,2020-02-14 3:05PM EST,78.0,0.25,0.0,0.1,0.0,-,3,27,54.1,8
11,EMR200306C00079000,2020-02-14 10:16AM EST,79.0,0.2,0.0,0.15,0.0,-,1,83,54.69,8
12,EMR200306C00080000,2020-02-18 9:40AM EST,80.0,0.1,0.0,0.1,0.0,-,1,1,54.3,8
0,EMR200313C00068000,2020-02-25 3:57PM EST,68.0,1.75,2.0,2.15,0.21,+13.64%,3,-,48.07,15
1,EMR200313C00070000,2020-02-25 3:27PM EST,70.0,1.06,1.1,1.25,0.23,+27.71%,1,-,44.19,15
2,EMR200313C00071000,2020-02-18 12:03AM EST,71.0,3.1,0.6,0.7,0.0,-,-,0,37.84,15
3,EMR200313C00072000,2020-02-21 3:16PM EST,72.0,1.5,0.4,0.5,0.0,-,5,0,37.4,15
4,EMR200313C00073000,2020-02-26 10:16AM EST,73.0,0.4,0.25,0.35,0.05,+14.29%,51,125,37.01,15
5,EMR200313C00074000,2020-02-21 3:34PM EST,74.0,0.8,0.15,0.25,0.0,-,12,0,37.11,15
6,EMR200313C00075000,2020-02-24 1:55PM EST,75.0,0.28,0.1,0.25,0.0,-,5,14,40.53,15
7,EMR200313C00076000,2020-02-20 11:23AM EST,76.0,0.41,0.05,0.15,0.0,-,1,0,38.97,15
8,EMR200313C00077000,2020-02-18 2:56PM EST,77.0,0.22,0.05,0.15,0.0,-,10,0,41.9,15
9,EMR200313C00078000,2020-02-14 11:51AM EST,78.0,0.3,0.0,0.1,0.0,-,-,0,41.41,15
10,EMR200313C00079000,2020-02-18 1:37PM EST,79.0,0.07,0.0,0.1,0.0,-,433,0,44.04,15
11,EMR200313C00080000,2020-02-10 12:04AM EST,80.0,0.5,0.0,0.15,0.0,-,-,0,50.29,15
12,EMR200313C00081000,2020-02-05 9:48AM EST,81.0,0.45,0.0,0.1,0.0,-,-,20,49.22,15
13,EMR200313C00082000,2020-02-12 10:14AM EST,82.0,0.15,0.0,0.1,0.0,-,-,28,51.56,15
0,EMR200320C00050000,2019-11-13 3:20PM EST,50.0,23.48,24.4,28.2,0.0,-,5,0,286.77,22
1,EMR200320C00055000,2020-02-12 3:22PM EST,55.0,13.8,12.3,13.2,0.0,-,2,0,77.1,22
2,EMR200320C00057500,2020-02-12 3:30PM EST,57.5,17.94,10.2,10.7,0.0,-,10,10,69.34,22
3,EMR200320C00060000,2020-02-12 3:02PM EST,60.0,15.1,7.8,8.0,0.0,-,361,0,55.52,22
4,EMR200320C00062500,2020-02-25 3:01PM EST,62.5,5.5,5.6,5.9,0.0,-,4,4,51.29,22
5,EMR200320C00065000,2020-02-24 12:58PM EST,65.0,3.3,3.7,4.0,0.0,-,1,18,45.58,22
6,EMR200320C00067000,2020-02-25 3:41PM EST,67.0,3.0,2.5,2.7,0.65,+27.66%,1,0,41.58,22
7,EMR200320C00067500,2020-02-11 11:21AM EST,67.5,6.98,2.2,2.4,0.0,-,67,1,40.48,22
8,EMR200320C00069000,2020-02-26 11:34AM EST,69.0,1.9,1.5,1.65,0.49,+34.75%,20,31,38.04,22
9,EMR200320C00070000,2020-02-26 12:43PM EST,70.0,1.3,1.1,1.2,0.2,+18.18%,12,560,35.89,22
10,EMR200320C00071000,2020-02-26 10:56AM EST,71.0,1.0,0.8,0.95,0.25,+33.33%,34,40,36.08,22
11,EMR200320C00072000,2020-02-25 10:21AM EST,72.0,0.85,0.7,0.85,0.0,-,-,-,38.28,22
12,EMR200320C00072500,2020-02-25 3:26PM EST,72.5,0.47,0.45,0.6,0.0,-,24,0,35.11,22
13,EMR200320C00073000,2020-02-25 3:25PM EST,73.0,0.5,0.5,0.65,0.0,-,-,-,37.94,22
14,EMR200320C00074000,2020-02-25 10:17AM EST,74.0,0.41,0.25,0.35,0.0,-,2,2,33.99,22
15,EMR200320C00075000,2020-02-26 11:51AM EST,75.0,0.25,0.2,0.25,0.02,+8.70%,4,7666,33.79,22
16,EMR200320C00077000,2020-02-24 1:44PM EST,77.0,0.2,0.1,0.2,0.0,-,-,-,37.31,22
17,EMR200320C00077500,2020-02-25 2:45PM EST,77.5,0.13,0.1,0.15,-0.02,-13.33%,4,0,36.23,22
18,EMR200320C00080000,2020-02-26 12:10PM EST,80.0,0.05,0.05,0.1,0.0,-,45,4845,39.06,22
19,EMR200320C00082500,2020-02-25 11:33AM EST,82.5,0.1,0.05,0.1,0.0,-,47,1779,44.24,22
