,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,EOG200228C00060500,2020-02-25 2:48PM EST,60.5,6.05,6.0,8.15,0.0,-,-,-,225.1,1
1,EOG200228C00061500,2020-02-25 2:48PM EST,61.5,5.2,4.4,8.15,0.0,-,-,-,214.16,1
2,EOG200228C00062000,2020-02-25 10:12AM EST,62.0,6.9,3.4,3.55,0.0,-,1,1,99.22,1
3,EOG200228C00063000,2020-02-25 2:48PM EST,63.0,4.0,2.72,2.85,0.0,-,1,0,94.92,1
4,EOG200228C00064000,2020-02-25 3:41PM EST,64.0,3.65,2.14,2.25,0.0,-,5,3,92.29,1
5,EOG200228C00064500,2020-02-25 3:40PM EST,64.5,3.6,3.65,3.8,0.3,+9.09%,15,-,168.46,1
6,EOG200228C00065000,2020-02-26 1:01PM EST,65.0,1.65,1.59,1.66,-1.32,-44.44%,15,5,87.3,1
7,EOG200228C00065500,2020-02-25 3:40PM EST,65.5,2.66,3.0,3.15,0.0,-,-,-,159.13,1
8,EOG200228C00066000,2020-02-26 11:50AM EST,66.0,1.62,1.16,1.23,-0.77,-32.22%,28,12,84.96,1
9,EOG200228C00066500,2020-02-25 2:57PM EST,66.5,2.08,2.35,2.44,0.0,-,-,-,146.48,1
10,EOG200228C00067000,2020-02-26 1:07PM EST,67.0,0.79,0.78,0.86,-1.13,-58.85%,31,20,81.35,1
11,EOG200228C00067500,2020-02-26 1:07PM EST,67.5,0.69,0.67,0.73,-0.8,-53.69%,72,13,81.54,1
12,EOG200228C00068000,2020-02-26 12:31PM EST,68.0,0.55,0.53,0.6,-0.97,-63.82%,31,394,80.08,1
13,EOG200228C00069000,2020-02-26 12:00PM EST,69.0,0.51,0.31,0.38,-0.6,-54.05%,14,224,76.66,1
14,EOG200228C00069500,2020-02-26 10:14AM EST,69.5,1.02,0.25,0.31,-0.59,-36.65%,11,12,76.56,1
15,EOG200228C00070000,2020-02-26 1:01PM EST,70.0,0.23,0.19,0.24,-0.32,-58.18%,25,67,75.39,1
16,EOG200228C00070500,2020-02-26 12:56PM EST,70.5,0.18,0.15,0.2,-0.46,-71.87%,3,182,75.59,1
17,EOG200228C00071000,2020-02-25 1:56PM EST,71.0,0.67,0.12,0.16,0.14,+26.42%,2,0,75.78,1
18,EOG200228C00071500,2020-02-25 3:00PM EST,71.5,0.46,0.1,0.12,0.0,-,34,36,75.59,1
19,EOG200228C00072000,2020-02-25 2:42PM EST,72.0,0.49,0.34,0.4,0.2,+68.97%,18,-,106.84,1
20,EOG200228C00072500,2020-02-26 9:54AM EST,72.5,0.37,0.27,0.33,0.02,+5.71%,20,-,104.88,1
21,EOG200228C00073000,2020-02-26 1:07PM EST,73.0,0.05,0.04,0.07,-0.27,-84.37%,1,0,76.17,1
22,EOG200228C00073500,2020-02-26 11:29AM EST,73.5,0.12,0.03,0.06,-0.07,-36.84%,5,15,76.56,1
23,EOG200228C00074000,2020-02-25 9:58AM EST,74.0,0.19,0.03,0.06,0.0,-,12,0,80.08,1
24,EOG200228C00074500,2020-02-25 1:53PM EST,74.5,0.13,0.02,0.05,0.01,+8.33%,20,416,79.69,1
25,EOG200228C00075000,2020-02-25 9:58AM EST,75.0,0.26,0.02,0.06,0.0,-,18,506,84.38,1
26,EOG200228C00076000,2020-02-24 3:33PM EST,76.0,0.13,0.01,0.24,0.0,-,1,274,109.77,1
27,EOG200228C00076500,2020-02-26 12:43PM EST,76.5,0.03,0.01,1.06,-0.05,-62.50%,2,71,158.79,1
28,EOG200228C00077000,2020-02-25 2:22PM EST,77.0,0.06,0.01,0.97,0.0,-,7,140,158.98,1
29,EOG200228C00077500,2020-02-21 3:03PM EST,77.5,0.83,0.0,0.96,0.0,-,9,0,162.11,1
30,EOG200228C00078000,2020-02-26 1:12PM EST,78.0,0.05,0.0,1.01,0.0,-,11,0,168.16,1
