,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,EQR200320C00072500,2020-02-25 1:53PM EST,72.5,11.4,9.9,13.6,0.0,-,2,3,81.86,22
1,EQR200320C00080000,2020-02-26 12:50PM EST,80.0,4.7,4.3,4.8,-1.09,-18.83%,1,14,30.13,22
2,EQR200320C00082500,2020-02-26 10:41AM EST,82.5,2.5,2.45,2.95,-1.8,-41.86%,73,32,26.99,22
3,EQR200320C00085000,2020-02-26 12:37PM EST,85.0,0.95,1.0,1.5,-0.19,-16.67%,10,350,24.12,22
4,EQR200320C00087500,2020-02-24 2:29PM EST,87.5,0.87,0.2,0.4,0.0,-,6,0,18.8,22
5,EQR200320C00090000,2020-02-24 2:04PM EST,90.0,0.4,0.0,0.45,0.0,-,4,25,26.86,22
6,EQR200320C00092500,2020-02-21 2:42PM EST,92.5,0.05,0.0,0.55,0.0,-,1,5,35.45,22
1,EQR200417C00070000,2020-01-13 10:17AM EST,70.0,12.09,14.9,16.8,0.0,-,2,3,60.3,50
2,EQR200417C00072500,2020-02-21 3:35PM EST,72.5,14.5,11.4,12.2,0.0,-,1,80,38.89,50
3,EQR200417C00075000,2020-01-23 3:48PM EST,75.0,11.09,11.8,13.0,0.0,-,10,0,60.64,50
4,EQR200417C00077500,2020-02-20 12:21PM EST,77.5,8.42,6.9,7.2,0.0,-,6,476,26.17,50
5,EQR200417C00080000,2020-02-07 2:09PM EST,80.0,4.8,4.7,5.0,0.0,-,2,565,22.36,50
6,EQR200417C00082500,2020-02-18 11:12AM EST,82.5,3.02,2.85,3.2,0.0,-,1,0,20.37,50
7,EQR200417C00085000,2020-02-26 11:50AM EST,85.0,1.6,1.55,1.7,-0.2,-11.11%,5,0,18.01,50
8,EQR200417C00087500,2020-02-26 10:39AM EST,87.5,0.67,0.7,0.8,-0.53,-44.17%,4,1403,17.02,50
9,EQR200417C00090000,2020-02-25 9:57AM EST,90.0,0.25,0.2,0.3,0.0,-,6,0,16.09,50
10,EQR200417C00092500,2020-02-18 3:23PM EST,92.5,0.25,0.0,0.25,0.0,-,6,0,19.29,50
11,EQR200417C00095000,2019-10-23 8:30AM EST,95.0,1.55,0.3,0.5,0.0,-,10,34,27.52,50
1,EQR200717C00077500,2020-02-07 10:39AM EST,77.5,8.0,7.5,8.0,0.0,-,2,2,20.79,141
2,EQR200717C00080000,2020-01-29 9:30AM EST,80.0,8.0,5.8,6.1,0.0,-,1,16,19.44,141
3,EQR200717C00082500,2020-02-21 1:11PM EST,82.5,5.8,4.0,4.4,0.0,-,5,0,18.14,141
4,EQR200717C00085000,2020-02-19 2:09PM EST,85.0,3.44,2.85,3.0,0.0,-,1,131,17.13,141
5,EQR200717C00087500,2020-02-19 2:09PM EST,87.5,2.22,1.8,1.95,0.0,-,1,0,16.5,141
6,EQR200717C00090000,2020-02-18 1:20PM EST,90.0,0.94,1.0,1.15,0.0,-,10,0,15.74,141
7,EQR200717C00092500,2020-02-25 3:33PM EST,92.5,0.46,0.5,0.65,0.0,-,10,24,15.32,141
8,EQR200717C00095000,2020-02-06 3:14PM EST,95.0,0.3,0.15,0.35,0.0,-,37,50,15.06,141
