,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,EQR200320P00075000,2020-02-05 9:57AM EST,75.0,0.17,0.0,0.45,0.0,-,-,0,36.77,22
1,EQR200320P00077500,2020-01-29 9:49AM EST,77.5,0.65,0.1,0.25,0.0,-,-,0,24.02,22
2,EQR200320P00080000,2020-02-26 12:38PM EST,80.0,0.45,0.3,0.55,-0.15,-25.00%,135,58,21.97,22
3,EQR200320P00082500,2020-02-19 10:31AM EST,82.5,0.5,0.85,1.15,0.0,-,1,0,19.85,22
4,EQR200320P00085000,2020-02-26 1:03PM EST,85.0,2.1,2.0,2.3,0.55,+35.48%,1,77,18.21,22
5,EQR200320P00087500,2020-02-24 3:52PM EST,87.5,2.65,3.4,4.1,0.0,-,1,0,17.19,22
6,EQR200320P00090000,2020-02-20 12:36PM EST,90.0,4.1,5.7,7.0,0.0,-,20,0,31.54,22
0,EQR200417P00065000,2019-08-27 1:31PM EST,65.0,0.83,0.4,0.55,0.0,-,-,0,49.34,50
1,EQR200417P00070000,2020-01-13 3:34PM EST,70.0,0.37,0.1,0.0,0.0,-,1,152,12.5,50
2,EQR200417P00072500,2020-01-16 1:46PM EST,72.5,0.4,0.0,0.55,0.0,-,5,243,32.23,50
3,EQR200417P00075000,2020-01-22 1:14PM EST,75.0,0.7,0.05,0.75,0.0,-,5,0,29.47,50
4,EQR200417P00077500,2020-02-13 9:56AM EST,77.5,0.3,0.45,0.6,0.0,-,2,315,21.53,50
5,EQR200417P00080000,2020-02-24 2:16PM EST,80.0,0.61,0.9,1.0,0.0,-,11,0,19.61,50
6,EQR200417P00082500,2020-02-26 11:10AM EST,82.5,1.7,1.65,1.75,0.69,+68.32%,2,105,18.42,50
7,EQR200417P00085000,2020-02-24 2:35PM EST,85.0,1.9,2.6,2.95,0.0,-,1,27,17.7,50
8,EQR200417P00087500,2020-02-18 12:35PM EST,87.5,3.2,4.2,4.7,0.0,-,10,65,18.09,50
9,EQR200417P00090000,2019-12-18 3:04PM EST,90.0,10.4,7.7,8.3,0.0,-,1,44,34.2,50
11,EQR200417P00095000,2019-12-02 2:59PM EST,95.0,11.7,14.4,15.5,0.0,-,17,0,60.28,50
12,EQR200417P00105000,2020-02-12 3:17PM EST,105.0,20.4,20.0,23.2,0.0,-,1,0,61.77,50
0,EQR200717P00065000,2020-01-31 10:26AM EST,65.0,0.3,0.0,0.75,0.0,-,25,0,32.3,141
1,EQR200717P00070000,2020-02-07 3:50PM EST,70.0,0.5,0.4,0.55,0.0,-,1,10,22.83,141
2,EQR200717P00075000,2020-02-12 3:30PM EST,75.0,1.0,1.0,1.1,0.2,+25.00%,1,99,20.47,141
3,EQR200717P00077500,2020-02-24 3:28PM EST,77.5,1.1,1.45,1.6,0.0,-,5,88,19.67,141
4,EQR200717P00080000,2020-02-24 2:28PM EST,80.0,1.65,2.1,2.3,0.0,-,6,306,18.98,141
5,EQR200717P00082500,2020-02-13 10:20AM EST,82.5,2.45,3.0,3.2,0.0,-,-,1,18.2,141
6,EQR200717P00085000,2020-01-30 1:54PM EST,85.0,4.6,4.0,4.4,0.0,-,-,10,17.68,141
7,EQR200717P00087500,2020-02-13 10:20AM EST,87.5,4.95,5.5,5.9,0.0,-,-,1,17.33,141
8,EQR200717P00090000,2020-02-13 1:10PM EST,90.0,6.5,7.3,7.8,0.0,-,-,15,17.87,141
