,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ESS200320P00290000,2020-02-12 12:41PM EST,290.0,0.63,0.55,0.9,0.0,-,1,4,28.13,22
1,ESS200320P00300000,2020-02-25 12:16PM EST,300.0,1.3,1.2,1.6,0.0,-,1,2,24.54,22
2,ESS200320P00310000,2020-02-24 12:11AM EST,310.0,1.55,1.85,3.0,0.0,-,2,0,20.97,22
3,ESS200320P00320000,2020-02-25 3:01PM EST,320.0,7.1,5.4,6.1,0.0,-,4,31,18.09,22
4,ESS200320P00330000,2020-02-25 1:28PM EST,330.0,12.1,10.7,12.2,0.0,-,1,16,16.69,22
0,ESS200417P00220000,2019-09-29 11:00PM EST,220.0,1.0,0.1,5.0,0.0,-,-,0,70.51,50
1,ESS200417P00230000,2019-12-11 2:29PM EST,230.0,1.2,0.15,1.7,0.0,-,1,0,50.95,50
2,ESS200417P00240000,2020-01-07 2:15PM EST,240.0,1.05,0.65,4.3,0.0,-,-,2,56.71,50
3,ESS200417P00250000,2020-01-31 11:41AM EST,250.0,0.85,0.0,4.4,0.0,-,2,5,59.55,50
4,ESS200417P00260000,2020-01-21 12:38PM EST,260.0,0.87,0.0,0.0,0.0,-,1,0,12.5,50
5,ESS200417P00270000,2020-02-25 1:17PM EST,270.0,0.75,0.1,2.2,0.0,-,4,125,36.72,50
6,ESS200417P00280000,2020-01-16 11:49AM EST,280.0,3.2,0.0,5.0,0.0,-,5,22,40.9,50
7,ESS200417P00290000,2020-01-27 11:50AM EST,290.0,4.4,1.8,2.3,0.0,-,15,54,25.17,50
8,ESS200417P00300000,2020-01-24 10:41AM EST,300.0,6.1,1.2,2.6,0.0,-,1,87,19.95,50
9,ESS200417P00310000,2020-02-20 10:18AM EST,310.0,4.5,5.3,6.0,0.0,-,2,0,21.3,50
10,ESS200417P00320000,2019-12-06 12:29PM EST,320.0,19.34,20.2,23.5,0.0,-,1,0,48.49,50
11,ESS200417P00330000,2020-02-25 2:53PM EST,330.0,16.6,14.4,15.6,0.0,-,1,54,19.5,50
12,ESS200417P00340000,2020-02-25 2:56PM EST,340.0,23.6,21.4,23.5,0.0,-,3,0,20.67,50
13,ESS200417P00350000,2019-11-14 9:40AM EST,350.0,36.7,49.8,54.5,0.0,-,1,3,69.45,50
14,ESS200417P00360000,2019-11-04 1:55PM EST,360.0,42.55,48.5,53.4,0.0,-,4,1,50.8,50
0,ESS200717P00240000,2020-01-16 11:48AM EST,240.0,1.53,0.7,2.05,0.0,-,1,1,32.62,141
1,ESS200717P00250000,2020-01-30 9:33AM EST,250.0,2.5,1.0,1.8,0.0,-,2,0,27.99,141
2,ESS200717P00270000,2019-12-20 11:18AM EST,270.0,7.02,3.2,4.0,0.0,-,10,0,26.69,141
3,ESS200717P00280000,2020-02-25 2:25PM EST,280.0,5.0,3.4,5.9,0.0,-,1,102,26.37,141
4,ESS200717P00300000,2020-02-06 2:20PM EST,300.0,10.0,7.3,8.5,0.0,-,1,304,21.34,141
5,ESS200717P00310000,2020-02-05 2:06PM EST,310.0,15.14,9.5,12.1,0.0,-,-,0,20.98,141
6,ESS200717P00320000,2020-02-05 2:06PM EST,320.0,20.47,14.1,16.2,0.0,-,-,0,20.08,141
7,ESS200717P00330000,2020-02-25 3:01PM EST,330.0,22.0,20.6,22.7,0.0,-,-,-,21.01,141
8,ESS200717P00340000,2020-02-25 6:57PM EST,340.0,28.9,26.6,29.5,0.0,-,-,-,21.23,141
9,ESS200717P00350000,2020-02-25 3:01PM EST,350.0,36.1,34.3,36.8,0.0,-,-,-,21.1,141
10,ESS200717P00360000,2020-02-25 2:55PM EST,360.0,44.9,42.8,45.2,0.0,-,-,-,21.72,141
0,ESS201016P00340000,2020-02-25 2:56PM EST,340.0,32.8,29.6,32.6,0.0,-,1,1,19.84,232
1,ESS201016P00360000,2020-02-25 6:57PM EST,360.0,47.3,45.2,47.0,0.0,-,-,2,19.32,232
2,ESS201016P00370000,2020-02-25 3:01PM EST,370.0,55.6,54.2,57.2,0.0,-,-,-,21.96,232
