,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ES200320P00045000,2020-02-20 9:52AM EST,45.0,2.6,0.0,0.15,0.0,-,-,0,124.22,22
1,ES200320P00080000,2020-02-25 2:09PM EST,80.0,0.02,0.0,0.1,0.0,-,65,32,33.79,22
2,ES200320P00085000,2020-02-24 12:20PM EST,85.0,0.1,0.1,0.25,0.0,-,1,5,27.88,22
3,ES200320P00090000,2020-02-25 3:24PM EST,90.0,0.9,0.55,0.75,0.0,-,4,251,22.51,22
4,ES200320P00095000,2020-02-24 3:27PM EST,95.0,2.46,2.35,2.65,0.26,+11.82%,1,0,20.26,22
5,ES200320P00100000,2020-02-24 10:19AM EST,100.0,4.6,6.2,6.8,0.0,-,1,0,25.54,22
0,ES200417P00060000,2019-09-26 9:34AM EST,60.0,0.25,0.0,0.75,0.0,-,-,5,70.22,50
1,ES200417P00065000,2020-01-23 9:30AM EST,65.0,0.05,0.05,0.0,0.0,-,10,0,25.0,50
2,ES200417P00070000,2020-01-22 9:35AM EST,70.0,0.15,0.0,0.0,0.0,-,2,0,12.5,50
3,ES200417P00075000,2020-02-13 11:06AM EST,75.0,0.15,0.1,0.15,0.0,-,3,0,32.91,50
4,ES200417P00080000,2020-02-06 1:59PM EST,80.0,0.35,0.1,0.25,0.0,-,10,133,27.59,50
5,ES200417P00085000,2020-01-17 2:07PM EST,85.0,0.55,0.25,0.4,0.0,-,3,70,21.49,50
6,ES200417P00090000,2020-02-26 11:11AM EST,90.0,1.1,1.2,1.35,0.05,+4.76%,2,53,20.51,50
7,ES200417P00095000,2020-02-25 11:22AM EST,95.0,3.3,3.0,3.3,0.0,-,8,0,18.46,50
8,ES200417P00100000,2019-12-23 10:30AM EST,100.0,15.55,7.5,11.4,0.0,-,1,0,54.13,50
0,ES200717P00065000,2019-11-27 10:29AM EST,65.0,0.52,0.2,0.4,0.0,-,-,0,36.28,141
1,ES200717P00070000,2019-12-26 3:22PM EST,70.0,0.58,0.0,0.75,0.0,-,4,15,34.96,141
2,ES200717P00075000,2020-02-13 2:28PM EST,75.0,0.4,0.35,0.5,0.0,-,18,19,25.56,141
3,ES200717P00080000,2020-01-24 12:16PM EST,80.0,0.65,0.4,0.55,0.0,-,5,0,20.18,141
4,ES200717P00085000,2020-02-04 11:40AM EST,85.0,1.75,1.45,1.6,0.0,-,5,0,21.24,141
5,ES200717P00090000,2020-02-26 9:48AM EST,90.0,2.6,2.65,2.85,-0.47,-15.31%,6,12,19.46,141
6,ES200717P00095000,2020-02-26 10:31AM EST,95.0,4.71,4.7,5.0,0.31,+7.05%,-,0,18.35,141
