,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,EXPD200320P00065000,2020-02-24 10:12AM EST,65.0,0.3,0.1,0.25,0.1,+50.00%,2,195,34.42,22
1,EXPD200320P00070000,2020-02-26 12:22PM EST,70.0,0.7,0.7,0.8,-0.4,-36.36%,111,127,27.44,22
2,EXPD200320P00075000,2020-02-26 12:22PM EST,75.0,2.7,2.55,2.75,-0.8,-22.86%,10,59,22.53,22
0,EXPD200417P00065000,2020-02-24 11:57AM EST,65.0,0.65,0.4,0.55,0.0,-,-,1,29.35,50
0,EXPD200515P00060000,2020-02-14 1:47PM EST,60.0,0.6,0.4,0.55,0.0,-,8,0,34.33,78
1,EXPD200515P00065000,2020-02-25 1:06PM EST,65.0,1.15,0.9,1.05,0.0,-,8,0,29.81,78
2,EXPD200515P00070000,2020-02-25 2:51PM EST,70.0,2.45,2.0,2.15,0.0,-,213,382,26.42,78
3,EXPD200515P00075000,2020-02-24 2:21PM EST,75.0,4.4,4.1,4.3,0.0,-,15,376,24.11,78
4,EXPD200515P00080000,2020-02-20 12:06PM EST,80.0,5.7,7.2,7.6,0.0,-,30,0,21.7,78
5,EXPD200515P00085000,2020-02-19 2:29PM EST,85.0,8.8,11.4,11.8,0.0,-,-,0,14.06,78
0,EXPD200821P00045000,2020-01-22 11:22AM EST,45.0,0.15,0.0,0.25,0.0,-,-,0,39.65,176
1,EXPD200821P00050000,2020-01-28 9:35AM EST,50.0,0.3,0.0,0.75,0.0,-,1,0,41.28,176
2,EXPD200821P00055000,2020-02-12 3:50PM EST,55.0,0.5,0.5,0.7,0.0,-,2,217,32.4,176
3,EXPD200821P00060000,2020-02-20 3:18PM EST,60.0,0.75,1.05,1.2,0.0,-,20,0,29.44,176
4,EXPD200821P00065000,2020-02-03 1:32PM EST,65.0,2.25,1.95,2.15,0.0,-,11,0,27.47,176
5,EXPD200821P00070000,2020-02-24 9:38AM EST,70.0,3.0,3.4,3.7,0.0,-,19,212,25.87,176
6,EXPD200821P00075000,2020-02-26 10:56AM EST,75.0,5.43,5.6,5.9,-0.85,-13.54%,1,244,24.06,176
7,EXPD200821P00080000,2020-02-11 3:57PM EST,80.0,8.9,8.6,9.0,0.0,-,-,1,22.91,176
0,EXPD201120P00065000,2020-02-25 10:37AM EST,65.0,3.0,2.75,3.1,0.0,-,402,402,27.08,267
0,EXPD210115P00055000,2020-02-25 11:41AM EST,55.0,1.32,1.2,1.4,0.0,-,10,10,29.6,323
1,EXPD210115P00065000,2020-02-25 10:37AM EST,65.0,3.4,3.1,3.5,0.0,-,23,28,26.39,323
2,EXPD210115P00070000,2020-02-20 12:09PM EST,70.0,4.0,4.9,5.2,0.0,-,1,0,24.88,323
3,EXPD210115P00075000,2020-02-21 12:41PM EST,75.0,5.9,7.2,7.5,0.0,-,20,36,23.62,323
4,EXPD210115P00080000,2020-02-12 3:32PM EST,80.0,9.9,10.1,10.5,0.0,-,-,1,22.83,323
