,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,EXPE200228P00080000,2020-02-13 3:59PM EST,80.0,0.05,0.0,0.25,0.0,-,200,0,143.36,1
1,EXPE200228P00085000,2020-02-26 1:13PM EST,85.0,0.1,0.0,0.15,0.0,-,1,4,103.91,1
2,EXPE200228P00090000,2020-02-14 9:39AM EST,90.0,0.05,0.2,0.3,0.0,-,21,0,96.88,1
3,EXPE200228P00093000,2020-02-26 1:08PM EST,93.0,0.29,0.35,0.5,0.23,+383.33%,2,2,89.06,1
4,EXPE200228P00095000,2020-02-26 12:02PM EST,95.0,0.53,0.5,0.65,0.33,+165.00%,3,26,82.42,1
5,EXPE200228P00097000,2020-02-26 1:14PM EST,97.0,0.74,0.7,0.9,0.45,+155.17%,40,0,76.07,1
6,EXPE200228P00098000,2020-02-26 1:03PM EST,98.0,0.7,0.9,1.15,0.35,+100.00%,35,113,75.54,1
7,EXPE200228P00099000,2020-02-26 12:26PM EST,99.0,1.0,1.1,1.25,0.85,+566.67%,9,0,71.24,1
8,EXPE200228P00100000,2020-02-26 1:23PM EST,100.0,1.35,1.3,1.45,0.85,+170.00%,296,0,67.43,1
9,EXPE200228P00101000,2020-02-26 1:08PM EST,101.0,1.4,1.6,1.75,0.75,+115.38%,34,96,65.23,1
10,EXPE200228P00102000,2020-02-26 1:29PM EST,102.0,1.79,1.8,1.9,1.09,+155.71%,313,201,58.11,1
11,EXPE200228P00103000,2020-02-26 1:29PM EST,103.0,2.15,2.2,2.35,1.15,+115.00%,64,262,56.06,1
12,EXPE200228P00104000,2020-02-26 1:21PM EST,104.0,2.59,2.55,2.75,1.44,+125.22%,114,17,50.49,1
13,EXPE200228P00105000,2020-02-26 1:27PM EST,105.0,2.95,3.1,3.3,1.7,+136.00%,839,1063,50.15,1
14,EXPE200228P00106000,2020-02-26 1:16PM EST,106.0,3.6,3.5,3.8,1.85,+105.71%,276,179,41.7,1
15,EXPE200228P00107000,2020-02-26 1:08PM EST,107.0,4.0,4.1,4.4,2.0,+100.00%,70,0,25.0,1
0,EXPE200306P00080000,2020-02-26 12:52PM EST,80.0,0.15,0.15,0.3,0.05,+50.00%,7,0,87.3,8
1,EXPE200306P00085000,2020-02-26 1:14PM EST,85.0,0.45,0.35,0.55,0.28,+164.71%,9,18,80.86,8
2,EXPE200306P00090000,2020-02-26 1:16PM EST,90.0,0.75,0.75,0.95,0.4,+114.29%,34,0,73.93,8
3,EXPE200306P00095000,2020-02-26 1:24PM EST,95.0,1.55,1.5,1.7,0.85,+121.43%,254,89,67.53,8
4,EXPE200306P00096000,2020-02-25 1:35PM EST,96.0,0.6,0.4,0.5,0.24,+66.67%,-,-,39.01,8
5,EXPE200306P00097000,2020-02-26 1:18PM EST,97.0,1.9,1.85,2.05,0.9,+90.00%,15,2,63.38,8
6,EXPE200306P00098000,2020-02-26 1:11PM EST,98.0,2.0,2.15,2.25,0.95,+90.48%,392,0,62.04,8
7,EXPE200306P00099000,2020-02-26 12:56PM EST,99.0,1.88,2.4,2.65,0.73,+63.48%,98,0,61.43,8
8,EXPE200306P00100000,2020-02-26 1:24PM EST,100.0,2.6,2.65,2.8,1.25,+92.59%,1359,0,58.33,8
9,EXPE200306P00101000,2020-02-26 1:25PM EST,101.0,3.1,2.95,3.2,1.5,+93.75%,163,4,57.08,8
10,EXPE200306P00102000,2020-02-26 12:40PM EST,102.0,2.6,3.3,3.7,0.8,+44.44%,7,11,56.37,8
11,EXPE200306P00103000,2020-02-26 1:06PM EST,103.0,3.76,3.7,4.0,1.86,+97.89%,96,0,53.96,8
12,EXPE200306P00104000,2020-02-26 1:23PM EST,104.0,4.1,4.1,4.5,1.95,+90.70%,116,0,52.39,8
13,EXPE200306P00105000,2020-02-26 12:31PM EST,105.0,3.6,4.6,4.9,1.2,+50.00%,194,0,50.15,8
14,EXPE200306P00106000,2020-02-26 12:45PM EST,106.0,4.4,5.1,5.4,1.55,+54.39%,19,25,50.2,8
15,EXPE200306P00107000,2020-02-26 11:15AM EST,107.0,4.72,5.6,6.0,1.62,+52.26%,67,114,48.78,8
16,EXPE200306P00108000,2020-02-26 1:31PM EST,108.0,6.4,6.2,6.4,2.9,+82.86%,267,8,42.82,8
17,EXPE200306P00109000,2020-02-26 10:37AM EST,109.0,3.8,6.8,7.1,-0.3,-7.32%,3,0,40.85,8
18,EXPE200306P00110000,2020-02-25 1:31PM EST,110.0,4.51,7.6,7.9,0.01,+0.22%,11,0,39.89,8
19,EXPE200306P00111000,2020-02-26 12:59PM EST,111.0,7.58,8.2,8.6,2.28,+43.02%,19,0,34.28,8
0,EXPE200313P00080000,2020-02-26 12:46PM EST,80.0,0.26,0.3,0.5,0.06,+30.00%,2,0,75.29,15
1,EXPE200313P00085000,2020-02-26 1:16PM EST,85.0,0.6,0.5,0.7,0.45,+300.00%,9,11,66.75,15
2,EXPE200313P00090000,2020-02-26 1:05PM EST,90.0,0.84,0.95,1.15,0.24,+40.00%,1021,0,60.84,15
3,EXPE200313P00095000,2020-02-26 1:14PM EST,95.0,1.8,1.75,2.0,0.8,+80.00%,22,0,55.86,15
4,EXPE200313P00098000,2020-02-26 1:09PM EST,98.0,2.4,2.4,2.7,1.78,+287.10%,28,10,52.03,15
5,EXPE200313P00098500,2020-02-26 1:09PM EST,98.5,2.55,2.55,2.8,1.86,+269.57%,20,1,51.29,15
6,EXPE200313P00099000,2020-02-26 1:20PM EST,99.0,2.8,2.6,2.9,1.1,+64.71%,79,150,51.69,15
7,EXPE200313P00099500,2020-02-26 1:32PM EST,99.5,3.1,2.85,3.1,1.4,+82.35%,12,4,50.17,15
8,EXPE200313P00100000,2020-02-26 1:16PM EST,100.0,3.2,3.0,3.3,1.4,+77.78%,74,65,51.54,15
9,EXPE200313P00101000,2020-02-26 9:36AM EST,101.0,1.95,3.3,3.7,0.35,+21.88%,50,40,51.0,15
10,EXPE200313P00102000,2020-02-24 3:49PM EST,102.0,0.95,3.7,4.1,0.0,-,48,0,50.07,15
11,EXPE200313P00103000,2020-02-26 1:26PM EST,103.0,4.29,4.2,4.5,1.79,+71.60%,1023,8,48.74,15
12,EXPE200313P00104000,2020-02-26 1:12PM EST,104.0,4.7,4.6,5.0,1.4,+42.42%,19,0,48.15,15
13,EXPE200313P00105000,2020-02-24 3:48PM EST,105.0,2.92,5.0,5.3,1.02,+53.68%,31,0,44.82,15
14,EXPE200313P00106000,2020-02-26 12:45PM EST,106.0,4.98,5.7,6.0,1.28,+34.59%,72,0,45.63,15
15,EXPE200313P00107000,2020-02-26 12:16PM EST,107.0,5.37,6.1,6.4,1.47,+37.69%,15,0,42.41,15
16,EXPE200313P00108000,2020-02-25 12:21PM EST,108.0,5.9,6.7,7.1,2.97,+101.37%,6,0,42.29,15
17,EXPE200313P00109000,2020-02-26 12:45PM EST,109.0,6.7,7.5,7.7,1.6,+31.37%,44,0,40.28,15
18,EXPE200313P00110000,2020-02-26 10:16AM EST,110.0,5.16,8.2,8.5,2.46,+91.11%,2,83,40.53,15
19,EXPE200313P00111000,2020-02-25 1:57PM EST,111.0,5.3,8.9,9.2,0.0,-,8,0,38.65,15
20,EXPE200313P00112000,2020-02-25 9:38AM EST,112.0,6.7,9.6,10.0,0.0,-,97,0,37.7,15
21,EXPE200313P00113000,2020-02-26 12:42PM EST,113.0,9.4,10.3,10.7,2.05,+27.89%,1,0,33.5,15
0,EXPE200320P00065000,2020-02-26 1:01PM EST,65.0,0.1,0.0,0.2,0.09,+900.00%,1,4,83.2,22
1,EXPE200320P00070000,2020-02-25 12:17PM EST,70.0,0.2,0.05,0.2,0.17,+566.67%,1,0,73.54,22
2,EXPE200320P00075000,2020-02-26 1:14PM EST,75.0,0.25,0.25,0.35,0.23,"+1,150.00%",30,11,72.17,22
3,EXPE200320P00080000,2020-02-26 1:16PM EST,80.0,0.45,0.45,0.5,0.1,+28.57%,55,0,65.92,22
4,EXPE200320P00085000,2020-02-26 12:51PM EST,85.0,0.53,0.7,0.85,0.13,+32.50%,36,120,60.25,22
