,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,EXR200320C00065000,2019-08-11 11:04PM EST,65.0,48.75,50.9,55.1,0.0,-,-,1,299.66,22
1,EXR200320C00070000,2019-08-11 11:04PM EST,70.0,43.7,45.9,50.1,0.0,-,-,1,270.43,22
2,EXR200320C00090000,2019-07-25 9:32AM EST,90.0,19.98,29.3,33.4,0.0,-,-,2,206.62,22
3,EXR200320C00095000,2020-02-24 9:44AM EST,95.0,14.4,12.7,15.7,0.0,-,1,2,65.33,22
4,EXR200320C00100000,2020-02-25 3:05PM EST,100.0,6.9,9.1,9.7,0.0,-,5,36,36.96,22
5,EXR200320C00105000,2020-02-21 1:57PM EST,105.0,3.0,4.8,5.1,0.0,-,5,0,26.61,22
6,EXR200320C00110000,2020-02-26 1:21PM EST,110.0,1.6,1.5,1.75,0.82,+105.13%,14,277,21.07,22
7,EXR200320C00115000,2020-02-25 2:57PM EST,115.0,0.3,0.2,0.35,0.15,+100.00%,4,0,19.34,22
8,EXR200320C00120000,2020-02-25 9:36AM EST,120.0,0.1,0.0,0.15,0.0,-,1,238,23.73,22
9,EXR200320C00125000,2020-02-19 1:51PM EST,125.0,0.05,0.0,0.05,0.0,-,3,0,25.98,22
10,EXR200320C00130000,2019-12-09 11:50AM EST,130.0,0.2,0.0,2.6,0.0,-,29,0,63.16,22
11,EXR200320C00135000,2019-12-09 11:40AM EST,135.0,0.15,0.05,0.8,0.0,-,43,54,54.15,22
12,EXR200320C00140000,2019-12-09 12:13PM EST,140.0,0.1,0.15,1.35,0.0,-,1,5,69.14,22
13,EXR200320C00145000,2019-08-30 11:19AM EST,145.0,0.41,0.05,4.2,0.0,-,-,0,100.51,22
0,EXR200619C00070000,2020-01-27 10:57AM EST,70.0,41.2,36.70,40.4,0.0,-,2,0,64.87,113
1,EXR200619C00085000,2020-02-19 12:07PM EST,85.0,26.2,21.50,26.0,0.0,-,-,0,46.57,113
2,EXR200619C00090000,2020-01-03 12:06PM EST,90.0,17.14,18.90,23.5,0.0,-,1,0,53.91,113
3,EXR200619C00095000,2020-02-25 3:05PM EST,95.0,12.2,14.10,15.1,0.0,-,5,1,26.01,113
4,EXR200619C00100000,2020-02-21 11:59AM EST,100.0,7.6,10.20,10.5,0.0,-,3,7,21.51,113
5,EXR200619C00105000,2020-02-21 11:38AM EST,105.0,6.5,6.50,6.9,0.0,-,6,43,20.27,113
6,EXR200619C00110000,2020-02-21 12:15PM EST,110.0,3.58,3.70,4.0,0.0,-,9,46,18.95,113
7,EXR200619C00115000,2020-02-24 3:46PM EST,115.0,1.85,1.80,2.0,0.0,-,181,350,17.86,113
8,EXR200619C00120000,2020-02-25 10:10AM EST,120.0,0.55,0.70,0.9,0.0,-,5,33,17.4,113
9,EXR200619C00125000,2020-02-24 3:47PM EST,125.0,0.3,0.20,0.4,0.0,-,14,29,17.53,113
10,EXR200619C00130000,2020-01-29 2:29PM EST,130.0,0.2,0.05,0.2,0.0,-,2,12,18.31,113
11,EXR200619C00135000,2019-12-16 12:13AM EST,135.0,0.35,-,1.4,0.0,-,-,0,33.51,113
12,EXR200619C00150000,2020-02-18 9:36AM EST,150.0,0.1,0.00,0.6,0.0,-,-,50,35.94,113
0,EXR200918C00100000,2020-01-30 11:16PM EST,100.0,12.1,10.9,11.4,0.0,-,-,0,19.7,204
1,EXR200918C00105000,2020-02-19 10:57AM EST,105.0,6.7,7.6,7.9,0.0,-,-,0,18.48,204
2,EXR200918C00110000,2020-02-21 10:53AM EST,110.0,4.6,4.8,5.2,0.0,-,4,0,17.9,204
3,EXR200918C00115000,2020-02-25 1:33PM EST,115.0,2.36,2.8,3.2,0.0,-,5,77,17.45,204
4,EXR200918C00120000,2020-02-24 11:55AM EST,120.0,2.0,1.6,1.8,0.0,-,2,11,16.94,204
5,EXR200918C00125000,2020-02-24 9:55AM EST,125.0,0.85,0.8,1.0,0.0,-,1,17,16.89,204
6,EXR200918C00130000,2020-02-19 1:58PM EST,130.0,0.35,0.35,0.5,0.0,-,-,0,16.63,204
7,EXR200918C00135000,2020-02-20 12:39PM EST,135.0,0.1,0.15,0.3,0.0,-,1,40,17.21,204
