,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,FANG200320P00050000,2020-02-10 2:42PM EST,50.0,0.2,0.0,0.2,0.0,-,1,0,52.73,22
1,FANG200320P00055000,2020-02-26 12:58PM EST,55.0,0.55,0.45,0.6,0.1,+22.22%,15,99,52.93,22
2,FANG200320P00060000,2020-02-26 1:19PM EST,60.0,1.54,1.45,1.55,0.34,+28.33%,30,727,50.17,22
3,FANG200320P00065000,2020-02-26 1:18PM EST,65.0,3.6,3.4,3.6,0.9,+33.33%,47,0,47.22,22
4,FANG200320P00070000,2020-02-26 1:21PM EST,70.0,6.89,6.6,6.9,1.69,+32.50%,46,24602,44.82,22
5,FANG200320P00075000,2020-02-26 10:44AM EST,75.0,9.8,10.8,11.2,0.6,+6.52%,9,1656,43.46,22
6,FANG200320P00080000,2020-02-25 2:48PM EST,80.0,13.7,15.4,16.1,0.0,-,5,0,51.17,22
9,FANG200320P00095000,2020-02-24 12:03PM EST,95.0,24.1,30.1,31.0,0.0,-,80,159,70.9,22
10,FANG200320P00100000,2020-02-04 12:02PM EST,100.0,25.6,35.0,36.1,0.0,-,2,66,88.96,22
0,FANG200417P00050000,2020-02-26 10:54AM EST,50.0,0.35,0.45,0.55,-0.12,-25.53%,12,12,50.83,50
1,FANG200417P00055000,2020-02-26 11:27AM EST,55.0,0.92,1.1,1.25,-0.05,-5.15%,1,1,48.88,50
2,FANG200417P00060000,2020-02-26 1:21PM EST,60.0,2.5,2.4,2.55,0.7,+38.89%,82,23,45.92,50
3,FANG200417P00065000,2020-02-25 12:23PM EST,65.0,3.8,3.5,3.8,0.0,-,3,-,34.16,50
4,FANG200417P00070000,2020-02-25 3:27PM EST,70.0,6.45,6.2,6.5,0.0,-,-,-,24.76,50
0,FANG200619P00040000,2020-02-07 3:52PM EST,40.0,0.38,0.3,0.45,0.18,+90.00%,2,0,53.42,113
1,FANG200619P00045000,2020-02-25 12:02PM EST,45.0,0.67,0.7,0.85,0.12,+21.82%,2,69,50.59,113
2,FANG200619P00050000,2020-02-14 3:27PM EST,50.0,0.47,1.4,1.55,0.0,-,10,84,49.02,113
3,FANG200619P00055000,2020-02-25 3:53PM EST,55.0,2.32,2.55,2.7,0.0,-,8,1531,46.83,113
4,FANG200619P00060000,2020-02-25 12:20PM EST,60.0,3.2,4.2,4.4,0.0,-,15,0,44.96,113
5,FANG200619P00065000,2020-02-26 1:07PM EST,65.0,6.5,6.5,6.8,1.57,+31.85%,64,541,43.9,113
6,FANG200619P00070000,2020-02-25 2:27PM EST,70.0,9.5,9.6,9.8,1.2,+14.46%,1,0,42.82,113
7,FANG200619P00075000,2020-02-24 2:50PM EST,75.0,11.7,13.0,13.3,3.15,+36.84%,40,0,41.36,113
8,FANG200619P00080000,2020-02-25 10:59AM EST,80.0,14.1,17.1,17.4,0.0,-,5,344,41.15,113
9,FANG200619P00085000,2020-02-25 10:58AM EST,85.0,18.3,21.5,21.8,0.0,-,1,52,40.77,113
10,FANG200619P00090000,2020-02-11 10:03AM EST,90.0,18.5,25.9,26.5,0.0,-,5,803,41.7,113
11,FANG200619P00095000,2020-02-21 11:14AM EST,95.0,20.41,30.5,31.4,0.0,-,1,60,44.53,113
12,FANG200619P00100000,2020-01-30 3:57PM EST,100.0,24.47,35.3,36.4,0.0,-,1,0,48.83,113
