,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,FAST200320P00025000,2020-02-25 2:36PM EST,25.0,0.07,0.0,0.1,0.0,-,1,16,71.88,22
1,FAST200320P00030000,2020-02-25 3:47PM EST,30.0,0.15,0.0,0.15,0.0,-,1,62,50.29,22
2,FAST200320P00032500,2020-02-26 11:46AM EST,32.5,0.2,0.2,0.25,-0.1,-33.33%,45,0,37.99,22
3,FAST200320P00035000,2020-02-26 11:54AM EST,35.0,0.65,0.6,0.75,-0.15,-18.75%,72,982,32.72,22
4,FAST200320P00037500,2020-02-26 10:21AM EST,37.5,1.6,1.7,1.85,-0.45,-21.95%,6,564,24.46,22
7,FAST200320P00045000,2020-02-21 10:36AM EST,45.0,6.4,8.2,9.0,0.0,-,4,0,35.94,22
8,FAST200320P00050000,2020-02-18 10:06AM EST,50.0,11.65,13.2,14.0,0.0,-,-,0,50.78,22
0,FAST200417P00027500,2020-02-25 12:23PM EST,27.5,0.1,0.0,0.2,0.0,-,8,8,49.61,50
1,FAST200417P00032500,2020-02-25 2:47PM EST,32.5,0.7,0.5,0.6,0.0,-,-,-,35.74,50
2,FAST200417P00035000,2020-02-24 12:19PM EST,35.0,1.4,1.15,1.3,0.0,-,7,10,32.72,50
3,FAST200417P00037500,2020-02-24 10:55AM EST,37.5,1.76,2.15,2.3,0.0,-,-,-,25.54,50
0,FAST200515P00022500,2020-02-10 9:34AM EST,22.5,0.05,0.0,0.15,0.0,-,5,15,52.54,78
1,FAST200515P00025000,2020-02-25 1:28PM EST,25.0,0.15,0.05,0.15,0.0,-,10,9,48.05,78
2,FAST200515P00027500,2020-02-04 12:24PM EST,27.5,0.25,0.15,0.3,0.1,+66.67%,10,0,44.34,78
3,FAST200515P00030000,2020-02-25 3:25PM EST,30.0,0.54,0.4,0.5,0.0,-,3,70,38.92,78
4,FAST200515P00032500,2020-02-24 12:00PM EST,32.5,0.64,0.8,0.95,0.0,-,10,137,35.74,78
5,FAST200515P00035000,2020-02-26 11:38AM EST,35.0,1.45,1.55,1.7,-0.25,-14.71%,18,891,32.54,78
6,FAST200515P00037500,2020-02-25 3:40PM EST,37.5,2.97,2.7,2.9,0.0,-,2,319,29.93,78
7,FAST200515P00040000,2020-02-26 9:54AM EST,40.0,4.3,4.3,4.5,1.1,+34.38%,18,0,25.83,78
8,FAST200515P00042500,2020-02-25 2:56PM EST,42.5,6.6,6.4,6.6,0.0,-,16,0,21.49,78
9,FAST200515P00045000,2019-12-10 1:13PM EST,45.0,9.34,8.8,9.3,0.0,-,1,1,35.69,78
0,FAST200821P00025000,2020-02-04 9:55AM EST,25.0,0.27,0.25,0.4,0.0,-,30,23,40.67,176
1,FAST200821P00027500,2020-02-20 10:25AM EST,27.5,0.5,0.5,0.6,0.0,-,2,0,36.52,176
2,FAST200821P00030000,2020-02-26 11:58AM EST,30.0,0.92,0.85,1.05,0.07,+8.24%,1,0,34.86,176
3,FAST200821P00032500,2020-02-24 10:41AM EST,32.5,1.25,1.45,1.6,0.0,-,5,0,31.84,176
4,FAST200821P00035000,2020-02-18 9:30AM EST,35.0,1.97,2.3,2.55,0.0,-,1,0,30.57,176
5,FAST200821P00037500,2020-02-19 9:48AM EST,37.5,2.4,3.5,3.8,0.0,-,3,0,29.16,176
6,FAST200821P00042500,2020-02-10 12:00AM EST,42.5,6.6,6.9,7.2,0.0,-,-,0,25.9,176
0,FAST210115P00015000,2020-01-13 2:28PM EST,15.0,0.1,0.0,0.0,0.0,-,6,35,25.0,323
1,FAST210115P00016250,2019-06-07 9:55AM EST,16.25,1.95,0.3,0.45,0.0,-,-,-,56.45,323
2,FAST210115P00017500,2020-02-07 3:45PM EST,17.5,0.15,0.05,0.25,0.0,-,20,27,47.46,323
3,FAST210115P00018750,2020-02-26 1:14PM EST,18.75,0.25,0.15,0.3,-0.15,-37.50%,2,10,45.22,323
4,FAST210115P00020000,2020-02-26 1:23PM EST,20.0,0.4,0.2,0.4,0.13,+48.15%,6,872,44.29,323
5,FAST210115P00021250,2019-12-12 12:21PM EST,21.25,0.52,0.35,0.5,0.0,-,3,13,42.87,323
6,FAST210115P00022500,2020-02-26 1:14PM EST,22.5,0.45,0.35,0.55,-0.2,-30.77%,1,36,40.14,323
7,FAST210115P00023750,2020-02-07 1:37PM EST,23.75,0.38,0.5,0.65,0.0,-,10,1942,38.31,323
8,FAST210115P00025000,2020-02-10 3:50PM EST,25.0,0.6,0.6,0.8,0.0,-,142,0,37.06,323
9,FAST210115P00026250,2020-02-04 10:26AM EST,26.25,0.72,0.8,0.95,0.0,-,2,0,35.5,323
10,FAST210115P00027500,2020-01-24 2:57PM EST,27.5,1.1,0.65,0.9,0.0,-,4,0,31.18,323
11,FAST210115P00028750,2020-02-20 10:52AM EST,28.75,0.8,1.25,1.4,0.0,-,13,0,33.3,323
12,FAST210115P00030000,2020-02-18 1:00PM EST,30.0,1.65,1.55,1.7,0.0,-,2,0,32.42,323
13,FAST210115P00031250,2020-02-20 10:52AM EST,31.25,1.21,1.85,2.05,0.0,-,13,1827,31.59,323
14,FAST210115P00032500,2020-02-24 11:00AM EST,32.5,2.1,2.25,2.5,0.0,-,11,456,31.2,323
15,FAST210115P00033750,2020-02-04 10:26AM EST,33.75,2.52,2.75,2.95,0.0,-,2,126,30.34,323
16,FAST210115P00035000,2020-02-24 1:36PM EST,35.0,2.85,3.2,3.5,0.0,-,3,217,29.83,323
17,FAST210115P00036250,2020-02-24 3:02PM EST,36.25,3.2,3.8,4.1,0.0,-,6,0,29.26,323
18,FAST210115P00037500,2020-02-24 1:27PM EST,37.5,4.0,4.4,4.7,0.0,-,5,22,28.25,323
19,FAST210115P00040000,2019-05-07 9:21AM EST,40.0,9.6,9.7,10.3,8.2,+585.71%,400,14,55.42,323
21,FAST210115P00045000,2019-10-28 10:46AM EST,45.0,9.9,10.6,11.2,0.0,-,2,2,36.88,323
22,FAST210115P00047500,2019-05-14 2:33PM EST,47.5,2.73,16.1,17.6,0.0,-,291,0,65.47,323
23,FAST210115P00050000,2019-04-24 11:51AM EST,50.0,1.95,17.5,21.0,0.0,-,1,0,68.71,323
0,FAST220121P00017500,2020-02-18 12:13AM EST,17.5,0.4,0.45,0.8,0.0,-,-,0,43.19,694
1,FAST220121P00020000,2020-02-03 11:30AM EST,20.0,0.77,0.7,1.15,0.0,-,15,0,41.04,694
2,FAST220121P00022500,2020-02-05 12:14PM EST,22.5,1.0,1.1,1.55,0.0,-,-,2,38.67,694
3,FAST220121P00025000,2020-01-21 12:00AM EST,25.0,1.5,0.0,0.0,0.0,-,-,0,6.25,694
4,FAST220121P00027500,2020-02-20 10:46AM EST,27.5,1.6,2.2,2.65,0.0,-,2,417,34.6,694
5,FAST220121P00030000,2020-02-20 10:07AM EST,30.0,2.3,2.95,3.5,0.0,-,2,23,33.55,694
6,FAST220121P00032500,2020-02-25 2:28PM EST,32.5,4.04,3.8,4.7,0.0,-,10,14,33.68,694
7,FAST220121P00035000,2020-02-04 3:23PM EST,35.0,4.8,5.0,5.6,0.0,-,3,9,31.35,694
8,FAST220121P00037500,2020-02-06 3:15PM EST,37.5,5.65,6.3,7.0,0.0,-,1,1,30.95,694
9,FAST220121P00040000,2019-12-27 12:02PM EST,40.0,7.8,8.3,8.9,0.0,-,3,2,32.33,694
10,FAST220121P00050000,2019-11-18 12:08AM EST,50.0,15.3,14.0,16.0,0.0,-,-,5,29.29,694
