,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,FB200228C00165000,2020-02-24 2:33PM EST,165.0,35.05,32.8,33.1,0.0,-,5,0,164.45,1
1,FB200228C00170000,2020-02-25 2:53PM EST,170.0,30.0,28.0,28.2,3.0,+11.11%,10,0,147.75,1
2,FB200228C00175000,2020-02-26 10:49AM EST,175.0,22.25,22.85,23.0,0.45,+2.06%,7,0,122.12,1
3,FB200228C00177500,2020-02-24 12:20PM EST,177.5,22.1,20.15,20.5,0.0,-,1,15,109.23,1
4,FB200228C00180000,2020-02-25 3:58PM EST,180.0,19.6,18.0,18.15,2.55,+14.96%,9,0,104.57,1
5,FB200228C00182500,2020-02-25 3:16PM EST,182.5,18.35,15.55,15.7,2.35,+14.69%,2,0,94.78,1
6,FB200228C00185000,2020-02-25 2:23PM EST,185.0,14.25,12.95,13.1,1.65,+13.10%,4,0,81.67,1
7,FB200228C00187500,2020-02-26 12:18PM EST,187.5,9.9,10.55,10.7,-0.48,-4.62%,10,0,72.24,1
8,FB200228C00190000,2020-02-26 12:31PM EST,190.0,8.7,8.2,8.35,0.45,+5.45%,324,253,62.94,1
9,FB200228C00192500,2020-02-26 1:13PM EST,192.5,6.4,6.45,6.55,0.1,+1.59%,97,0,61.3,1
10,FB200228C00195000,2020-02-26 1:11PM EST,195.0,4.48,4.25,4.35,-0.37,-7.63%,380,705,50.73,1
11,FB200228C00197500,2020-02-26 1:20PM EST,197.5,2.9,2.68,2.72,-0.2,-6.45%,1319,0,45.87,1
12,FB200228C00200000,2020-02-26 1:24PM EST,200.0,1.62,1.49,1.51,-0.37,-18.59%,8885,0,41.72,1
13,FB200228C00202500,2020-02-26 1:27PM EST,202.5,0.91,0.72,0.75,-0.22,-19.47%,4890,0,39.16,1
14,FB200228C00205000,2020-02-26 1:31PM EST,205.0,0.33,0.31,0.33,-0.29,-46.77%,5109,3425,37.45,1
15,FB200228C00207500,2020-02-26 1:23PM EST,207.5,0.15,0.13,0.15,-0.18,-54.55%,2035,0,37.5,1
16,FB200228C00210000,2020-02-26 1:11PM EST,210.0,0.08,0.07,0.07,-0.08,-50.00%,2114,0,38.28,1
17,FB200228C00212500,2020-02-26 1:21PM EST,212.5,0.04,0.03,0.04,-0.05,-55.56%,1289,5362,40.23,1
18,FB200228C00215000,2020-02-26 12:52PM EST,215.0,0.03,0.01,0.03,-0.02,-40.00%,776,0,43.75,1
19,FB200228C00217500,2020-02-26 1:09PM EST,217.5,0.01,0.01,0.02,-0.02,-66.67%,159,4389,46.09,1
20,FB200228C00220000,2020-02-26 12:53PM EST,220.0,0.01,0.0,0.01,0.0,-,264,0,46.88,1
21,FB200228C00222500,2020-02-26 12:34PM EST,222.5,0.01,0.0,0.01,0.0,-,151,3173,50.78,1
22,FB200228C00225000,2020-02-26 1:29PM EST,225.0,0.01,0.0,0.02,-0.01,-50.00%,121,0,54.69,1
23,FB200228C00227500,2020-02-25 3:32PM EST,227.5,0.01,0.0,0.01,0.0,-,105,1600,54.69,1
24,FB200228C00230000,2020-02-26 12:09PM EST,230.0,0.01,0.0,0.01,0.0,-,1,2699,59.38,1
25,FB200228C00232500,2020-02-25 2:45PM EST,232.5,0.01,0.0,0.03,0.0,-,447,844,69.53,1
26,FB200228C00235000,2020-02-26 10:23AM EST,235.0,0.01,0.0,0.01,-0.01,-50.00%,2,1370,65.63,1
27,FB200228C00237500,2020-02-24 11:24AM EST,237.5,0.01,0.0,0.03,0.0,-,6,1647,77.34,1
28,FB200228C00240000,2020-02-24 11:24AM EST,240.0,0.01,0.0,0.01,0.0,-,13,685,71.88,1
29,FB200228C00242500,2020-02-24 10:55AM EST,242.5,0.01,0.0,0.01,0.0,-,2,519,76.56,1
30,FB200228C00245000,2020-02-25 11:26AM EST,245.0,0.01,0.0,0.01,0.0,-,2,869,79.69,1
31,FB200228C00247500,2020-02-21 3:58PM EST,247.5,0.01,0.0,0.05,0.0,-,1,0,96.88,1
32,FB200228C00250000,2020-02-18 2:22PM EST,250.0,0.03,0.0,0.01,0.0,-,1,1374,87.5,1
33,FB200228C00252500,2020-02-20 12:23PM EST,252.5,0.08,0.0,0.06,0.0,-,1,203,106.25,1
