,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,FB200228P00165000,2020-02-26 10:13AM EST,165.0,0.02,0.0,0.04,-0.08,-80.00%,368,0,75.0,1
1,FB200228P00170000,2020-02-26 12:43PM EST,170.0,0.05,0.04,0.06,-0.13,-72.22%,322,0,70.7,1
2,FB200228P00175000,2020-02-26 12:37PM EST,175.0,0.07,0.07,0.09,-0.19,-73.08%,171,716,62.31,1
3,FB200228P00177500,2020-02-26 12:11PM EST,177.5,0.12,0.1,0.11,-0.21,-63.64%,119,0,58.2,1
4,FB200228P00180000,2020-02-26 1:09PM EST,180.0,0.15,0.12,0.16,-0.27,-64.29%,225,1038,54.0,1
5,FB200228P00182500,2020-02-26 1:19PM EST,182.5,0.21,0.2,0.21,-0.38,-64.41%,103,446,50.59,1
6,FB200228P00185000,2020-02-26 1:18PM EST,185.0,0.29,0.27,0.28,-0.44,-60.27%,305,1375,46.19,1
7,FB200228P00187500,2020-02-26 1:18PM EST,187.5,0.41,0.42,0.43,-0.64,-60.95%,308,0,42.82,1
8,FB200228P00190000,2020-02-26 1:32PM EST,190.0,0.65,0.64,0.66,-0.73,-52.90%,1524,0,39.21,1
9,FB200228P00192500,2020-02-26 1:19PM EST,192.5,0.98,1.03,1.04,-0.95,-49.22%,1016,1336,35.65,1
10,FB200228P00195000,2020-02-26 1:25PM EST,195.0,1.45,1.57,1.6,-1.29,-47.08%,3147,2949,31.15,1
11,FB200228P00197500,2020-02-26 1:32PM EST,197.5,2.54,2.4,2.44,-1.26,-33.16%,2422,0,25.29,1
12,FB200228P00200000,2020-02-26 1:32PM EST,200.0,3.84,3.65,3.75,-1.11,-22.42%,2841,0,14.36,1
0,FB200306P00175000,2020-02-26 11:52AM EST,175.0,0.53,0.57,0.59,-0.37,-41.11%,179,0,50.15,8
1,FB200306P00177500,2020-02-26 1:23PM EST,177.5,0.72,0.71,0.72,-0.35,-32.71%,96,461,48.02,8
2,FB200306P00180000,2020-02-26 1:23PM EST,180.0,0.91,0.93,0.95,-0.42,-31.58%,115,841,46.73,8
3,FB200306P00182500,2020-02-26 12:10PM EST,182.5,0.99,1.15,1.18,-0.63,-38.89%,50,88,44.56,8
4,FB200306P00185000,2020-02-26 12:18PM EST,185.0,1.38,1.45,1.48,-0.67,-32.68%,64,0,42.46,8
5,FB200306P00187500,2020-02-26 1:27PM EST,187.5,1.7,1.87,1.9,-0.56,-24.78%,98,929,40.75,8
6,FB200306P00190000,2020-02-26 1:04PM EST,190.0,2.17,2.35,2.38,-1.03,-32.19%,261,0,38.55,8
7,FB200306P00192500,2020-02-26 1:28PM EST,192.5,2.8,2.91,2.94,-1.26,-31.03%,199,920,35.93,8
8,FB200306P00195000,2020-02-26 1:09PM EST,195.0,3.65,3.7,3.75,-0.99,-21.34%,268,0,34.0,8
9,FB200306P00197500,2020-02-26 1:11PM EST,197.5,4.68,4.7,4.8,-1.02,-17.89%,245,881,32.3,8
10,FB200306P00200000,2020-02-26 1:11PM EST,200.0,5.85,5.95,6.0,-1.1,-15.83%,609,0,29.86,8
11,FB200306P00202500,2020-02-26 12:33PM EST,202.5,6.75,7.35,7.45,-2.05,-23.30%,57,741,27.05,8
12,FB200306P00205000,2020-02-26 11:19AM EST,205.0,8.9,9.1,9.2,-1.1,-11.00%,200,0,23.83,8
0,FB200313P00175000,2020-02-25 3:53PM EST,175.0,0.96,0.92,0.99,-0.28,-22.58%,37,0,44.36,15
1,FB200313P00177500,2020-02-26 11:20AM EST,177.5,0.93,1.16,1.2,-0.65,-41.14%,7,339,42.8,15
2,FB200313P00180000,2020-02-26 9:41AM EST,180.0,1.12,1.45,1.49,-0.6,-34.88%,9,612,41.58,15
3,FB200313P00182500,2020-02-26 1:19PM EST,182.5,1.75,1.74,1.79,-0.61,-25.85%,7,0,39.87,15
4,FB200313P00185000,2020-02-26 1:08PM EST,185.0,2.15,2.14,2.18,-0.66,-23.49%,43,783,38.36,15
5,FB200313P00187500,2020-02-26 11:57AM EST,187.5,2.37,2.65,2.7,-0.93,-28.18%,11,1188,37.16,15
6,FB200313P00190000,2020-02-26 1:06PM EST,190.0,3.15,3.25,3.35,-0.9,-22.22%,23,0,36.07,15
7,FB200313P00192500,2020-02-26 11:56AM EST,192.5,3.59,3.9,4.0,-1.36,-27.47%,30,583,34.18,15
8,FB200313P00195000,2020-02-26 1:06PM EST,195.0,4.65,4.7,4.85,-0.97,-17.26%,649,0,32.64,15
9,FB200313P00197500,2020-02-26 1:21PM EST,197.5,5.68,5.7,5.85,-1.29,-18.51%,88,1132,31.01,15
10,FB200313P00200000,2020-02-26 1:13PM EST,200.0,6.95,7.0,7.15,-1.27,-15.45%,375,0,30.02,15
11,FB200313P00202500,2020-02-26 10:18AM EST,202.5,8.25,8.25,8.35,-0.3,-3.51%,104,704,27.04,15
12,FB200313P00205000,2020-02-26 12:53PM EST,205.0,9.5,9.85,9.95,-1.09,-10.29%,15,541,24.98,15
13,FB200313P00207500,2020-02-26 12:53PM EST,207.5,11.23,11.45,11.65,-1.67,-12.95%,9,419,21.09,15
14,FB200313P00210000,2020-02-26 10:21AM EST,210.0,12.55,13.5,13.65,-2.03,-13.92%,5,0,6.25,15
0,FB200320P00100000,2020-02-26 10:03AM EST,100.0,0.01,0.01,0.02,-0.01,-50.00%,321,1306,89.06,22
1,FB200320P00105000,2020-02-25 3:25PM EST,105.0,0.02,0.01,0.06,0.0,-,20,387,90.63,22
2,FB200320P00110000,2020-02-24 3:44PM EST,110.0,0.03,0.01,0.05,0.0,-,15,0,82.81,22
3,FB200320P00115000,2020-02-24 1:25PM EST,115.0,0.04,0.01,0.07,0.0,-,4,63,79.3,22
4,FB200320P00120000,2020-02-24 11:51AM EST,120.0,0.06,0.0,0.08,0.0,-,11,0,73.44,22
5,FB200320P00125000,2020-02-25 11:04AM EST,125.0,0.04,0.01,0.1,0.0,-,5,788,70.31,22
6,FB200320P00130000,2020-02-26 10:13AM EST,130.0,0.1,0.08,0.09,-0.02,-16.67%,38,0,68.16,22
7,FB200320P00135000,2020-02-25 3:52PM EST,135.0,0.14,0.11,0.12,-0.05,-26.32%,1,1052,65.04,22
8,FB200320P00140000,2020-02-26 10:49AM EST,140.0,0.13,0.14,0.16,-0.06,-31.58%,36,2660,61.52,22
9,FB200320P00145000,2020-02-25 3:35PM EST,145.0,0.19,0.19,0.2,-0.09,-32.14%,6,1014,58.15,22
10,FB200320P00150000,2020-02-26 10:54AM EST,150.0,0.19,0.26,0.27,-0.16,-45.71%,27,0,55.18,22
