,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,FISV200320P00055000,2020-02-25 6:45PM EST,55.0,0.05,-,0.05,0.0,-,-,1,113.67,22
1,FISV200320P00060000,2019-10-02 11:09AM EST,60.0,0.29,0.05,0.15,0.0,-,4,104,110.16,22
2,FISV200320P00065000,2019-08-23 2:50PM EST,65.0,0.35,0.20,0.45,0.0,-,100,0,116.99,22
3,FISV200320P00070000,2019-09-20 2:28PM EST,70.0,0.45,0.30,0.5,0.0,-,3,0,107.23,22
4,FISV200320P00075000,2019-10-23 9:13AM EST,75.0,0.8,0.10,0.75,0.0,-,26,0,95.12,22
5,FISV200320P00080000,2020-02-04 9:30AM EST,80.0,0.28,0.00,0.1,0.0,-,2,0,58.2,22
6,FISV200320P00085000,2019-12-16 9:36AM EST,85.0,0.2,0.00,0.4,0.0,-,3,0,60.74,22
7,FISV200320P00090000,2020-02-03 11:55AM EST,90.0,0.1,0.00,0.15,0.0,-,1,189,47.75,22
8,FISV200320P00095000,2020-02-14 3:52PM EST,95.0,0.13,0.00,0.25,0.0,-,3,1146,41.99,22
9,FISV200320P00100000,2020-02-25 2:52PM EST,100.0,0.45,0.20,0.45,0.0,-,7,262,36.67,22
10,FISV200320P00105000,2020-02-26 10:50AM EST,105.0,0.85,0.75,0.9,-0.25,-22.73%,13,0,32.06,22
11,FISV200320P00110000,2020-02-26 12:10PM EST,110.0,1.85,1.85,1.95,-0.35,-15.91%,40,0,28.53,22
12,FISV200320P00115000,2020-02-26 10:42AM EST,115.0,4.05,3.80,4.1,0.41,+11.26%,7,977,26.0,22
13,FISV200320P00120000,2020-02-24 12:25PM EST,120.0,6.9,7.00,7.5,0.0,-,15,0,23.0,22
14,FISV200320P00125000,2020-02-24 12:24PM EST,125.0,8.5,11.20,12.0,0.0,-,1,0,20.12,22
15,FISV200320P00130000,2020-02-24 11:53AM EST,130.0,13.3,16.00,17.1,0.0,-,1,2,31.25,22
0,FISV200417P00100000,2020-02-26 12:58PM EST,100.0,1.0,1.0,1.1,0.23,+29.87%,2,114,32.67,50
1,FISV200417P00105000,2020-02-26 1:31PM EST,105.0,1.85,1.75,1.9,0.0,-,32,175,29.96,50
2,FISV200417P00110000,2020-02-26 1:08PM EST,110.0,3.1,3.0,3.3,-0.24,-7.19%,36,0,27.83,50
3,FISV200417P00115000,2020-02-26 11:47AM EST,115.0,4.7,5.2,5.3,-0.2,-4.08%,10,0,24.83,50
4,FISV200417P00120000,2020-02-24 12:10PM EST,120.0,7.7,8.1,8.5,0.0,-,3,126,23.6,50
5,FISV200417P00125000,2020-02-21 1:01PM EST,125.0,7.1,11.7,12.5,0.0,-,15,0,22.22,50
6,FISV200417P00140000,2020-01-29 12:35PM EST,140.0,19.3,26.1,27.2,0.0,-,1,0,32.67,50
0,FISV200619P00060000,2020-02-05 3:17PM EST,60.0,0.05,0.0,0.25,0.0,-,20,0,51.95,113
1,FISV200619P00065000,2019-10-27 11:06PM EST,65.0,0.65,0.15,0.35,0.0,-,-,0,51.17,113
2,FISV200619P00070000,2019-11-18 12:00AM EST,70.0,0.55,0.0,0.2,0.0,-,-,1,43.51,113
3,FISV200619P00075000,2019-12-16 3:18PM EST,75.0,0.34,0.0,0.5,0.0,-,2,0,44.97,113
4,FISV200619P00080000,2019-12-30 12:59PM EST,80.0,0.3,0.05,0.35,0.0,-,1,11,36.28,113
5,FISV200619P00085000,2020-01-17 9:59AM EST,85.0,0.28,0.0,0.95,0.0,-,1,0,38.92,113
6,FISV200619P00090000,2020-02-19 3:59PM EST,90.0,0.3,0.75,0.95,0.0,-,1,1172,32.81,113
7,FISV200619P00095000,2020-02-25 1:53PM EST,95.0,1.25,1.35,1.5,0.0,-,3,0,31.12,113
8,FISV200619P00100000,2020-02-26 12:44PM EST,100.0,2.05,2.0,2.25,0.25,+13.89%,9,0,29.11,113
9,FISV200619P00105000,2020-02-26 12:45PM EST,105.0,3.2,3.1,3.5,0.35,+12.28%,3,135,27.95,113
10,FISV200619P00110000,2020-02-26 12:46PM EST,110.0,4.7,4.7,5.0,0.95,+25.33%,2,0,25.87,113
11,FISV200619P00115000,2020-02-24 2:23PM EST,115.0,5.9,7.0,7.6,0.0,-,13,0,26.02,113
12,FISV200619P00120000,2020-02-25 3:44PM EST,120.0,10.04,9.5,10.1,0.0,-,1,0,23.32,113
