,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,FIS200320P00100000,2020-02-24 9:32AM EST,100.0,0.06,-,0.23,0.0,-,-,-,74.41,22
1,FIS200320P00115000,2020-01-31 1:32PM EST,115.0,0.48,0.25,0.44,0.0,-,20,20,53.52,22
2,FIS200320P00120000,2020-02-24 1:13PM EST,120.0,0.26,0.45,0.51,0.0,-,65,0,49.32,22
3,FIS200320P00125000,2020-02-25 2:50PM EST,125.0,0.75,0.61,0.7,0.0,-,34,0,44.09,22
4,FIS200320P00130000,2020-02-25 2:31PM EST,130.0,1.12,0.96,1.02,0.0,-,12,254,39.31,22
5,FIS200320P00135000,2020-02-25 12:55PM EST,135.0,1.15,1.59,1.66,0.0,-,10,346,35.74,22
6,FIS200320P00140000,2020-02-26 11:10AM EST,140.0,1.82,2.57,2.67,-1.03,-36.14%,21,569,31.9,22
7,FIS200320P00145000,2020-02-25 3:39PM EST,145.0,3.05,4.25,4.5,-1.95,-39.00%,11,0,29.32,22
8,FIS200320P00150000,2020-02-25 3:32PM EST,150.0,5.25,6.85,7.25,-2.55,-32.69%,94,614,26.91,22
9,FIS200320P00155000,2020-02-24 10:03AM EST,155.0,11.2,10.10,11.05,0.0,-,13,0,25.54,22
10,FIS200320P00160000,2020-02-18 12:07AM EST,160.0,16.0,14.75,15.55,0.0,-,10,0,24.95,22
0,FIS200417P00080000,2020-02-18 11:08AM EST,80.0,0.06,0.0,3.45,0.0,-,4,34,113.5,50
1,FIS200417P00090000,2020-02-25 3:39PM EST,90.0,0.16,0.0,4.4,0.0,-,35,0,101.07,50
2,FIS200417P00095000,2019-12-24 10:27AM EST,95.0,0.46,0.0,0.19,0.0,-,-,3,54.93,50
3,FIS200417P00100000,2020-02-25 3:39PM EST,100.0,0.27,0.05,4.3,0.0,-,33,621,82.86,50
4,FIS200417P00105000,2020-02-25 3:18PM EST,105.0,0.32,0.18,0.36,-0.04,-11.11%,1,0,48.44,50
5,FIS200417P00110000,2020-01-17 2:30PM EST,110.0,0.35,0.0,4.9,0.0,-,2,25,68.9,50
6,FIS200417P00115000,2020-01-22 2:04PM EST,115.0,0.27,0.0,0.0,0.0,-,5,0,12.5,50
7,FIS200417P00120000,2020-02-24 10:18AM EST,120.0,0.4,0.77,3.45,0.0,-,10,180,50.09,50
8,FIS200417P00125000,2020-02-26 11:42AM EST,125.0,1.2,1.17,1.47,-0.03,-2.44%,3,366,37.38,50
9,FIS200417P00130000,2020-02-26 12:57PM EST,130.0,1.57,1.71,1.81,0.49,+45.37%,4,0,32.76,50
10,FIS200417P00135000,2020-02-26 10:00AM EST,135.0,2.37,2.58,2.71,0.79,+50.00%,505,0,30.55,50
11,FIS200417P00140000,2020-02-26 1:00PM EST,140.0,3.5,3.7,4.0,-0.3,-7.89%,179,0,28.28,50
12,FIS200417P00145000,2020-02-26 12:58PM EST,145.0,5.3,5.6,5.95,1.55,+41.33%,53,1564,26.58,50
13,FIS200417P00150000,2020-02-26 11:54AM EST,150.0,7.25,7.85,8.6,1.27,+21.24%,33,232,25.01,50
14,FIS200417P00155000,2020-02-21 10:25AM EST,155.0,11.2,11.1,11.85,0.0,-,10,0,22.75,50
15,FIS200417P00160000,2020-02-26 10:54AM EST,160.0,13.5,15.15,15.8,3.1,+29.81%,1,17,20.04,50
16,FIS200417P00170000,2020-02-18 12:07AM EST,170.0,15.0,22.35,26.3,0.0,-,-,0,33.89,50
0,FIS200717P00085000,2020-02-19 9:53AM EST,85.0,0.2,0.23,0.89,0.0,-,-,1,53.66,141
1,FIS200717P00090000,2020-01-30 11:12PM EST,90.0,0.5,0.3,0.64,0.0,-,-,0,45.51,141
2,FIS200717P00095000,2020-02-18 12:07AM EST,95.0,0.57,0.46,1.09,0.0,-,-,0,46.18,141
3,FIS200717P00100000,2020-02-18 12:07AM EST,100.0,0.68,0.63,1.2,0.0,-,-,0,42.54,141
4,FIS200717P00105000,2020-01-16 2:36PM EST,105.0,0.73,0.0,4.5,0.0,-,1,2,57.57,141
5,FIS200717P00110000,2020-01-22 2:33PM EST,110.0,0.83,0.0,0.7,0.0,-,4,0,29.46,141
6,FIS200717P00115000,2020-01-10 9:51AM EST,115.0,1.55,0.7,0.84,0.0,-,1,6,26.75,141
7,FIS200717P00120000,2020-02-26 12:59PM EST,120.0,2.15,2.23,2.43,0.51,+31.10%,2,7,31.76,141
8,FIS200717P00125000,2020-02-14 12:53PM EST,125.0,1.17,2.9,3.05,0.0,-,2,0,29.63,141
9,FIS200717P00130000,2020-02-26 12:59PM EST,130.0,3.65,3.6,4.05,0.35,+10.61%,1,0,28.27,141
10,FIS200717P00135000,2020-02-20 12:58PM EST,135.0,2.3,5.1,5.2,0.0,-,2,0,26.53,141
11,FIS200717P00140000,2020-02-13 11:14AM EST,140.0,3.33,6.7,6.9,0.0,-,2,1,25.5,141
12,FIS200717P00145000,2020-02-25 11:57AM EST,145.0,7.95,8.75,9.1,0.0,-,9,0,24.76,141
13,FIS200717P00150000,2020-02-25 3:39PM EST,150.0,11.85,10.8,11.35,0.0,-,45,60,22.94,141
14,FIS200717P00155000,2020-02-14 2:47PM EST,155.0,7.2,13.75,14.5,0.0,-,3,6,22.36,141
15,FIS200717P00165000,2020-02-20 1:10PM EST,165.0,13.45,21.0,22.2,0.0,-,-,0,21.85,141
16,FIS200717P00170000,2020-02-18 12:07AM EST,170.0,16.1,25.25,26.25,0.0,-,-,0,20.18,141
0,FIS201016P00135000,2020-02-24 3:01PM EST,135.0,5.2,5.9,6.6,0.0,-,-,-,24.14,232
0,FIS210115P00080000,2020-01-28 3:20PM EST,80.0,1.0,0.03,4.75,0.0,-,1,1,61.01,323
1,FIS210115P00090000,2020-01-21 12:08AM EST,90.0,1.4,0.0,0.0,0.0,-,-,0,12.5,323
2,FIS210115P00095000,2019-11-15 11:57AM EST,95.0,2.82,1.74,2.86,0.0,-,6,90,39.77,323
3,FIS210115P00100000,2020-02-21 3:23PM EST,100.0,1.45,0.87,2.42,0.0,-,1,122,34.23,323
4,FIS210115P00105000,2020-02-25 1:46PM EST,105.0,2.65,1.16,2.9,0.0,-,2,0,32.64,323
5,FIS210115P00110000,2020-02-24 2:20PM EST,110.0,2.76,3.2,3.5,0.0,-,6,0,31.21,323
6,FIS210115P00115000,2020-02-25 1:38PM EST,115.0,3.95,2.55,4.25,0.0,-,7,306,29.93,323
7,FIS210115P00120000,2020-02-24 2:21PM EST,120.0,4.15,4.6,5.45,0.0,-,2,153,29.47,323
8,FIS210115P00125000,2020-02-25 1:33PM EST,125.0,5.9,5.75,6.45,0.0,-,6,225,28.06,323
9,FIS210115P00130000,2020-02-25 11:44AM EST,130.0,6.5,7.1,7.85,0.0,-,1,105,27.16,323
10,FIS210115P00135000,2020-02-24 1:23PM EST,135.0,7.35,8.7,9.5,0.0,-,4,0,26.32,323
11,FIS210115P00140000,2020-02-24 1:23PM EST,140.0,10.9,10.1,11.35,0.0,-,1,39,25.39,323
12,FIS210115P00145000,2020-02-25 12:29PM EST,145.0,11.5,12.75,13.5,0.0,-,1,0,24.54,323
13,FIS210115P00150000,2020-02-25 11:55AM EST,150.0,15.35,15.2,16.0,-0.05,-0.32%,1,0,23.82,323
14,FIS210115P00155000,2020-02-25 9:32AM EST,155.0,14.91,17.8,18.65,0.0,-,2,45,22.84,323
15,FIS210115P00160000,2019-11-07 2:03PM EST,160.0,31.55,26.35,27.05,0.0,-,-,10,32.23,323
16,FIS210115P00170000,2020-02-06 2:05PM EST,170.0,27.3,27.6,29.15,0.0,-,1,0,21.51,323
17,FIS210115P00175000,2020-01-27 12:29PM EST,175.0,31.55,31.45,33.5,0.0,-,-,20,21.99,323
18,FIS210115P00180000,2020-02-13 2:53PM EST,180.0,27.55,35.5,37.15,0.0,-,-,1,19.98,323
19,FIS210115P00185000,2020-02-13 3:24PM EST,185.0,31.8,40.05,41.75,0.0,-,1,0,20.23,323
20,FIS210115P00190000,2020-02-13 3:40PM EST,190.0,37.0,44.4,46.15,0.0,-,-,2,19.13,323
0,FIS220121P00070000,2020-01-31 3:44PM EST,70.0,1.85,0.03,2.94,0.0,-,1,0,42.35,694
1,FIS220121P00075000,2020-01-29 1:57PM EST,75.0,1.63,0.5,2.67,0.0,-,20,41,37.94,694
2,FIS220121P00085000,2020-02-21 2:29PM EST,85.0,1.77,1.67,3.45,0.0,-,6,0,34.53,694
3,FIS220121P00095000,2020-01-29 1:57PM EST,95.0,3.16,2.3,4.65,0.0,-,20,0,32.0,694
