,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,FLIR200320C00050000,2020-01-29 2:57PM EST,50.0,5.2,5.2,7.8,0.0,-,10,11,69.36,22
1,FLIR200320C00055000,2020-02-26 12:37PM EST,55.0,2.65,2.25,2.45,0.45,+20.45%,12,149,46.58,22
2,FLIR200320C00060000,2020-02-26 1:00PM EST,60.0,0.8,0.65,0.8,0.19,+31.15%,26,346,45.36,22
3,FLIR200320C00065000,2020-02-24 3:03PM EST,65.0,0.35,0.1,0.55,0.0,-,3,0,50.49,22
4,FLIR200320C00070000,2020-02-21 9:30AM EST,70.0,0.1,0.0,0.25,-0.18,-64.29%,2,1,53.91,22
1,FLIR200417C00042000,2020-02-20 10:01AM EST,42.0,16.0,11.7,15.2,0.0,-,1,23,63.38,50
2,FLIR200417C00045000,2020-02-11 9:53AM EST,45.0,11.0,8.7,12.4,0.0,-,1,1,53.27,50
4,FLIR200417C00048000,2019-10-24 12:28PM EST,48.0,7.06,6.5,6.9,0.0,-,10,14,26.42,50
5,FLIR200417C00049000,2019-12-10 11:24AM EST,49.0,5.69,5.8,6.2,0.0,-,1,0,30.23,50
6,FLIR200417C00050000,2020-02-26 9:39AM EST,50.0,6.4,5.8,8.3,0.5,+8.47%,1,0,54.93,50
7,FLIR200417C00055000,2020-02-26 11:54AM EST,55.0,3.46,3.1,3.5,0.66,+23.57%,159,0,44.41,50
8,FLIR200417C00060000,2020-02-25 3:56PM EST,60.0,1.4,1.2,1.6,0.19,+15.70%,10,0,42.53,50
9,FLIR200417C00065000,2020-02-24 9:59AM EST,65.0,0.85,0.3,0.75,0.0,-,62,284,43.82,50
10,FLIR200417C00080000,2019-11-04 12:21PM EST,80.0,0.25,0.0,0.0,0.0,-,2,2,25.0,50
1,FLIR200717C00045000,2020-02-14 2:56PM EST,45.0,13.3,9.3,13.4,0.0,-,2,4,61.69,141
2,FLIR200717C00050000,2020-02-19 9:34AM EST,50.0,7.4,6.0,9.1,0.0,-,3,8,49.96,141
3,FLIR200717C00055000,2020-02-26 10:19AM EST,55.0,5.0,4.3,5.1,1.0,+25.00%,4,89,38.53,141
4,FLIR200717C00060000,2020-02-25 2:49PM EST,60.0,2.35,1.4,4.4,0.0,-,63,259,47.22,141
5,FLIR200717C00065000,2020-02-24 3:06PM EST,65.0,1.4,0.0,2.05,0.0,-,1,0,39.09,141
6,FLIR200717C00070000,2020-02-24 11:19AM EST,70.0,0.9,0.4,1.4,0.0,-,3,2,40.89,141
