,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,FMC200320C00090000,2020-02-06 10:24AM EST,90.0,18.0,8.8,9.3,0.0,-,-,0,44.78,22
1,FMC200320C00092500,2020-01-27 10:38AM EST,92.5,5.2,6.6,7.3,0.0,-,-,0,42.09,22
2,FMC200320C00095000,2020-02-14 3:21PM EST,95.0,5.3,4.7,5.5,-5.7,-51.82%,1,0,39.8,22
3,FMC200320C00097500,2020-02-21 3:59PM EST,97.5,9.85,3.3,3.7,0.0,-,1,6,35.36,22
4,FMC200320C00100000,2020-02-24 1:48PM EST,100.0,4.65,2.25,2.4,0.0,-,5,0,33.35,22
5,FMC200320C00105000,2020-02-25 12:09PM EST,105.0,0.8,0.75,0.9,-0.3,-27.27%,4,0,32.08,22
6,FMC200320C00110000,2020-02-25 3:08PM EST,110.0,0.35,0.15,0.3,0.0,-,9,181,32.18,22
7,FMC200320C00115000,2020-02-21 11:06AM EST,115.0,0.35,0.0,0.1,0.0,-,300,0,33.2,22
8,FMC200320C00120000,2020-02-21 3:59PM EST,120.0,0.1,0.0,0.1,0.0,-,1,0,40.23,22
0,FMC200417C00050000,2019-10-11 10:15AM EST,50.0,34.4,44.5,48.9,0.0,-,1,0,123.39,50
1,FMC200417C00060000,2020-01-16 10:40AM EST,60.0,39.3,45.5,46.1,0.0,-,1,1,191.85,50
2,FMC200417C00065000,2020-02-06 10:28AM EST,65.0,43.0,32.5,34.1,0.0,-,1,0,67.68,50
3,FMC200417C00070000,2019-11-07 10:45AM EST,70.0,27.01,26.3,31.0,0.0,-,2,3,65.38,50
4,FMC200417C00075000,2019-10-13 11:08PM EST,75.0,8.9,22.5,24.5,0.0,-,-,0,51.81,50
5,FMC200417C00077500,2019-10-13 11:08PM EST,77.5,7.1,20.2,22.2,0.0,-,-,0,50.2,50
6,FMC200417C00080000,2020-01-14 9:47AM EST,80.0,27.0,25.0,26.2,0.0,-,1,3,113.51,50
7,FMC200417C00082500,2020-01-31 10:27AM EST,82.5,14.11,15.5,16.9,0.0,-,1,4,48.66,50
9,FMC200417C00087500,2020-02-10 3:18PM EST,87.5,17.7,11.4,12.1,0.0,-,2,8,39.1,50
10,FMC200417C00090000,2020-02-12 10:18AM EST,90.0,9.9,9.2,10.1,-6.8,-40.72%,4,0,37.44,50
11,FMC200417C00092500,2020-02-06 9:43AM EST,92.5,13.7,7.3,8.0,0.0,-,3,14,34.07,50
12,FMC200417C00095000,2020-02-25 2:12PM EST,95.0,7.0,5.8,6.4,0.0,-,2,30,33.46,50
13,FMC200417C00097500,2020-02-25 3:50PM EST,97.5,4.41,4.3,4.6,0.0,-,3,58,30.15,50
14,FMC200417C00100000,2020-02-26 12:18PM EST,100.0,3.2,3.2,3.4,-1.9,-37.25%,10,0,29.55,50
15,FMC200417C00105000,2020-02-24 12:52PM EST,105.0,1.65,1.4,1.65,0.15,+10.00%,2,0,28.32,50
16,FMC200417C00110000,2020-02-25 12:04PM EST,110.0,0.67,0.5,0.7,-0.1,-12.99%,5,920,27.54,50
17,FMC200417C00115000,2020-02-20 12:17PM EST,115.0,1.07,0.15,0.25,0.0,-,1,16,26.81,50
18,FMC200417C00120000,2020-02-06 2:02PM EST,120.0,0.6,0.05,0.15,0.0,-,40,0,29.25,50
0,FMC200717C00070000,2020-02-20 12:35PM EST,70.0,38.5,28.0,30.0,0.0,-,1,1,52.5,141
1,FMC200717C00087500,2019-12-19 3:39PM EST,87.5,13.7,14.6,15.5,0.0,-,-,5,40.99,141
2,FMC200717C00090000,2020-02-07 12:42PM EST,90.0,16.45,11.0,11.9,0.0,-,2,2,31.31,141
3,FMC200717C00095000,2020-02-07 12:02PM EST,95.0,10.5,8.0,8.6,0.0,-,1,0,29.51,141
4,FMC200717C00097500,2020-02-05 1:34PM EST,97.5,8.8,6.6,7.1,0.0,-,2,3,28.46,141
5,FMC200717C00100000,2020-02-06 10:20AM EST,100.0,11.0,5.2,5.8,0.0,-,1,72,27.68,141
6,FMC200717C00105000,2020-02-25 1:11PM EST,105.0,4.62,3.4,3.8,0.0,-,2,32,26.86,141
7,FMC200717C00110000,2020-02-24 11:02AM EST,110.0,2.26,2.0,2.4,-0.94,-29.38%,1,0,26.37,141
8,FMC200717C00115000,2020-02-24 2:22PM EST,115.0,2.1,1.05,1.3,0.0,-,1,402,25.03,141
9,FMC200717C00120000,2020-02-24 2:22PM EST,120.0,1.1,0.55,0.75,0.0,-,3,0,24.9,141
10,FMC200717C00125000,2020-02-20 12:18PM EST,125.0,1.0,0.25,0.45,0.0,-,10,11,25.2,141
11,FMC200717C00130000,2020-02-06 1:54PM EST,130.0,0.72,0.1,0.35,0.0,-,-,21,26.81,141
0,FMC201120C00080000,2019-12-18 9:57AM EST,80.0,23.03,20.8,22.8,0.0,-,-,1,39.06,267
2,FMC201120C00090000,2019-12-19 9:47AM EST,90.0,15.1,13.6,15.7,0.0,-,-,2,35.46,267
3,FMC201120C00095000,2020-01-29 10:43AM EST,95.0,10.4,10.6,11.2,1.57,+17.78%,5,0,29.51,267
4,FMC201120C00100000,2020-02-13 11:28AM EST,100.0,11.53,7.5,8.1,0.0,-,2,20,27.05,267
5,FMC201120C00105000,2020-01-13 12:16PM EST,105.0,5.9,9.0,9.4,0.0,-,19,38,36.62,267
6,FMC201120C00110000,2020-02-11 9:44AM EST,110.0,6.78,4.0,4.4,0.0,-,5,14,26.03,267
7,FMC201120C00115000,2020-02-25 1:55PM EST,115.0,3.13,2.7,3.1,0.0,-,2,43,25.51,267
8,FMC201120C00120000,2020-02-24 9:43AM EST,120.0,2.09,1.85,2.1,0.0,-,2,0,24.93,267
9,FMC201120C00125000,2020-01-17 10:59AM EST,125.0,1.25,2.1,2.3,0.0,-,-,22,28.77,267
10,FMC201120C00130000,2020-02-24 9:32AM EST,130.0,1.85,0.7,0.9,0.0,-,2,10,24.09,267
