,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,FRT200320C00120000,2020-02-21 11:46AM EST,120.0,8.0,4.6,5.5,0.0,-,3,0,27.42,22
1,FRT200320C00125000,2020-02-25 3:26PM EST,125.0,2.15,1.35,2.1,0.0,-,40,10,21.64,22
2,FRT200320C00130000,2020-02-26 12:10PM EST,130.0,0.21,0.15,0.35,-0.61,-74.39%,8,128,17.24,22
3,FRT200320C00135000,2020-02-20 1:14PM EST,135.0,0.2,0.0,0.5,0.0,-,5,0,28.2,22
0,FRT200515C00090000,2019-12-30 2:12PM EST,90.0,37.89,33.0,38.0,0.0,-,2,0,60.11,78
1,FRT200515C00125000,2020-02-24 10:31AM EST,125.0,5.73,2.85,3.7,0.0,-,1,0,18.84,78
2,FRT200515C00130000,2020-02-21 3:47PM EST,130.0,3.22,1.3,1.8,0.0,-,4,0,18.01,78
3,FRT200515C00135000,2020-02-24 11:34AM EST,135.0,1.2,0.45,0.7,0.0,-,8,38,17.07,78
4,FRT200515C00140000,2020-02-13 10:25AM EST,140.0,0.3,0.15,2.2,0.0,-,30,41,31.81,78
5,FRT200515C00145000,2020-01-02 12:02PM EST,145.0,0.3,0.2,5.0,0.0,-,2,23,52.06,78
6,FRT200515C00150000,2019-11-19 3:32PM EST,150.0,0.64,0.0,0.0,0.0,-,1,0,12.5,78
7,FRT200515C00170000,2019-11-18 11:34AM EST,170.0,0.01,0.0,5.0,0.0,-,1,0,59.38,78
0,FRT200821C00090000,2020-02-18 12:12AM EST,90.0,38.9,32.0,36.7,0.0,-,1,0,47.36,176
1,FRT200821C00115000,2020-02-12 3:59PM EST,115.0,11.0,10.1,11.8,0.0,-,1,2,20.01,176
2,FRT200821C00120000,2020-02-11 10:54AM EST,120.0,7.69,6.3,8.6,0.0,-,3,3,19.63,176
3,FRT200821C00125000,2020-02-11 11:32AM EST,125.0,4.85,4.6,5.6,0.0,-,1,3,18.15,176
4,FRT200821C00130000,2020-02-21 9:30AM EST,130.0,2.8,2.4,3.5,-1.17,-29.47%,5,0,17.52,176
5,FRT200821C00135000,2020-02-24 11:17AM EST,135.0,2.8,1.45,1.95,0.0,-,1,0,16.71,176
6,FRT200821C00140000,2020-02-19 11:14AM EST,140.0,1.5,0.6,1.15,0.0,-,2,0,16.86,176
7,FRT200821C00150000,2020-02-06 10:08AM EST,150.0,0.5,0.05,0.35,0.0,-,3,0,17.02,176
