,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,FTI200320C00015000,2020-01-31 3:27PM EST,15.0,1.1,1.0,1.1,0.0,-,20,0,58.01,22
1,FTI200320C00016000,2020-02-26 12:54PM EST,16.0,0.65,0.5,0.6,0.05,+8.33%,21,419,53.71,22
2,FTI200320C00017000,2020-02-25 3:59PM EST,17.0,0.3,0.25,0.35,-0.09,-23.08%,12,0,55.27,22
3,FTI200320C00018000,2020-02-25 1:26PM EST,18.0,0.15,0.1,0.2,0.0,-,12,0,55.86,22
4,FTI200320C00019000,2020-02-24 11:35AM EST,19.0,0.05,0.0,0.2,0.0,-,14,0,60.94,22
5,FTI200320C00020000,2020-02-12 12:53PM EST,20.0,0.25,0.0,0.1,0.0,-,1,0,61.72,22
6,FTI200320C00021000,2020-01-27 12:14AM EST,21.0,0.05,0.0,0.2,0.0,-,10,0,80.66,22
0,FTI200417C00015000,2020-02-19 9:50AM EST,15.0,1.5,1.15,1.4,-1.15,-43.40%,1,97,55.18,50
1,FTI200417C00016000,2020-02-25 11:34AM EST,16.0,0.95,0.8,0.9,0.0,-,2,2,50.0,50
2,FTI200417C00017000,2020-02-20 1:02PM EST,17.0,1.3,0.45,0.55,0.0,-,21,85,50.39,50
3,FTI200417C00018000,2020-02-25 1:09PM EST,18.0,0.3,0.25,0.4,0.05,+20.00%,20,629,53.91,50
4,FTI200417C00019000,2020-02-19 10:17AM EST,19.0,0.2,0.1,0.25,0.0,-,5,0,53.81,50
5,FTI200417C00020000,2020-02-26 11:51AM EST,20.0,0.1,0.0,0.2,-0.25,-71.43%,30,0,57.91,50
6,FTI200417C00021000,2020-02-18 12:11PM EST,21.0,0.2,0.0,0.15,0.0,-,957,8259,51.56,50
7,FTI200417C00022000,2020-02-07 11:41AM EST,22.0,0.1,0.0,0.1,0.0,-,10,0,53.13,50
8,FTI200417C00023000,2020-02-25 10:38AM EST,23.0,0.05,0.0,0.2,0.0,-,2,157,66.41,50
9,FTI200417C00024000,2020-01-22 12:15PM EST,24.0,0.06,0.0,0.15,0.0,-,15,0,67.58,50
10,FTI200417C00025000,2020-01-21 11:20AM EST,25.0,0.07,0.0,0.0,0.0,-,10,0,25.0,50
11,FTI200417C00026000,2020-01-27 11:45AM EST,26.0,0.06,0.0,0.15,0.0,-,2,80,76.95,50
12,FTI200417C00027000,2020-01-15 11:18AM EST,27.0,0.08,0.0,0.1,0.0,-,3,1416,75.78,50
13,FTI200417C00028000,2019-10-30 10:34AM EST,28.0,0.2,0.0,0.2,0.0,-,5,123,89.45,50
0,FTI200717C00013000,2020-02-10 10:11AM EST,13.0,3.79,2.85,3.0,0.0,-,25,0,45.8,141
1,FTI200717C00015000,2019-12-16 12:13AM EST,15.0,5.4,5.2,5.5,0.0,-,-,0,142.33,141
2,FTI200717C00016000,2020-02-26 11:51AM EST,16.0,1.3,1.15,1.3,0.05,+4.00%,50,0,41.99,141
3,FTI200717C00017000,2020-02-05 2:34PM EST,17.0,1.75,0.85,1.0,0.0,-,3,0,42.97,141
4,FTI200717C00018000,2020-02-06 9:36AM EST,18.0,0.74,0.55,0.7,0.0,-,8,0,41.85,141
5,FTI200717C00019000,2020-02-13 11:29AM EST,19.0,0.95,0.35,0.5,0.0,-,20,13,41.7,141
6,FTI200717C00020000,2020-02-26 11:36AM EST,20.0,0.35,0.25,0.45,-0.07,-16.67%,2,379,45.22,141
7,FTI200717C00021000,2020-01-22 11:25AM EST,21.0,0.9,0.35,0.45,0.0,-,1,0,50.0,141
8,FTI200717C00022000,2020-01-15 11:00AM EST,22.0,1.04,0.25,0.35,0.0,-,1,567,50.29,141
9,FTI200717C00023000,2020-02-12 9:30AM EST,23.0,0.25,0.0,0.25,0.0,-,1,0,49.41,141
10,FTI200717C00024000,2020-01-21 9:53AM EST,24.0,0.42,0.05,0.2,0.0,-,-,0,50.1,141
11,FTI200717C00025000,2020-01-09 1:27PM EST,25.0,0.55,0.0,0.15,0.0,-,-,250,50.0,141
12,FTI200717C00028000,2020-01-22 1:43PM EST,28.0,0.03,0.0,0.15,0.0,-,100,0,51.17,141
0,FTI210115C00010000,2020-02-26 11:41AM EST,10.0,5.8,5.3,5.8,-0.03,-0.51%,100,403,48.05,323
1,FTI210115C00013000,2020-01-29 10:06AM EST,13.0,4.6,3.1,3.4,0.0,-,15,35,39.04,323
2,FTI210115C00015000,2020-02-26 11:34AM EST,15.0,2.15,2.0,2.3,-1.25,-36.76%,501,1170,38.04,323
3,FTI210115C00018000,2020-02-25 12:02PM EST,18.0,1.2,0.9,1.3,0.0,-,25,909,38.94,323
4,FTI210115C00020000,2020-02-20 2:51PM EST,20.0,1.15,0.5,0.9,0.0,-,6,401,39.75,323
