,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
1,FTNT200320C00065000,2019-12-05 12:15PM EST,65.0,40.1,45.5,46.8,0.0,-,1,0,209.08,22
2,FTNT200320C00070000,2020-02-12 3:55PM EST,70.0,47.5,36.9,38.3,0.0,-,3,0,106.54,22
3,FTNT200320C00075000,2020-01-29 2:05PM EST,75.0,40.1,31.8,32.6,0.0,-,1,0,74.51,22
4,FTNT200320C00080000,2020-02-14 2:49PM EST,80.0,38.51,26.6,28.1,0.0,-,1,24,69.73,22
5,FTNT200320C00085000,2020-02-14 2:49PM EST,85.0,33.52,22.0,23.3,0.0,-,1,49,66.36,22
6,FTNT200320C00090000,2020-02-25 3:49PM EST,90.0,16.25,17.3,18.3,0.0,-,6,0,56.54,22
7,FTNT200320C00095000,2020-02-21 1:43PM EST,95.0,12.8,12.9,13.5,0.0,-,1,0,54.0,22
8,FTNT200320C00100000,2020-02-25 2:47PM EST,100.0,9.36,8.5,9.3,0.66,+7.59%,35,0,47.78,22
9,FTNT200320C00105000,2020-02-26 11:42AM EST,105.0,5.35,5.1,5.6,0.75,+16.30%,7,244,41.85,22
10,FTNT200320C00110000,2020-02-26 12:30PM EST,110.0,2.75,2.6,2.85,0.35,+14.58%,66,232,37.71,22
11,FTNT200320C00115000,2020-02-26 11:32AM EST,115.0,1.32,1.05,1.4,0.22,+20.00%,33,0,37.55,22
12,FTNT200320C00120000,2020-02-26 1:01PM EST,120.0,0.47,0.4,0.6,-0.13,-21.67%,22,946,37.16,22
13,FTNT200320C00125000,2020-02-26 11:42AM EST,125.0,0.17,0.15,0.25,-0.04,-19.05%,15,1159,37.6,22
14,FTNT200320C00130000,2020-02-25 2:30PM EST,130.0,0.05,0.0,0.1,0.0,-,33,465,38.09,22
15,FTNT200320C00135000,2020-02-21 3:20PM EST,135.0,0.03,0.0,0.3,0.0,-,10,0,53.32,22
16,FTNT200320C00140000,2020-02-20 11:04AM EST,140.0,0.1,0.0,0.35,0.0,-,1,0,54.39,22
17,FTNT200320C00145000,2020-02-10 10:19AM EST,145.0,0.05,0.0,0.45,0.0,-,1,12,62.6,22
18,FTNT200320C00150000,2020-02-06 3:57PM EST,150.0,0.15,0.0,0.1,0.0,-,13,0,55.08,22
0,FTNT200417C00105000,2020-02-25 10:23AM EST,105.0,6.0,6.6,7.3,0.0,-,2,4,39.22,50
1,FTNT200417C00110000,2020-02-26 9:46AM EST,110.0,4.3,4.3,4.6,0.3,+7.50%,1,-,36.66,50
2,FTNT200417C00115000,2020-02-26 10:30AM EST,115.0,2.55,2.6,2.75,0.5,+24.39%,19,-,35.41,50
3,FTNT200417C00125000,2020-02-25 9:54AM EST,125.0,0.55,0.65,0.75,0.0,-,-,-,33.25,50
0,FTNT200619C00050000,2020-01-13 1:08PM EST,50.0,66.81,67.1,71.3,0.0,-,-,3,209.38,113
2,FTNT200619C00080000,2020-02-21 10:58AM EST,80.0,36.53,28.6,29.2,0.0,-,1,0,51.65,113
3,FTNT200619C00085000,2020-02-04 3:05PM EST,85.0,36.99,24.0,24.8,0.0,-,5,0,48.12,113
4,FTNT200619C00090000,2020-02-18 10:01AM EST,90.0,32.07,19.8,20.3,0.0,-,2,0,43.18,113
5,FTNT200619C00095000,2020-02-12 2:03PM EST,95.0,16.9,16.1,16.6,-7.68,-31.24%,3,0,41.77,113
6,FTNT200619C00100000,2020-02-26 10:48AM EST,100.0,13.42,12.6,13.1,-0.66,-4.69%,1,79,39.72,113
7,FTNT200619C00105000,2020-02-26 10:21AM EST,105.0,10.0,9.7,10.0,-1.2,-10.71%,6,61,37.85,113
8,FTNT200619C00110000,2020-02-26 11:27AM EST,110.0,7.75,7.1,7.4,1.05,+15.67%,5,645,36.38,113
9,FTNT200619C00115000,2020-02-26 12:35PM EST,115.0,5.5,5.2,5.4,0.7,+14.58%,4,0,35.61,113
10,FTNT200619C00120000,2020-02-26 9:53AM EST,120.0,3.77,3.7,4.0,-0.03,-0.79%,3,489,35.73,113
11,FTNT200619C00125000,2020-02-26 11:01AM EST,125.0,2.7,2.4,2.85,0.58,+27.36%,2,292,35.46,113
12,FTNT200619C00130000,2020-02-25 3:34PM EST,130.0,1.69,1.7,1.9,0.24,+16.55%,1,448,34.64,113
13,FTNT200619C00135000,2020-02-21 3:58PM EST,135.0,0.94,1.1,1.3,0.0,-,1,48,34.5,113
14,FTNT200619C00140000,2020-02-24 2:20PM EST,140.0,0.54,0.65,0.85,0.0,-,4,221,34.13,113
15,FTNT200619C00145000,2020-02-25 11:42AM EST,145.0,0.31,0.4,0.55,0.0,-,3,3,33.86,113
16,FTNT200619C00150000,2020-02-25 9:54AM EST,150.0,0.24,0.2,0.45,0.0,-,2,0,35.28,113
0,FTNT200918C00075000,2020-02-20 10:40AM EST,75.0,46.5,34.3,35.1,0.0,-,-,5,50.21,204
1,FTNT200918C00090000,2020-02-21 1:48PM EST,90.0,28.5,22.0,22.6,0.0,-,1,0,41.86,204
2,FTNT200918C00100000,2020-02-10 2:21PM EST,100.0,23.5,15.4,16.1,0.0,-,2,0,39.78,204
3,FTNT200918C00105000,2020-02-24 11:14AM EST,105.0,13.5,12.7,13.0,0.0,-,5,38,37.82,204
4,FTNT200918C00110000,2020-02-14 2:54PM EST,110.0,10.59,10.4,10.7,-6.16,-36.78%,2,0,37.47,204
