,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,FTNT200320P00045000,2020-01-31 2:35PM EST,45.0,0.05,0.0,0.05,0.0,-,42,846,125.78,22
1,FTNT200320P00050000,2019-08-04 11:14PM EST,50.0,0.93,0.8,1.0,0.0,-,-,3,190.63,22
2,FTNT200320P00055000,2019-10-31 12:52PM EST,55.0,0.6,0.05,0.65,0.0,-,358,930,140.82,22
3,FTNT200320P00060000,2019-12-17 12:17PM EST,60.0,0.3,0.0,0.5,0.0,-,10,0,117.38,22
4,FTNT200320P00065000,2020-01-23 11:09AM EST,65.0,0.35,0.1,0.0,0.0,-,1,0,81.64,22
5,FTNT200320P00070000,2019-11-27 12:06PM EST,70.0,0.4,0.0,0.65,0.0,-,20,88,93.85,22
6,FTNT200320P00075000,2020-02-24 9:30AM EST,75.0,0.05,0.0,0.15,0.0,-,1,54,63.48,22
7,FTNT200320P00080000,2020-02-18 3:03PM EST,80.0,0.07,0.0,0.45,0.0,-,1,0,63.67,22
8,FTNT200320P00085000,2020-02-19 10:20AM EST,85.0,0.28,0.25,0.35,0.0,-,51,0,55.37,22
9,FTNT200320P00090000,2020-02-12 1:42PM EST,90.0,0.6,0.45,0.6,0.0,-,6,0,50.24,22
10,FTNT200320P00095000,2020-02-26 9:43AM EST,95.0,0.9,0.8,1.0,-0.35,-28.00%,12,305,46.39,22
11,FTNT200320P00100000,2020-02-25 11:02AM EST,100.0,1.65,1.55,1.7,-0.34,-17.09%,96,0,40.89,22
12,FTNT200320P00105000,2020-02-26 12:03PM EST,105.0,3.2,2.85,3.1,-0.9,-21.95%,6,0,37.06,22
13,FTNT200320P00110000,2020-02-25 12:08PM EST,110.0,5.3,5.3,5.8,-1.35,-20.30%,13,0,37.16,22
14,FTNT200320P00115000,2020-02-25 2:59PM EST,115.0,9.8,8.9,9.3,0.0,-,31,478,36.26,22
