,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,FTV200320P00035000,2019-10-22 11:43AM EST,35.0,0.3,0.0,1.05,0.0,-,-,5,173.05,22
1,FTV200320P00045000,2019-10-20 11:07PM EST,45.0,0.45,0.0,1.76,0.0,-,-,20,135.21,22
2,FTV200320P00050000,2019-10-15 2:48PM EST,50.0,0.54,0.21,0.45,0.0,-,-,0,86.13,22
3,FTV200320P00055000,2019-08-05 1:15PM EST,55.0,1.24,1.27,1.51,0.0,-,-,0,100.1,22
4,FTV200320P00060000,2020-02-03 3:50PM EST,60.0,0.08,0.13,0.2,0.0,-,2,9,42.09,22
5,FTV200320P00065000,2020-02-03 9:30AM EST,65.0,0.32,0.46,0.57,0.0,-,40,257,34.77,22
6,FTV200320P00070000,2020-02-25 1:12PM EST,70.0,2.09,1.74,1.86,0.0,-,23,0,30.08,22
7,FTV200320P00075000,2020-02-25 10:25AM EST,75.0,5.05,4.6,4.95,0.0,-,9,65,27.93,22
8,FTV200320P00080000,2020-02-14 3:30PM EST,80.0,3.15,8.65,9.8,0.0,-,1,0,40.43,22
9,FTV200320P00085000,2019-07-29 8:35AM EST,85.0,9.3,12.9,17.3,0.0,-,1,1,61.87,22
0,FTV200417P00060000,2020-02-25 2:58PM EST,60.0,0.5,0.37,0.47,0.0,-,2,0,35.5,50
1,FTV200417P00070000,2020-02-26 12:14PM EST,70.0,2.3,2.55,2.79,-0.39,-14.50%,10,1,29.27,50
0,FTV200619P00035000,2019-12-23 12:10AM EST,35.0,0.15,-,1.23,0.0,-,-,1,97.05,113
1,FTV200619P00045000,2019-11-18 3:04PM EST,45.0,0.65,0.00,0.74,0.0,-,-,1,50.29,113
2,FTV200619P00060000,2020-02-07 3:21PM EST,60.0,0.34,1.00,1.11,0.0,-,1,6,31.54,113
3,FTV200619P00065000,2020-02-21 9:43AM EST,65.0,0.96,1.90,2.12,0.0,-,1,0,28.85,113
4,FTV200619P00070000,2020-01-23 11:15AM EST,70.0,2.0,1.76,1.85,0.0,-,75,0,13.68,113
5,FTV200619P00075000,2020-02-19 10:21AM EST,75.0,2.68,6.25,6.6,0.0,-,-,0,24.87,113
6,FTV200619P00080000,2020-02-21 3:36PM EST,80.0,6.2,10.00,10.35,0.0,-,1,0,24.15,113
0,FTV200918P00060000,2020-02-20 10:01AM EST,60.0,0.84,1.71,2.09,0.0,-,1,2,30.57,204
0,FTV210115P00035000,2020-02-12 11:36AM EST,35.0,0.17,0.0,1.66,0.0,-,10,20,52.2,323
1,FTV210115P00045000,2019-10-13 11:12PM EST,45.0,2.0,0.75,2.17,0.0,-,-,0,48.46,323
2,FTV210115P00050000,2019-11-25 10:01AM EST,50.0,1.43,0.91,1.64,0.0,-,2,0,36.19,323
3,FTV210115P00055000,2020-02-24 10:51AM EST,55.0,1.72,1.51,2.0,0.0,-,5,0,31.15,323
4,FTV210115P00060000,2020-02-24 10:50AM EST,60.0,2.74,2.75,3.15,0.0,-,5,193,29.69,323
5,FTV210115P00065000,2020-02-18 11:49AM EST,65.0,4.2,4.2,4.65,0.0,-,4,210,27.95,323
6,FTV210115P00070000,2020-01-28 12:44PM EST,70.0,3.75,6.2,6.85,0.0,-,5,351,27.12,323
7,FTV210115P00075000,2020-01-28 12:44PM EST,75.0,6.95,8.85,9.8,0.0,-,30,0,27.11,323
8,FTV210115P00080000,2020-02-06 1:17PM EST,80.0,8.15,11.75,12.7,0.0,-,10,0,24.94,323
