,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,GE200228P00005000,2020-02-19 2:14PM EST,5.0,0.01,0.00,0.01,0.0,-,-,0,350.0,1
1,GE200228P00006500,2020-02-25 3:33PM EST,6.5,0.01,0.00,0.01,0.0,-,1,0,237.5,1
2,GE200228P00007500,2020-02-25 2:14PM EST,7.5,0.01,-,0.01,0.0,-,-,-,193.75,1
3,GE200228P00008000,2020-01-14 1:15PM EST,8.0,0.03,0.00,0.0,0.0,-,1,2,50.0,1
4,GE200228P00009000,2020-02-25 3:43PM EST,9.0,0.01,0.00,0.01,0.0,-,3,0,96.88,1
5,GE200228P00009500,2020-02-26 1:14PM EST,9.5,0.01,0.01,0.01,-0.01,-50.00%,413,0,84.38,1
6,GE200228P00010000,2020-02-26 1:31PM EST,10.0,0.02,0.01,0.02,-0.01,-33.33%,623,0,62.5,1
7,GE200228P00010500,2020-02-26 1:33PM EST,10.5,0.05,0.04,0.05,0.0,-,856,0,50.0,1
8,GE200228P00011000,2020-02-26 1:31PM EST,11.0,0.16,0.18,0.19,0.02,+14.29%,3905,0,38.28,1
0,GE200306P00005000,2020-02-10 12:09AM EST,5.0,0.08,-,0.02,0.0,-,-,0,228.13,8
1,GE200306P00009000,2020-01-27 11:07AM EST,9.0,0.02,0.01,0.02,-0.04,-66.67%,6,0,65.63,8
2,GE200306P00009500,2020-02-26 1:29PM EST,9.5,0.03,0.03,0.04,-0.01,-25.00%,77,0,59.38,8
3,GE200306P00010000,2020-02-26 1:24PM EST,10.0,0.07,0.06,0.07,-0.01,-12.50%,613,1395,50.78,8
4,GE200306P00010500,2020-02-26 1:34PM EST,10.5,0.15,0.15,0.16,0.01,+7.14%,951,0,46.88,8
5,GE200306P00011000,2020-02-26 1:34PM EST,11.0,0.34,0.32,0.33,0.07,+25.93%,1112,0,40.43,8
6,GE200306P00011500,2020-02-26 1:26PM EST,11.5,0.59,0.63,0.64,0.11,+22.92%,554,0,35.16,8
0,GE200313P00008000,2020-02-25 2:31PM EST,8.0,0.02,0.0,0.04,0.0,-,45,0,78.13,15
1,GE200313P00009000,2020-02-20 2:26PM EST,9.0,0.03,0.01,0.04,0.0,-,25,0,54.69,15
2,GE200313P00009500,2020-02-25 3:35PM EST,9.5,0.06,0.03,0.05,0.0,-,-,-,50.0,15
3,GE200313P00010000,2020-02-26 1:18PM EST,10.0,0.1,0.11,0.12,0.0,-,31,6,48.44,15
4,GE200313P00010500,2020-02-26 12:40PM EST,10.5,0.17,0.19,0.21,0.0,-,43,0,41.99,15
5,GE200313P00011000,2020-02-26 12:48PM EST,11.0,0.34,0.36,0.4,0.02,+6.25%,71,0,38.48,15
6,GE200313P00011500,2020-02-26 1:31PM EST,11.5,0.65,0.65,0.67,0.09,+16.07%,658,0,31.25,15
7,GE200313P00012000,2020-02-26 1:24PM EST,12.0,1.01,1.04,1.09,0.16,+18.82%,43,423,28.13,15
0,GE200320P00001000,2020-01-22 1:45PM EST,1.0,0.02,0.0,0.0,0.0,-,1,0,50.0,22
1,GE200320P00002000,2020-01-13 9:49AM EST,2.0,0.01,0.0,0.0,0.0,-,10,4040,50.0,22
2,GE200320P00003000,2020-01-31 11:12AM EST,3.0,0.01,0.0,0.01,0.0,-,1,0,193.75,22
3,GE200320P00004000,2020-02-18 9:30AM EST,4.0,0.02,0.0,0.01,0.0,-,60,0,156.25,22
4,GE200320P00005000,2020-02-03 11:40AM EST,5.0,0.01,0.0,0.01,0.0,-,5,0,125.0,22
5,GE200320P00006000,2020-01-31 3:31PM EST,6.0,0.01,0.0,0.01,0.0,-,1,0,96.88,22
6,GE200320P00007000,2020-02-12 2:19PM EST,7.0,0.01,0.0,0.01,0.0,-,4,0,75.0,22
7,GE200320P00008000,2020-02-26 12:20PM EST,8.0,0.02,0.01,0.02,0.01,+100.00%,111,0,62.5,22
8,GE200320P00008500,2020-02-25 2:34PM EST,8.5,0.03,0.02,0.03,0.0,-,-,-,57.03,22
9,GE200320P00009000,2020-02-26 1:34PM EST,9.0,0.06,0.05,0.06,0.01,+20.00%,26,0,55.08,22
10,GE200320P00009500,2020-02-25 3:47PM EST,9.5,0.08,0.05,0.06,0.0,-,-,-,44.14,22
11,GE200320P00010000,2020-02-26 1:12PM EST,10.0,0.13,0.14,0.16,0.0,-,978,0,45.7,22
12,GE200320P00010500,2020-02-26 9:58AM EST,10.5,0.19,0.14,0.16,-0.03,-13.64%,20,-,30.08,22
13,GE200320P00011000,2020-02-26 1:33PM EST,11.0,0.44,0.44,0.45,0.08,+22.22%,2348,0,36.72,22
14,GE200320P00011500,2020-02-26 1:27PM EST,11.5,0.67,0.71,0.72,0.05,+8.06%,273,0,31.64,22
15,GE200320P00012000,2020-02-26 12:42PM EST,12.0,1.05,1.08,1.09,0.15,+16.67%,619,0,22.66,22
0,GE200327P00006000,2020-02-25 1:55PM EST,6.0,0.02,-,0.03,0.0,-,-,-,109.38,29
1,GE200327P00009000,2020-02-25 3:55PM EST,9.0,0.07,0.04,0.07,0.0,-,56,0,51.56,29
2,GE200327P00009500,2020-02-25 2:12PM EST,9.5,0.08,0.08,0.11,-0.02,-20.00%,1,2,46.88,29
3,GE200327P00010000,2020-02-25 3:41PM EST,10.0,0.16,0.15,0.19,0.0,-,107,14,43.56,29
