,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,GIS200320P00042500,2020-02-18 12:10AM EST,42.5,0.05,-,0.03,0.0,-,-,0,39.06,22
1,GIS200320P00045000,2020-02-26 12:24PM EST,45.0,0.06,0.05,0.06,0.01,+20.00%,3,0,33.59,22
2,GIS200320P00047500,2020-02-25 3:21PM EST,47.5,0.19,0.15,0.17,0.0,-,42,688,29.98,22
3,GIS200320P00050000,2020-02-26 1:17PM EST,50.0,0.48,0.51,0.54,-0.05,-9.43%,12,615,28.17,22
4,GIS200320P00052500,2020-02-26 1:14PM EST,52.5,1.23,1.29,1.31,-0.05,-3.91%,42,0,24.85,22
5,GIS200320P00055000,2020-02-26 11:34AM EST,55.0,2.25,2.74,2.78,-0.46,-16.97%,12,306,21.24,22
0,GIS200417P00032500,2020-01-16 11:11AM EST,32.5,0.03,0.0,0.05,0.0,-,3,12,53.91,50
1,GIS200417P00035000,2020-02-06 12:18PM EST,35.0,0.01,0.0,0.04,0.0,-,1,0,49.22,50
2,GIS200417P00037500,2020-02-04 2:49PM EST,37.5,0.02,0.0,0.1,0.0,-,5,37,48.24,50
3,GIS200417P00040000,2020-02-25 1:53PM EST,40.0,0.05,0.02,0.09,0.0,-,51,0,39.45,50
4,GIS200417P00042500,2020-02-24 1:15PM EST,42.5,0.1,0.07,0.1,0.0,-,33,0,32.62,50
5,GIS200417P00045000,2020-02-25 1:45PM EST,45.0,0.21,0.18,0.21,0.0,-,5,1174,29.79,50
6,GIS200417P00047500,2020-02-25 3:30PM EST,47.5,0.5,0.44,0.46,0.0,-,39,1959,27.64,50
7,GIS200417P00050000,2020-02-26 1:01PM EST,50.0,0.91,0.97,0.99,-0.16,-14.95%,3,3520,26.1,50
8,GIS200417P00052500,2020-02-26 1:02PM EST,52.5,1.81,1.9,1.93,-0.21,-10.40%,41,2141,24.73,50
9,GIS200417P00055000,2020-02-26 1:10PM EST,55.0,3.24,3.35,3.4,-0.11,-3.28%,15,272,23.9,50
10,GIS200417P00057500,2020-02-24 2:08PM EST,57.5,4.6,5.35,5.4,0.0,-,9,146,24.61,50
11,GIS200417P00060000,2020-02-25 2:54PM EST,60.0,7.3,7.6,7.75,-0.3,-3.95%,5,0,28.08,50
12,GIS200417P00062500,2020-01-08 10:06AM EST,62.5,10.74,10.55,11.1,0.0,-,5,65,51.83,50
13,GIS200417P00065000,2020-02-20 1:13PM EST,65.0,11.65,12.45,12.75,0.0,-,1,0,39.5,50
0,GIS200717P00035000,2020-01-30 10:33AM EST,35.0,0.07,0.05,0.14,0.0,-,2,0,36.23,141
1,GIS200717P00037500,2020-01-09 2:39PM EST,37.5,0.2,0.11,0.21,0.0,-,10,38,33.5,141
2,GIS200717P00040000,2020-02-24 3:50PM EST,40.0,0.23,0.21,0.25,0.0,-,8,0,29.25,141
3,GIS200717P00042500,2020-02-24 1:37PM EST,42.5,0.4,0.39,0.42,0.0,-,5,238,27.39,141
4,GIS200717P00045000,2020-02-26 1:04PM EST,45.0,0.64,0.67,0.7,-0.12,-15.79%,19,0,25.76,141
5,GIS200717P00047500,2020-02-26 1:07PM EST,47.5,1.12,1.14,1.15,-0.04,-3.45%,13,534,24.29,141
6,GIS200717P00050000,2020-02-26 1:31PM EST,50.0,1.82,1.8,1.87,0.29,+18.95%,15,980,23.24,141
7,GIS200717P00052500,2020-02-26 1:06PM EST,52.5,2.76,2.85,2.9,-0.04,-1.43%,22,1199,22.33,141
8,GIS200717P00055000,2020-02-21 9:49AM EST,55.0,3.05,4.2,4.25,0.0,-,9,0,21.33,141
9,GIS200717P00057500,2020-02-18 9:42AM EST,57.5,5.65,6.0,6.1,0.0,-,12,580,21.85,141
10,GIS200717P00060000,2020-02-26 1:08PM EST,60.0,7.95,8.1,8.15,-0.05,-0.63%,4,41,22.14,141
11,GIS200717P00062500,2020-02-21 10:29AM EST,62.5,8.2,10.35,10.5,0.0,-,9,23,24.32,141
12,GIS200717P00065000,2020-02-20 2:35PM EST,65.0,12.2,12.65,12.9,0.55,+4.72%,7,0,26.42,141
13,GIS200717P00070000,2020-02-26 11:18AM EST,70.0,16.95,17.65,18.0,0.05,+0.30%,9,0,34.38,141
0,GIS201016P00045000,2020-02-25 6:47PM EST,45.0,1.3,1.12,1.16,0.0,-,-,-,24.49,232
1,GIS201016P00050000,2020-02-25 9:59AM EST,50.0,2.27,2.43,2.49,0.0,-,-,-,22.17,232
2,GIS201016P00052500,2020-02-25 3:00PM EST,52.5,3.7,3.4,3.5,0.0,-,-,-,21.05,232
3,GIS201016P00055000,2020-02-25 6:47PM EST,55.0,5.05,5.1,5.2,0.0,-,-,2,22.47,232
4,GIS201016P00057500,2020-02-25 3:00PM EST,57.5,6.7,6.75,6.9,0.0,-,2,2,22.49,232
5,GIS201016P00060000,2020-02-25 3:01PM EST,60.0,8.6,8.65,8.75,0.0,-,2,2,22.11,232
6,GIS201016P00062500,2020-02-25 2:56PM EST,62.5,10.75,10.8,10.9,0.0,-,4,4,22.78,232
0,GIS210115P00020000,2020-01-06 2:06PM EST,20.0,0.06,0.02,0.14,0.0,-,20,164,51.76,323
1,GIS210115P00022500,2019-11-06 12:29PM EST,22.5,0.2,0.02,0.25,0.0,-,3,0,50.88,323
2,GIS210115P00025000,2019-12-03 11:54AM EST,25.0,0.17,0.0,0.44,0.0,-,1,0,50.68,323
3,GIS210115P00027500,2020-02-21 10:02AM EST,27.5,0.14,0.04,0.46,0.0,-,2,66,45.46,323
4,GIS210115P00030000,2020-02-18 3:49PM EST,30.0,0.15,0.12,0.41,0.0,-,10,0,39.21,323
5,GIS210115P00032500,2020-02-19 2:58PM EST,32.5,0.2,0.2,0.44,0.0,-,2,0,35.03,323
6,GIS210115P00035000,2020-02-04 2:52PM EST,35.0,0.47,0.33,0.4,0.09,+23.68%,29,0,29.86,323
7,GIS210115P00037500,2020-02-18 2:04PM EST,37.5,0.57,0.5,0.56,0.03,+5.56%,4,0,28.05,323
8,GIS210115P00040000,2020-02-21 10:57AM EST,40.0,0.85,0.77,0.82,0.02,+2.41%,3,0,26.76,323
9,GIS210115P00042500,2020-02-25 2:30PM EST,42.5,1.27,1.14,1.18,0.0,-,17,816,25.55,323
10,GIS210115P00045000,2020-02-26 12:30PM EST,45.0,1.66,1.67,1.71,-0.05,-2.92%,3,1383,24.71,323
11,GIS210115P00047500,2020-02-26 1:27PM EST,47.5,2.35,2.35,2.42,0.22,+10.33%,1,0,23.99,323
12,GIS210115P00050000,2020-02-24 2:22PM EST,50.0,3.3,3.2,3.3,0.1,+3.12%,1,0,23.17,323
13,GIS210115P00052500,2020-02-25 1:49PM EST,52.5,4.3,4.35,4.45,0.0,-,41,0,22.69,323
14,GIS210115P00055000,2020-02-21 2:02PM EST,55.0,5.3,5.65,5.8,0.0,-,12,0,22.13,323
15,GIS210115P00057500,2020-02-26 12:28PM EST,57.5,7.3,7.3,7.4,0.77,+11.79%,2,0,21.79,323
16,GIS210115P00060000,2020-02-25 3:00PM EST,60.0,9.05,9.15,9.3,-0.05,-0.55%,2,1220,22.08,323
17,GIS210115P00062500,2020-02-21 9:37AM EST,62.5,9.85,11.25,11.35,0.0,-,5,61,22.43,323
18,GIS210115P00065000,2020-02-25 10:34AM EST,65.0,12.5,13.25,13.7,0.0,-,1,374,24.16,323
19,GIS210115P00070000,2020-02-06 10:47AM EST,70.0,18.55,18.05,18.55,0.0,-,7,198,27.83,323
20,GIS210115P00075000,2020-02-25 9:58AM EST,75.0,22.0,22.95,23.45,0.0,-,4,48,31.15,323
0,GIS220121P00030000,2020-02-25 1:44PM EST,30.0,0.57,0.57,0.79,0.0,-,52,0,31.48,694
1,GIS220121P00032500,2020-01-17 12:10PM EST,32.5,0.83,0.67,0.9,0.0,-,2,34,28.86,694
