,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,GL200320C00100000,2020-02-25 2:56PM EST,100.0,5.6,3.9,4.4,0.0,-,1,1,31.98,22
1,GL200320C00105000,2020-02-25 12:24PM EST,105.0,2.65,1.2,1.7,0.0,-,1,11,27.98,22
2,GL200320C00110000,2020-02-19 2:25PM EST,110.0,2.45,0.3,0.45,0.0,-,15,25,25.93,22
3,GL200320C00115000,2020-02-21 12:28PM EST,115.0,0.45,0.0,0.45,0.0,-,210,210,35.89,22
0,GL200515C00090000,2019-12-30 2:38PM EST,90.0,16.55,15.0,15.8,0.0,-,5,9,48.11,78
1,GL200515C00095000,2020-02-13 3:46PM EST,95.0,10.8,8.9,9.7,0.0,-,1,0,30.53,78
2,GL200515C00100000,2019-12-30 3:07PM EST,100.0,8.1,6.9,7.3,0.0,-,10,5,33.56,78
3,GL200515C00105000,2020-02-19 1:38PM EST,105.0,7.5,2.9,3.3,0.0,-,2,0,24.34,78
4,GL200515C00110000,2020-02-24 10:29AM EST,110.0,2.8,1.25,1.55,0.0,-,13,0,22.73,78
5,GL200515C00115000,2020-02-26 9:32AM EST,115.0,0.7,0.45,0.65,-1.3,-65.00%,10,64,21.95,78
6,GL200515C00120000,2020-02-12 10:12AM EST,120.0,0.9,0.1,0.35,0.0,-,5,0,23.27,78
0,GL200821C00095000,2020-01-21 9:52AM EST,95.0,12.07,17.1,18.3,0.0,-,-,0,51.33,176
1,GL200821C00100000,2020-01-02 2:23PM EST,100.0,9.39,8.2,8.8,0.0,-,-,0,27.88,176
2,GL200821C00105000,2020-02-20 2:21PM EST,105.0,9.39,4.3,5.1,0.0,-,7,0,22.74,176
3,GL200821C00110000,2020-02-18 10:05AM EST,110.0,4.61,2.55,2.95,0.0,-,2,0,20.97,176
4,GL200821C00115000,2020-02-24 1:03PM EST,115.0,2.4,1.25,1.6,0.0,-,2,17,19.96,176
5,GL200821C00120000,2020-02-21 2:36PM EST,120.0,0.9,0.65,0.9,-0.9,-50.00%,1,0,19.9,176
