,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,GM200228P00026000,2020-02-25 2:51PM EST,26.0,0.01,0.0,0.02,0.0,-,77,122,101.56,1
1,GM200228P00027000,2020-01-14 11:22AM EST,27.0,0.14,0.0,0.03,0.0,-,-,20,90.63,1
2,GM200228P00027500,2020-02-18 9:59AM EST,27.5,0.01,0.0,0.02,0.0,-,20,20,78.13,1
3,GM200228P00028000,2020-02-05 2:51PM EST,28.0,0.02,0.0,0.03,0.0,-,10,0,73.44,1
4,GM200228P00028500,2020-02-25 3:49PM EST,28.5,0.04,0.0,0.03,0.01,+33.33%,1,0,65.63,1
5,GM200228P00029000,2020-02-26 9:30AM EST,29.0,0.06,0.0,0.03,0.02,+50.00%,1,14,57.81,1
6,GM200228P00029500,2020-02-24 1:42PM EST,29.5,0.09,0.0,0.03,0.0,-,160,0,55.47,1
7,GM200228P00030000,2020-02-26 12:48PM EST,30.0,0.03,0.02,0.03,-0.11,-78.57%,81,102,46.88,1
8,GM200228P00030500,2020-02-26 1:08PM EST,30.5,0.05,0.04,0.06,-0.15,-75.00%,9,0,44.53,1
9,GM200228P00031000,2020-02-26 12:36PM EST,31.0,0.09,0.1,0.12,-0.24,-72.73%,99,1784,42.58,1
10,GM200228P00031500,2020-02-26 1:08PM EST,31.5,0.17,0.21,0.22,-0.31,-64.58%,278,2293,40.23,1
11,GM200228P00032000,2020-02-26 1:35PM EST,32.0,0.39,0.34,0.35,-0.31,-44.29%,442,0,34.77,1
12,GM200228P00032500,2020-02-26 12:43PM EST,32.5,0.57,0.69,0.71,-0.45,-44.12%,150,708,41.99,1
13,GM200228P00033000,2020-02-26 1:24PM EST,33.0,0.9,1.08,1.12,-0.46,-33.82%,60,2241,48.24,1
14,GM200228P00033500,2020-02-26 1:06PM EST,33.5,1.31,1.5,1.52,-0.56,-29.95%,19,2173,48.63,1
15,GM200228P00034000,2020-02-26 1:24PM EST,34.0,1.79,1.85,1.89,-0.41,-18.64%,462,0,12.5,1
16,GM200228P00034500,2020-02-26 9:47AM EST,34.5,2.38,2.4,2.48,-0.33,-12.18%,24,2326,53.52,1
17,GM200228P00035000,2020-02-26 12:19PM EST,35.0,2.79,2.89,2.94,-0.55,-16.47%,8,1431,53.91,1
18,GM200228P00035500,2020-02-25 10:14AM EST,35.5,3.17,3.35,3.45,0.41,+14.86%,70,425,53.13,1
21,GM200228P00037000,2020-02-25 10:18AM EST,37.0,5.0,4.75,4.9,0.0,-,28,0,70.31,1
22,GM200228P00037500,2020-02-25 10:04AM EST,37.5,4.65,5.2,5.7,0.0,-,11,13,101.56,1
23,GM200228P00038000,2020-02-20 3:09PM EST,38.0,3.5,5.75,6.15,0.0,-,20,0,108.2,1
24,GM200228P00038500,2020-02-19 10:25AM EST,38.5,5.25,6.25,6.45,0.0,-,4,0,114.84,1
25,GM200228P00039000,2020-02-19 10:25AM EST,39.0,4.29,6.75,7.35,0.0,-,-,0,148.83,1
28,GM200228P00041500,2020-02-25 6:53PM EST,41.5,9.0,9.35,9.9,0.0,-,-,5,200.0,1
0,GM200306P00026000,2020-02-25 3:03PM EST,26.0,0.05,-,0.05,0.0,-,-,-,71.09,8
1,GM200306P00026500,2020-02-26 9:30AM EST,26.5,0.05,0.00,0.04,0.03,+150.00%,5,1,56.25,8
2,GM200306P00027500,2020-02-25 3:00PM EST,27.5,0.09,0.04,0.05,0.0,-,9,0,53.91,8
3,GM200306P00028000,2020-02-25 2:44PM EST,28.0,0.11,0.06,0.07,0.0,-,1,1,52.73,8
4,GM200306P00028500,2020-02-25 2:54PM EST,28.5,0.1,0.07,0.08,-0.08,-44.44%,-,-,49.61,8
5,GM200306P00029000,2020-02-26 1:19PM EST,29.0,0.11,0.11,0.13,-0.1,-47.62%,42,15,49.81,8
