,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,GPN200320P00150000,2020-02-25 1:05PM EST,150.0,0.25,-,0.6,0.0,-,-,-,58.4,22
1,GPN200320P00155000,2020-02-25 6:54PM EST,155.0,0.25,0.00,0.85,0.0,-,-,-,56.1,22
2,GPN200320P00160000,2020-02-14 9:53AM EST,160.0,0.18,0.55,0.75,0.0,-,5,0,47.75,22
3,GPN200320P00165000,2020-02-14 9:53AM EST,165.0,0.22,0.80,1.05,0.0,-,1,0,44.92,22
4,GPN200320P00170000,2020-02-25 1:54PM EST,170.0,1.0,1.20,1.4,0.0,-,4,10,41.39,22
5,GPN200320P00175000,2020-02-26 12:08PM EST,175.0,1.45,1.75,2.15,0.55,+61.11%,47,31,39.86,22
6,GPN200320P00180000,2020-02-26 12:35PM EST,180.0,2.4,2.50,2.75,1.01,+72.66%,1015,0,35.35,22
7,GPN200320P00185000,2020-02-26 12:34PM EST,185.0,3.42,4.00,4.6,-0.58,-14.50%,50,0,36.24,22
8,GPN200320P00190000,2020-02-26 12:50PM EST,190.0,5.2,5.40,6.4,-0.47,-8.29%,25,192,33.83,22
9,GPN200320P00195000,2020-02-26 1:27PM EST,195.0,7.62,7.30,8.7,0.95,+14.24%,13,1249,30.97,22
10,GPN200320P00200000,2020-02-25 3:42PM EST,200.0,11.0,10.70,11.6,0.0,-,27,0,27.49,22
11,GPN200320P00210000,2020-02-21 3:13PM EST,210.0,19.3,20.00,21.0,0.0,-,5,0,36.01,22
12,GPN200320P00230000,2020-02-19 11:11AM EST,230.0,20.85,36.30,40.7,0.0,-,-,0,53.03,22
0,GPN200417P00150000,2020-02-25 12:59PM EST,150.0,0.55,0.65,0.8,0.0,-,7,7,42.26,50
1,GPN200417P00170000,2020-02-26 1:25PM EST,170.0,2.25,2.35,2.45,1.1,+95.65%,2,5,34.3,50
2,GPN200417P00175000,2020-02-25 12:48PM EST,175.0,2.1,2.05,2.35,0.0,-,-,-,28.09,50
3,GPN200417P00180000,2020-02-26 1:06PM EST,180.0,4.0,3.9,4.5,1.55,+63.27%,14,6,31.3,50
4,GPN200417P00185000,2020-02-26 12:34PM EST,185.0,5.12,5.6,6.3,1.52,+42.22%,1,3,30.88,50
5,GPN200417P00190000,2020-02-25 3:57PM EST,190.0,7.8,5.4,5.8,0.0,-,-,-,20.89,50
6,GPN200417P00195000,2020-02-25 1:06PM EST,195.0,8.14,7.5,7.8,0.0,-,-,-,17.76,50
7,GPN200417P00200000,2020-02-25 10:10AM EST,200.0,8.5,12.7,13.9,0.0,-,2,3,27.91,50
0,GPN200515P00090000,2019-11-11 11:01AM EST,90.0,0.6,0.0,4.7,0.0,-,30,0,112.52,78
1,GPN200515P00100000,2019-10-18 1:35PM EST,100.0,0.7,0.0,1.15,0.0,-,-,0,73.83,78
2,GPN200515P00110000,2020-02-21 9:59AM EST,110.0,0.1,0.0,1.05,0.0,-,1,2,63.14,78
3,GPN200515P00135000,2020-01-21 10:48AM EST,135.0,0.45,0.0,0.0,0.0,-,3,0,12.5,78
4,GPN200515P00140000,2020-01-27 9:59AM EST,140.0,0.6,0.45,0.9,0.0,-,1,1,42.97,78
5,GPN200515P00145000,2020-01-23 11:53AM EST,145.0,0.68,0.05,0.8,0.0,-,-,1,37.94,78
6,GPN200515P00150000,2020-02-25 12:44PM EST,150.0,1.0,1.25,1.6,0.0,-,4,520,40.55,78
7,GPN200515P00155000,2020-01-09 1:32PM EST,155.0,1.48,1.1,1.25,0.0,-,5,13,33.89,78
8,GPN200515P00160000,2020-02-25 3:32PM EST,160.0,1.95,1.95,2.3,0.0,-,4,34,35.97,78
9,GPN200515P00165000,2020-02-13 2:09PM EST,165.0,2.85,2.6,2.9,0.0,-,5,0,34.29,78
10,GPN200515P00170000,2020-02-18 3:43PM EST,170.0,1.2,3.4,3.8,0.0,-,2,0,33.19,78
11,GPN200515P00175000,2020-02-26 9:43AM EST,175.0,3.97,4.5,4.8,1.17,+41.79%,10,0,31.66,78
12,GPN200515P00180000,2020-02-26 1:15PM EST,180.0,5.88,6.1,6.6,1.78,+43.41%,20,121,31.89,78
13,GPN200515P00185000,2020-02-26 11:07AM EST,185.0,6.19,8.0,8.5,-1.31,-17.47%,13,57,31.34,78
14,GPN200515P00190000,2020-02-26 12:40PM EST,190.0,9.5,10.1,10.5,-0.5,-5.00%,20,46,30.1,78
15,GPN200515P00195000,2020-02-24 3:26PM EST,195.0,10.1,12.5,13.4,2.8,+38.36%,3,0,30.39,78
16,GPN200515P00200000,2020-02-24 3:21PM EST,200.0,11.2,14.5,16.1,0.0,-,4,0,29.08,78
17,GPN200515P00210000,2020-02-26 11:21AM EST,210.0,19.09,21.6,23.1,9.17,+92.44%,3,31,28.09,78
0,GPN200821P00160000,2020-02-24 10:26AM EST,160.0,2.7,3.7,4.7,0.0,-,5,13,31.56,176
1,GPN200821P00165000,2020-01-24 10:21AM EST,165.0,3.13,0.0,0.0,0.0,-,-,0,3.13,176
2,GPN200821P00170000,2020-02-18 9:30AM EST,170.0,3.5,4.5,7.1,0.0,-,43,57,30.28,176
3,GPN200821P00175000,2020-02-05 1:10PM EST,175.0,5.68,6.6,8.5,0.0,-,10,11,29.43,176
4,GPN200821P00180000,2020-02-05 10:40AM EST,180.0,7.0,7.2,8.9,0.0,-,5,5,26.12,176
5,GPN200821P00185000,2020-02-25 3:30PM EST,185.0,11.14,9.9,12.4,0.0,-,4,0,28.61,176
6,GPN200821P00190000,2020-02-10 12:02AM EST,190.0,10.3,11.0,13.7,0.0,-,-,0,26.24,176
7,GPN200821P00195000,2020-02-13 11:44AM EST,195.0,14.8,14.3,17.1,3.55,+31.56%,-,1,27.37,176
8,GPN200821P00200000,2020-02-21 11:30AM EST,200.0,17.28,16.3,19.9,0.0,-,2,0,26.86,176
9,GPN200821P00210000,2020-02-21 11:30AM EST,210.0,15.78,22.7,25.9,0.0,-,1,0,25.05,176
11,GPN200821P00260000,2020-02-18 12:14AM EST,260.0,60.7,67.1,71.2,0.0,-,-,0,30.83,176
0,GPN201218P00085000,2020-01-24 12:44PM EST,85.0,0.75,0.35,0.0,0.0,-,2,0,12.5,295
1,GPN201218P00090000,2020-02-11 1:46PM EST,90.0,0.8,0.0,4.5,0.0,-,2,21,57.8,295
2,GPN201218P00095000,2019-11-18 1:36PM EST,95.0,1.02,0.1,5.0,0.0,-,2,2,55.91,295
3,GPN201218P00100000,2019-12-16 12:00AM EST,100.0,1.43,0.0,4.9,0.0,-,-,0,51.88,295
4,GPN201218P00105000,2019-09-17 10:07AM EST,105.0,2.0,2.05,2.4,0.0,-,2,0,48.33,295
5,GPN201218P00110000,2020-01-27 12:01AM EST,110.0,1.35,0.0,4.5,0.0,-,-,0,53.99,295
6,GPN201218P00115000,2020-01-21 9:30AM EST,115.0,1.45,0.0,0.0,0.0,-,1,4,12.5,295
7,GPN201218P00120000,2020-02-25 12:42PM EST,120.0,1.8,0.0,4.5,0.0,-,5,5,47.23,295
8,GPN201218P00125000,2020-02-10 3:13PM EST,125.0,1.55,0.6,3.3,0.0,-,3,37,39.96,295
9,GPN201218P00130000,2020-02-18 2:14PM EST,130.0,1.7,0.0,3.7,0.0,-,6,0,38.42,295
