,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,GPS200228C00013000,2020-02-26 10:39AM EST,13.0,2.43,1.98,2.05,0.02,+0.83%,200,0,146.09,1
1,GPS200228C00014000,2020-02-26 11:22AM EST,14.0,1.4,1.01,1.07,-0.12,-7.89%,225,0,94.14,1
2,GPS200228C00014500,2020-02-26 10:39AM EST,14.5,0.99,0.53,0.59,0.01,+1.02%,202,0,65.63,1
3,GPS200228C00015500,2020-02-26 9:36AM EST,15.5,0.35,0.25,0.29,0.03,+9.38%,21,-,96.09,1
4,GPS200228C00016000,2020-02-26 11:39AM EST,16.0,0.08,0.01,0.04,-0.04,-33.33%,37,0,55.47,1
5,GPS200228C00016500,2020-02-25 10:25AM EST,16.5,0.08,0.0,0.02,0.0,-,527,216,60.94,1
6,GPS200228C00017000,2020-02-25 1:22PM EST,17.0,0.02,0.0,0.02,0.0,-,1256,0,75.0,1
7,GPS200228C00017500,2020-02-21 3:46PM EST,17.5,0.01,0.0,0.02,-0.05,-83.33%,3,0,87.5,1
8,GPS200228C00018000,2020-02-25 12:43PM EST,18.0,0.01,0.0,0.02,0.0,-,10,639,100.0,1
9,GPS200228C00018500,2020-02-24 1:53PM EST,18.5,0.02,0.0,0.01,0.0,-,3,0,103.13,1
10,GPS200228C00019000,2020-02-19 2:44PM EST,19.0,0.04,0.0,0.1,0.0,-,58,0,162.5,1
11,GPS200228C00019500,2020-02-24 10:27AM EST,19.5,0.07,0.0,0.08,0.0,-,1,0,168.75,1
12,GPS200228C00020000,2020-02-24 10:39AM EST,20.0,0.02,0.0,0.09,0.0,-,201,0,185.94,1
13,GPS200228C00020500,2020-02-12 9:50AM EST,20.5,0.15,0.0,0.09,0.0,-,4,0,196.88,1
14,GPS200228C00021000,2020-02-20 10:16AM EST,21.0,0.03,0.0,0.11,0.0,-,10,0,217.19,1
15,GPS200228C00022000,2020-01-29 11:03AM EST,22.0,0.07,0.0,0.12,0.0,-,10,0,243.75,1
16,GPS200228C00023000,2020-01-21 12:03AM EST,23.0,0.07,0.0,0.0,0.0,-,-,0,50.0,1
0,GPS200306C00015000,2020-02-25 2:38PM EST,15.0,0.72,0.5,0.54,0.0,-,12,0,58.79,8
1,GPS200306C00015500,2020-02-25 3:48PM EST,15.5,0.54,0.28,0.32,0.0,-,8,0,55.66,8
2,GPS200306C00016000,2020-02-26 1:13PM EST,16.0,0.18,0.14,0.17,-0.16,-47.06%,4,0,53.13,8
3,GPS200306C00016500,2020-02-24 10:52AM EST,16.5,0.16,0.07,0.1,-0.01,-5.88%,3,0,53.91,8
4,GPS200306C00017000,2020-02-25 10:27AM EST,17.0,0.09,0.02,0.05,0.0,-,69,0,51.56,8
5,GPS200306C00017500,2020-02-25 10:32AM EST,17.5,0.05,0.0,0.05,0.0,-,63,77,56.25,8
6,GPS200306C00018000,2020-02-24 11:29AM EST,18.0,0.08,0.0,0.03,0.0,-,1511,0,59.38,8
7,GPS200306C00018500,2020-02-25 9:34AM EST,18.5,0.03,0.0,0.03,0.0,-,1,0,65.63,8
8,GPS200306C00019000,2020-02-21 2:45PM EST,19.0,0.05,0.0,0.09,0.0,-,2,0,87.5,8
9,GPS200306C00019500,2020-02-19 11:19AM EST,19.5,0.05,0.0,0.03,0.0,-,1,0,78.13,8
10,GPS200306C00020000,2020-02-20 11:15AM EST,20.0,0.04,0.0,0.09,0.0,-,2,2,101.56,8
11,GPS200306C00020500,2020-02-18 2:56PM EST,20.5,0.03,0.0,0.08,0.0,-,9,0,105.47,8
12,GPS200306C00021000,2020-02-18 12:00AM EST,21.0,0.16,0.0,0.07,0.0,-,-,0,109.38,8
13,GPS200306C00022000,2020-01-30 11:05PM EST,22.0,0.1,0.0,0.14,0.0,-,-,0,136.72,8
0,GPS200313C00016000,2020-01-30 10:26AM EST,16.0,2.38,0.48,0.55,0.0,-,-,0,73.54,15
1,GPS200313C00017000,2020-02-24 12:44PM EST,17.0,0.7,0.22,0.29,0.0,-,1,0,70.7,15
