,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,GPS200228P00013500,2020-02-25 9:36AM EST,13.5,0.02,0.0,0.02,0.0,-,3,0,57.81,1
1,GPS200228P00014000,2020-02-24 3:39PM EST,14.0,0.2,0.0,0.05,0.0,-,2,0,58.59,1
2,GPS200228P00014500,2020-02-25 3:55PM EST,14.5,0.14,0.02,0.05,0.0,-,-,-,32.81,1
3,GPS200228P00015000,2020-02-26 9:40AM EST,15.0,0.11,0.28,0.31,-0.12,-52.17%,30,0,43.75,1
0,GPS200306P00014000,2020-02-25 2:48PM EST,14.0,0.11,0.14,0.19,-0.04,-26.67%,2,0,50.39,8
1,GPS200306P00014500,2020-02-26 12:44PM EST,14.5,0.24,0.29,0.32,-0.01,-4.00%,4,0,50.0,8
2,GPS200306P00015000,2020-02-25 11:24AM EST,15.0,0.35,0.29,0.34,-0.07,-16.67%,1,-,27.74,8
3,GPS200306P00015500,2020-02-24 3:53PM EST,15.5,0.53,0.72,0.85,0.0,-,8,0,47.27,8
4,GPS200306P00016000,2020-02-24 1:24PM EST,16.0,0.87,1.07,1.16,-0.03,-3.33%,3,0,32.81,8
0,GPS200313P00013000,2020-02-25 2:48PM EST,13.0,0.19,0.21,0.25,0.0,-,2,0,72.07,15
1,GPS200313P00013500,2020-02-24 1:20PM EST,13.5,0.25,0.21,0.26,0.15,+150.00%,2,-,59.38,15
2,GPS200313P00014000,2020-02-25 2:36PM EST,14.0,0.4,0.44,0.5,0.0,-,5,0,67.38,15
3,GPS200313P00014500,2020-02-25 12:08PM EST,14.5,0.49,0.64,0.72,0.0,-,1,1,67.58,15
4,GPS200313P00015000,2020-02-26 1:33PM EST,15.0,0.89,0.86,0.95,0.45,+102.27%,2,0,65.43,15
5,GPS200313P00015500,2020-02-25 10:36AM EST,15.5,0.81,1.14,1.21,0.0,-,25,0,63.09,15
6,GPS200313P00016000,2020-02-25 2:36PM EST,16.0,1.27,1.49,1.57,0.0,-,6,0,64.26,15
7,GPS200313P00016500,2020-02-24 10:59AM EST,16.5,1.38,1.78,1.92,0.46,+50.00%,10,0,58.2,15
8,GPS200313P00017000,2020-02-24 11:11AM EST,17.0,1.8,2.13,2.26,0.0,-,1,0,56.64,15
9,GPS200313P00017500,2020-02-21 1:40PM EST,17.5,1.43,2.51,2.66,0.0,-,4,0,46.09,15
10,GPS200313P00018000,2020-02-26 9:30AM EST,18.0,2.75,3.05,3.15,2.03,+281.94%,1,5,49.22,15
0,GPS200320P00008000,2019-12-05 9:43AM EST,8.0,0.02,0.0,0.03,0.0,-,1,0,109.38,22
1,GPS200320P00009000,2019-11-08 10:30AM EST,9.0,0.15,0.0,0.11,0.0,-,1,0,112.5,22
2,GPS200320P00010000,2020-02-26 9:30AM EST,10.0,0.03,0.0,0.04,-0.01,-25.00%,10,0,76.56,22
3,GPS200320P00011000,2019-11-27 3:51PM EST,11.0,0.14,0.0,0.07,0.0,-,25,40,67.19,22
4,GPS200320P00012000,2020-02-24 1:39PM EST,12.0,0.08,0.1,0.13,0.0,-,84,0,66.8,22
5,GPS200320P00013000,2020-02-24 2:14PM EST,13.0,0.18,0.24,0.3,0.0,-,181,0,64.65,22
6,GPS200320P00013500,2020-02-25 1:44PM EST,13.5,0.3,0.26,0.31,0.0,-,-,-,54.49,22
7,GPS200320P00014000,2020-02-26 12:40PM EST,14.0,0.48,0.52,0.56,0.02,+4.35%,22,0,61.82,22
8,GPS200320P00014500,2020-02-25 11:42AM EST,14.5,0.54,0.55,0.6,0.0,-,-,-,51.56,22
9,GPS200320P00015000,2020-02-26 1:13PM EST,15.0,0.95,0.95,0.99,0.18,+23.38%,21,0,59.38,22
10,GPS200320P00015500,2020-02-25 3:42PM EST,15.5,1.07,1.2,1.24,0.0,-,112,0,56.25,22
11,GPS200320P00016000,2020-02-26 12:00PM EST,16.0,1.39,1.5,1.56,0.1,+7.75%,1,0,54.0,22
13,GPS200320P00017000,2020-02-26 9:47AM EST,17.0,1.95,2.26,2.33,-0.04,-2.01%,13,8151,51.37,22
14,GPS200320P00018000,2020-02-25 12:03PM EST,18.0,2.73,3.0,3.2,-0.08,-2.85%,14,7751,51.95,22
15,GPS200320P00019000,2020-02-25 2:00PM EST,19.0,3.75,3.9,4.15,0.0,-,10,0,50.78,22
0,GPS200327P00012500,2020-02-24 12:20PM EST,12.5,0.07,0.2,0.25,0.0,-,-,0,62.5,29
1,GPS200327P00013500,2020-02-07 2:39PM EST,13.5,0.07,0.41,0.45,0.0,-,2,0,58.69,29
2,GPS200327P00014000,2020-02-25 1:47PM EST,14.0,0.48,0.58,0.64,0.0,-,3,0,58.89,29
3,GPS200327P00014500,2020-02-24 12:20PM EST,14.5,0.33,0.75,0.81,0.0,-,-,1,56.06,29
4,GPS200327P00015000,2020-02-10 11:28AM EST,15.0,0.85,0.99,1.04,0.61,+254.17%,2,0,54.88,29
5,GPS200327P00016000,2020-02-25 9:30AM EST,16.0,0.79,1.54,1.65,0.0,-,1,0,51.66,29
6,GPS200327P00016500,2020-02-13 2:35PM EST,16.5,0.47,1.75,2.11,0.0,-,-,0,61.23,29
7,GPS200327P00017000,2020-02-25 3:43PM EST,17.0,2.0,2.24,2.32,-0.07,-3.38%,1,0,47.46,29
8,GPS200327P00017500,2020-02-24 2:52PM EST,17.5,2.4,2.55,2.71,0.0,-,1,0,42.19,29
9,GPS200327P00018000,2020-02-25 3:35PM EST,18.0,2.88,3.05,3.15,0.0,-,20,0,36.72,29
11,GPS200327P00019000,2020-02-25 6:55PM EST,19.0,3.7,1.84,5.05,0.0,-,-,-,126.07,29
0,GPS200403P00011500,2020-02-19 9:55AM EST,11.5,0.04,0.1,0.14,0.0,-,-,0,61.72,36
1,GPS200403P00014000,2020-02-20 3:09PM EST,14.0,0.11,0.6,0.68,0.0,-,10,82,54.88,36
2,GPS200403P00015000,2020-02-25 12:38PM EST,15.0,0.84,1.01,1.08,0.0,-,1,0,51.07,36
3,GPS200403P00015500,2020-02-18 2:34PM EST,15.5,0.41,1.28,1.34,0.0,-,-,0,51.07,36
4,GPS200403P00016000,2020-02-24 3:39PM EST,16.0,0.93,1.58,1.68,0.0,-,1,0,51.47,36
5,GPS200403P00016500,2020-02-24 10:36AM EST,16.5,1.1,1.91,2.0,0.0,-,1,0,48.63,36
6,GPS200403P00017000,2020-02-19 12:37PM EST,17.0,1.02,2.26,2.47,0.0,-,1,0,53.52,36
7,GPS200403P00018000,2020-02-21 3:27PM EST,18.0,1.7,2.86,3.45,0.0,-,1,6,64.06,36
8,GPS200403P00019000,2020-02-18 1:21PM EST,19.0,2.12,2.57,4.85,0.0,-,-,0,101.86,36
0,GPS200417P00011000,2020-02-26 1:11PM EST,11.0,0.12,0.11,0.15,0.01,+9.09%,3,-,60.94,50
1,GPS200417P00014000,2020-02-26 1:12PM EST,14.0,0.78,0.77,0.81,0.1,+14.71%,13,0,54.2,50
2,GPS200417P00015000,2020-02-26 1:10PM EST,15.0,1.22,1.22,1.27,0.12,+10.91%,14,0,52.64,50
3,GPS200417P00016000,2020-02-26 12:00PM EST,16.0,1.67,1.83,1.91,0.04,+2.45%,34,11,52.83,50
4,GPS200417P00017000,2020-02-24 3:22PM EST,17.0,1.62,2.45,2.66,0.0,-,-,0,50.39,50
5,GPS200417P00018000,2020-02-25 2:53PM EST,18.0,3.01,3.25,3.45,-0.04,-1.31%,1,0,54.79,50
0,GPS200619P00009000,2019-12-17 2:15PM EST,9.0,0.11,0.0,0.09,0.0,-,20,0,56.84,113
1,GPS200619P00010000,2020-01-31 1:21PM EST,10.0,0.1,0.0,0.16,0.0,-,100,0,53.71,113
2,GPS200619P00011000,2020-01-09 1:51PM EST,11.0,0.12,0.03,0.13,0.0,-,20,25,41.02,113
3,GPS200619P00012000,2020-02-26 10:09AM EST,12.0,0.41,0.43,0.5,0.0,-,8,0,51.07,113
4,GPS200619P00013000,2020-02-24 1:26PM EST,13.0,0.41,0.73,0.8,0.0,-,6,0,50.29,113
5,GPS200619P00014000,2020-02-26 10:05AM EST,14.0,1.0,1.1,1.16,0.0,-,1,0,48.39,113
6,GPS200619P00015000,2020-02-24 1:28PM EST,15.0,1.4,1.56,1.62,0.0,-,10,0,46.68,113
7,GPS200619P00016000,2020-02-26 12:47PM EST,16.0,2.09,2.13,2.28,0.27,+14.84%,9,0,48.1,113
8,GPS200619P00017000,2020-02-25 2:18PM EST,17.0,2.61,2.77,2.87,0.0,-,3,0,44.63,113
9,GPS200619P00018000,2020-02-20 12:39PM EST,18.0,3.2,3.55,3.7,-0.15,-4.48%,50,0,46.48,113
10,GPS200619P00019000,2020-02-26 1:03PM EST,19.0,4.3,4.4,4.55,1.0,+30.30%,261,0,47.17,113
11,GPS200619P00020000,2020-02-20 3:55PM EST,20.0,3.3,5.25,5.4,0.0,-,51,0,45.9,113
12,GPS200619P00021000,2020-02-25 11:22AM EST,21.0,5.8,5.7,6.55,0.0,-,25,40,58.11,113
14,GPS200619P00023000,2020-02-25 1:49PM EST,23.0,7.8,6.75,8.8,0.0,-,3,0,78.22,113
15,GPS200619P00024000,2020-02-14 10:42AM EST,24.0,6.05,7.7,9.35,0.0,-,4,0,60.35,113
0,GPS200918P00011000,2020-02-19 10:35AM EST,11.0,0.21,0.47,0.54,0.0,-,-,0,48.98,204
1,GPS200918P00012000,2020-02-25 2:56PM EST,12.0,0.67,0.74,0.82,0.0,-,2,0,48.24,204
