,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,GRMN200320P00070000,2020-02-21 3:58PM EST,70.0,0.07,0.09,0.12,-0.04,-36.36%,5,0,52.73,22
1,GRMN200320P00075000,2020-02-25 1:41PM EST,75.0,0.18,0.2,0.25,0.0,-,1,0,48.15,22
2,GRMN200320P00080000,2020-02-25 2:47PM EST,80.0,0.38,0.45,0.5,-0.06,-13.64%,1,0,41.85,22
3,GRMN200320P00085000,2020-02-26 1:13PM EST,85.0,0.92,1.04,1.11,-0.08,-8.00%,19,0,36.72,22
4,GRMN200320P00090000,2020-02-26 12:04PM EST,90.0,2.05,2.39,2.49,-0.16,-7.24%,62,0,32.53,22
5,GRMN200320P00092500,2020-02-26 11:55AM EST,92.5,3.2,3.7,3.9,-0.28,-8.05%,28,0,33.62,22
6,GRMN200320P00095000,2020-02-25 3:03PM EST,95.0,4.7,5.5,5.7,-0.45,-8.74%,30,0,35.82,22
7,GRMN200320P00097500,2020-02-24 3:24PM EST,97.5,5.83,7.35,7.55,-0.17,-2.83%,1,0,35.84,22
8,GRMN200320P00100000,2020-02-26 10:22AM EST,100.0,8.1,9.8,10.05,1.48,+22.36%,30,0,42.9,22
9,GRMN200320P00105000,2020-02-21 2:21PM EST,105.0,10.27,14.0,14.6,0.0,-,4,0,47.36,22
10,GRMN200320P00110000,2020-02-20 11:57AM EST,110.0,10.85,19.15,19.75,0.0,-,1,8,54.2,22
11,GRMN200320P00115000,2020-02-12 1:24PM EST,115.0,18.35,24.25,24.95,0.0,-,-,0,67.04,22
0,GRMN200417P00040000,2020-02-12 12:18PM EST,40.0,0.05,0.0,0.07,0.0,-,4,0,85.94,50
1,GRMN200417P00042500,2020-01-15 11:18AM EST,42.5,0.07,0.01,0.06,0.0,-,4,52,80.08,50
2,GRMN200417P00045000,2020-01-23 1:33PM EST,45.0,0.04,0.0,0.05,0.0,-,-,53,71.88,50
3,GRMN200417P00047500,2020-02-12 12:20PM EST,47.5,0.05,0.06,0.16,0.0,-,1,34,80.08,50
4,GRMN200417P00050000,2020-02-19 2:04PM EST,50.0,0.03,0.01,0.2,0.0,-,14,0,73.83,50
5,GRMN200417P00055000,2020-02-14 2:57PM EST,55.0,0.07,0.12,0.3,0.0,-,-,0,70.61,50
6,GRMN200417P00060000,2020-02-18 2:10PM EST,60.0,0.14,0.09,0.54,0.0,-,1,0,64.5,50
7,GRMN200417P00065000,2019-11-12 1:26PM EST,65.0,0.43,0.0,0.32,0.0,-,10,131,54.1,50
8,GRMN200417P00067500,2019-12-12 12:20PM EST,67.5,0.39,0.3,0.4,0.0,-,8,53,51.42,50
9,GRMN200417P00070000,2020-02-21 12:53PM EST,70.0,0.12,0.37,0.47,0.0,-,1,0,48.05,50
10,GRMN200417P00072500,2020-02-20 10:00AM EST,72.5,0.15,0.4,0.46,0.0,-,-,0,42.68,50
11,GRMN200417P00075000,2020-02-21 12:53PM EST,75.0,0.28,0.57,0.65,0.0,-,1,0,41.26,50
12,GRMN200417P00077500,2020-02-19 2:04PM EST,77.5,0.25,0.72,0.83,0.0,-,17,0,38.72,50
13,GRMN200417P00080000,2020-02-25 3:20PM EST,80.0,0.95,0.94,1.03,0.0,-,1,0,35.79,50
14,GRMN200417P00082500,2020-02-19 3:50PM EST,82.5,1.05,1.26,1.33,0.0,-,28,0,33.28,50
15,GRMN200417P00085000,2020-02-26 12:45PM EST,85.0,1.55,1.79,1.87,0.47,+43.52%,5,0,32.03,50
16,GRMN200417P00087500,2020-02-25 11:22AM EST,87.5,2.33,2.51,2.61,0.36,+18.27%,5,0,31.03,50
17,GRMN200417P00090000,2020-02-21 1:56PM EST,90.0,1.73,3.3,3.5,0.0,-,12,0,29.58,50
18,GRMN200417P00092500,2020-02-25 11:52AM EST,92.5,4.0,4.7,4.85,-0.2,-4.76%,1,0,29.81,50
19,GRMN200417P00095000,2020-02-24 3:33PM EST,95.0,5.02,6.15,6.35,0.37,+7.96%,1,0,29.4,50
20,GRMN200417P00097500,2020-02-25 10:00AM EST,97.5,7.58,8.0,8.25,0.0,-,15,0,30.49,50
21,GRMN200417P00100000,2020-02-24 12:06PM EST,100.0,7.35,9.9,10.2,0.0,-,5,0,30.62,50
22,GRMN200417P00105000,2020-02-20 3:53PM EST,105.0,8.55,14.15,14.7,0.0,-,1,0,33.5,50
23,GRMN200417P00115000,2020-02-12 10:42AM EST,115.0,18.1,24.05,24.85,0.0,-,1,0,49.37,50
0,GRMN200717P00055000,2020-02-03 2:24PM EST,55.0,0.22,0.1,0.76,0.0,-,10,0,54.96,141
1,GRMN200717P00060000,2020-02-07 10:15AM EST,60.0,0.43,0.6,0.72,0.0,-,100,0,46.44,141
2,GRMN200717P00065000,2020-02-18 12:01AM EST,65.0,0.75,0.78,0.88,0.0,-,3,0,41.19,141
3,GRMN200717P00070000,2020-02-20 1:40PM EST,70.0,0.66,1.13,1.23,0.0,-,3,0,37.57,141
4,GRMN200717P00075000,2020-02-20 1:24PM EST,75.0,1.44,1.68,1.82,0.0,-,1,0,34.78,141
5,GRMN200717P00080000,2020-02-13 3:19PM EST,80.0,1.9,2.56,2.72,0.0,-,6,0,32.4,141
6,GRMN200717P00085000,2020-02-25 2:50PM EST,85.0,3.65,3.85,4.05,0.0,-,2,0,30.37,141
7,GRMN200717P00087500,2020-02-19 10:23AM EST,87.5,4.43,4.65,4.95,0.0,-,10,0,29.64,141
8,GRMN200717P00090000,2020-02-24 9:49AM EST,90.0,5.58,5.65,5.9,1.48,+36.10%,80,0,28.53,141
9,GRMN200717P00092500,2020-02-25 2:26PM EST,92.5,6.75,7.05,7.2,0.0,-,8,12,28.32,141
10,GRMN200717P00095000,2020-02-25 2:29PM EST,95.0,8.25,8.55,8.75,0.0,-,30,0,28.56,141
11,GRMN200717P00097500,2020-02-24 9:53AM EST,97.5,7.44,10.0,10.3,0.0,-,9,0,28.17,141
12,GRMN200717P00100000,2020-02-24 10:29AM EST,100.0,9.1,11.8,12.15,0.0,-,2,142,28.58,141
13,GRMN200717P00105000,2020-02-20 3:22PM EST,105.0,13.1,15.85,16.3,0.0,-,1,0,30.19,141
14,GRMN200717P00110000,2020-02-19 3:55PM EST,110.0,9.9,19.95,20.35,0.0,-,-,0,29.41,141
15,GRMN200717P00115000,2020-02-21 1:13PM EST,115.0,19.45,24.25,25.5,0.0,-,1,0,34.77,141
0,GRMN210115P00032500,2019-12-26 1:27PM EST,32.5,0.29,0.1,0.43,0.0,-,10,0,55.81,323
1,GRMN210115P00035000,2020-02-03 2:31PM EST,35.0,0.1,0.09,0.81,0.0,-,10,0,57.13,323
2,GRMN210115P00037500,2020-01-08 1:58PM EST,37.5,0.48,0.22,0.53,0.0,-,23,144,51.61,323
3,GRMN210115P00040000,2020-02-05 3:24PM EST,40.0,0.45,0.32,0.6,0.0,-,20,0,50.05,323
4,GRMN210115P00042500,2019-07-29 9:11AM EST,42.5,0.95,0.0,1.18,0.0,-,4,34,57.37,323
5,GRMN210115P00045000,2020-02-21 12:06PM EST,45.0,0.5,0.14,1.29,0.0,-,3,0,54.88,323
6,GRMN210115P00047500,2020-01-08 1:58PM EST,47.5,0.75,0.45,1.19,0.0,-,11,71,50.27,323
7,GRMN210115P00050000,2020-02-19 2:55PM EST,50.0,0.5,0.81,1.0,0.0,-,10,136,44.95,323
8,GRMN210115P00055000,2019-12-09 11:56AM EST,55.0,0.99,0.88,1.02,0.0,-,4,111,39.16,323
9,GRMN210115P00057500,2019-12-09 11:56AM EST,57.5,1.13,1.01,1.14,0.0,-,8,16,37.4,323
10,GRMN210115P00060000,2020-02-18 11:01AM EST,60.0,1.19,1.58,1.71,0.0,-,1,0,38.93,323
11,GRMN210115P00062500,2020-02-20 12:35PM EST,62.5,1.2,1.83,2.05,0.0,-,10,0,38.18,323
12,GRMN210115P00065000,2020-02-25 1:39PM EST,65.0,2.12,2.15,2.3,0.0,-,2,0,36.67,323
13,GRMN210115P00067500,2020-02-24 9:53AM EST,67.5,2.11,2.48,2.67,0.0,-,7,0,35.67,323
14,GRMN210115P00070000,2020-02-25 1:38PM EST,70.0,2.82,2.86,3.05,0.0,-,2,477,34.51,323
15,GRMN210115P00072500,2020-02-25 12:08PM EST,72.5,2.99,3.35,3.55,0.0,-,2,0,33.69,323
16,GRMN210115P00075000,2020-02-21 10:20AM EST,75.0,3.15,3.8,4.05,0.0,-,1,0,32.64,323
17,GRMN210115P00077500,2020-02-25 12:54PM EST,77.5,4.1,4.55,4.75,0.0,-,2,0,32.14,323
18,GRMN210115P00080000,2020-02-19 3:30PM EST,80.0,4.9,5.2,5.4,0.3,+6.52%,1,0,31.18,323
19,GRMN210115P00082500,2020-02-25 1:29PM EST,82.5,5.7,5.95,6.3,0.0,-,2,0,30.81,323
20,GRMN210115P00085000,2020-02-25 11:23AM EST,85.0,6.35,7.05,7.35,0.0,-,2,0,30.63,323
21,GRMN210115P00087500,2020-02-25 9:49AM EST,87.5,7.2,8.05,8.4,0.0,-,2,0,30.17,323
22,GRMN210115P00090000,2020-02-25 1:33PM EST,90.0,8.75,9.25,9.6,0.0,-,3,20,29.87,323
23,GRMN210115P00092500,2020-02-24 1:23PM EST,92.5,9.15,10.55,10.9,0.0,-,2,0,29.6,323
24,GRMN210115P00095000,2020-02-25 9:47AM EST,95.0,9.8,11.9,12.3,0.0,-,1,151,29.34,323
