,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,HAS200228C00080000,2020-02-25 3:01PM EST,80.0,4.4,2.85,3.6,0.0,-,3,3,58.11,1
1,HAS200228C00085000,2020-02-26 1:01PM EST,85.0,0.57,0.30,0.45,-0.23,-28.75%,19,12,39.45,1
2,HAS200228C00086000,2020-02-26 12:06PM EST,86.0,0.27,0.20,0.3,-0.43,-61.43%,18,34,41.99,1
3,HAS200228C00087000,2020-02-25 12:23PM EST,87.0,0.62,0.10,0.25,0.0,-,-,-,47.36,1
4,HAS200228C00088000,2020-02-25 12:12PM EST,88.0,0.34,0.05,0.15,0.0,-,-,-,47.85,1
5,HAS200228C00089000,2020-02-24 10:17AM EST,89.0,0.18,0.00,0.1,0.0,-,26,0,49.61,1
6,HAS200228C00090000,2020-02-25 9:33AM EST,90.0,0.2,0.00,0.1,0.0,-,4,51,55.86,1
7,HAS200228C00091000,2020-02-25 12:12PM EST,91.0,0.01,0.00,0.35,0.0,-,52,149,69.53,1
8,HAS200228C00091500,2020-02-24 11:47AM EST,91.5,0.2,0.00,0.0,0.0,-,5,0,25.0,1
9,HAS200228C00092000,2020-02-26 12:06PM EST,92.0,0.01,0.00,0.05,-0.03,-75.00%,1,36,53.13,1
10,HAS200228C00092500,2020-02-24 1:30PM EST,92.5,0.17,0.00,0.0,0.0,-,6,0,25.0,1
11,HAS200228C00093000,2020-02-24 12:41PM EST,93.0,0.15,0.00,0.0,0.0,-,5,0,25.0,1
12,HAS200228C00093500,2020-02-24 9:50AM EST,93.5,0.2,0.00,0.05,0.0,-,4,6,60.16,1
13,HAS200228C00094000,2020-02-24 12:41PM EST,94.0,0.1,0.00,0.3,0.0,-,28,37,84.77,1
14,HAS200228C00095000,2020-02-24 3:40PM EST,95.0,0.02,0.00,0.1,0.0,-,15,332,74.22,1
15,HAS200228C00096000,2020-02-21 3:21PM EST,96.0,0.05,0.00,0.05,0.0,-,7,0,71.88,1
16,HAS200228C00097000,2020-02-24 9:49AM EST,97.0,0.11,0.00,0.05,0.0,-,1,57,75.78,1
17,HAS200228C00097500,2020-02-24 11:33AM EST,97.5,0.05,0.00,0.05,0.0,-,4,590,78.13,1
18,HAS200228C00098000,2020-02-24 10:13AM EST,98.0,0.05,0.00,0.05,0.0,-,1,848,80.47,1
19,HAS200228C00098500,2020-02-21 12:29PM EST,98.5,0.2,0.00,0.05,0.0,-,14,32,82.03,1
20,HAS200228C00099000,2020-02-21 2:41PM EST,99.0,0.2,0.00,0.15,0.0,-,48,46,98.83,1
21,HAS200228C00099500,2020-02-21 11:32AM EST,99.5,0.15,0.00,0.15,0.0,-,4,0,101.17,1
22,HAS200228C00100000,2020-02-21 1:58PM EST,100.0,0.15,0.00,0.15,-0.02,-11.76%,1,77,103.52,1
23,HAS200228C00101000,2020-02-21 11:47AM EST,101.0,0.1,0.00,0.05,0.0,-,25,0,92.19,1
24,HAS200228C00102000,2020-02-21 10:05AM EST,102.0,0.2,0.00,0.05,0.0,-,23,0,96.88,1
25,HAS200228C00103000,2020-02-20 10:38AM EST,103.0,0.3,0.00,0.3,0.0,-,25,80,131.25,1
26,HAS200228C00104000,2020-02-21 10:58AM EST,104.0,0.05,0.00,0.05,0.0,-,2,0,104.69,1
27,HAS200228C00105000,2020-02-21 9:34AM EST,105.0,0.05,0.00,0.05,0.0,-,29,165,107.81,1
28,HAS200228C00106000,2020-02-12 3:59PM EST,106.0,0.1,0.10,0.05,0.0,-,1,0,129.69,1
29,HAS200228C00107000,2020-02-11 11:54AM EST,107.0,0.79,0.05,0.35,0.0,-,17,0,157.42,1
30,HAS200228C00108000,2020-02-12 3:31PM EST,108.0,0.11,0.00,0.3,0.0,-,1,9,153.91,1
31,HAS200228C00109000,2020-02-21 9:30AM EST,109.0,0.1,0.00,0.3,0.0,-,3,172,158.2,1
32,HAS200228C00110000,2020-02-12 9:30AM EST,110.0,0.2,0.00,0.05,0.0,-,1,60,126.56,1
33,HAS200228C00111000,2020-02-21 9:30AM EST,111.0,0.05,0.00,0.05,0.0,-,2,0,129.69,1
34,HAS200228C00112000,2020-02-11 2:54PM EST,112.0,0.05,0.00,0.3,0.0,-,3,3,170.7,1
35,HAS200228C00115000,2020-02-21 9:30AM EST,115.0,0.05,0.00,0.1,0.0,-,33,19,156.25,1
36,HAS200228C00116000,2020-02-10 3:30PM EST,116.0,1.06,0.00,0.35,0.0,-,2,0,191.8,1
37,HAS200228C00117000,2020-02-11 9:48AM EST,117.0,0.3,0.00,0.1,0.0,-,17,16,163.28,1
38,HAS200228C00118000,2020-02-10 1:42PM EST,118.0,0.5,0.00,0.1,0.0,-,5,5,166.41,1
39,HAS200228C00119000,2020-02-18 12:07AM EST,119.0,0.4,-,0.0,0.0,-,-,0,50.0,1
40,HAS200228C00120000,2020-02-11 9:38AM EST,120.0,0.25,0.00,0.05,0.0,-,32,18,159.38,1
41,HAS200228C00125000,2020-02-06 3:49PM EST,125.0,0.25,0.00,0.05,0.0,-,-,2,175.0,1
0,HAS200306C00080000,2020-02-24 1:05PM EST,80.0,5.0,3.50,4.1,0.0,-,1,41,42.97,8
1,HAS200306C00085000,2020-02-26 11:41AM EST,85.0,1.55,1.10,1.35,-2.45,-61.25%,17,40,39.94,8
2,HAS200306C00090000,2020-02-26 11:39AM EST,90.0,0.34,0.15,0.3,-0.06,-15.00%,12,19,39.84,8
3,HAS200306C00091000,2020-02-25 12:08PM EST,91.0,0.35,0.10,0.2,0.0,-,2,12,39.36,8
4,HAS200306C00091500,2020-02-21 12:59PM EST,91.5,2.28,0.10,0.2,0.0,-,1,1,41.11,8
5,HAS200306C00092000,2020-02-25 1:45PM EST,92.0,0.15,0.10,0.2,0.0,-,-,-,42.77,8
6,HAS200306C00092500,2020-02-21 3:48PM EST,92.5,0.75,0.05,0.15,0.0,-,1,3,41.7,8
7,HAS200306C00093000,2020-02-21 3:01PM EST,93.0,1.4,0.00,0.15,0.0,-,1,1,43.36,8
8,HAS200306C00094000,2020-02-24 11:43AM EST,94.0,0.15,0.00,0.65,0.0,-,1,8,55.47,8
9,HAS200306C00095000,2020-02-24 3:52PM EST,95.0,0.2,0.00,0.35,0.0,-,11,19,51.17,8
10,HAS200306C00096000,2020-02-21 3:48PM EST,96.0,0.5,0.00,0.05,0.0,-,9,0,43.36,8
11,HAS200306C00097000,2020-02-24 9:48AM EST,97.0,0.2,0.00,0.0,0.0,-,21,0,25.0,8
12,HAS200306C00098000,2020-02-24 3:49PM EST,98.0,0.12,0.00,0.2,0.0,-,202,0,54.1,8
13,HAS200306C00098500,2020-02-21 3:30PM EST,98.5,0.3,0.00,0.0,0.0,-,1,0,25.0,8
