,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,HBAN200320C00007000,2020-01-30 2:57PM EST,7.0,6.4,5.75,5.9,0.0,-,-,6,129.69,22
1,HBAN200320C00009000,2020-01-30 10:57AM EST,9.0,4.4,3.8,3.9,0.0,-,-,9,89.84,22
2,HBAN200320C00012000,2020-02-25 1:41PM EST,12.0,1.08,1.1,1.12,0.0,-,-,-,50.98,22
3,HBAN200320C00013000,2020-02-25 2:54PM EST,13.0,0.31,0.29,0.31,-0.06,-16.22%,28,0,31.06,22
4,HBAN200320C00014000,2020-02-26 11:04AM EST,14.0,0.07,0.04,0.05,0.01,+16.67%,100,1899,28.52,22
5,HBAN200320C00015000,2020-02-25 3:14PM EST,15.0,0.02,0.0,0.03,0.0,-,1,843,38.28,22
6,HBAN200320C00016000,2020-02-12 11:07AM EST,16.0,0.02,0.0,0.03,0.0,-,1,6,50.0,22
0,HBAN200417C00004000,2020-02-04 12:55PM EST,4.0,9.9,8.75,8.9,0.0,-,-,9,159.38,50
1,HBAN200417C00010000,2019-08-30 9:12AM EST,10.0,3.45,3.4,3.9,0.0,-,2,0,115.23,50
2,HBAN200417C00011000,2020-01-03 11:29AM EST,11.0,3.79,2.97,3.1,0.0,-,2,2,113.87,50
3,HBAN200417C00012000,2020-02-26 10:39AM EST,12.0,1.17,0.97,1.0,-0.41,-25.95%,2,0,27.74,50
4,HBAN200417C00013000,2020-02-25 3:24PM EST,13.0,0.42,0.39,0.41,-0.03,-6.67%,52,0,26.37,50
5,HBAN200417C00014000,2020-02-26 12:10PM EST,14.0,0.12,0.11,0.13,-0.02,-14.29%,48,0,26.37,50
6,HBAN200417C00015000,2020-02-25 3:19PM EST,15.0,0.03,0.02,0.04,-0.01,-25.00%,20,0,27.74,50
7,HBAN200417C00016000,2020-02-25 11:34AM EST,16.0,0.03,0.02,0.03,0.0,-,22,1437,33.99,50
8,HBAN200417C00017000,2020-01-24 2:52PM EST,17.0,0.03,0.0,0.03,0.0,-,1,0,41.41,50
9,HBAN200417C00018000,2019-12-20 12:14PM EST,18.0,0.06,0.0,0.04,0.0,-,1,23,50.0,50
10,HBAN200417C00021000,2019-09-16 8:30AM EST,21.0,0.04,0.0,0.11,0.0,-,-,12,71.09,50
0,HBAN200515C00010000,2020-01-03 12:21PM EST,10.0,4.85,3.95,4.05,0.0,-,28,28,112.01,78
1,HBAN200515C00011000,2020-01-23 9:50AM EST,11.0,3.2,2.91,2.98,0.0,-,6,0,87.11,78
2,HBAN200515C00012000,2020-02-24 2:24PM EST,12.0,1.63,1.07,1.11,0.0,-,10,20,27.64,78
3,HBAN200515C00013000,2020-02-26 11:10AM EST,13.0,0.62,0.51,0.53,0.02,+3.33%,10,148,26.17,78
4,HBAN200515C00014000,2020-02-26 12:25PM EST,14.0,0.21,0.18,0.2,0.0,-,13,0,25.1,78
5,HBAN200515C00015000,2020-02-25 11:52AM EST,15.0,0.06,0.06,0.07,-0.01,-14.29%,11,0,25.59,78
6,HBAN200515C00016000,2020-02-24 10:31AM EST,16.0,0.02,0.01,0.03,0.0,-,15,497,27.34,78
7,HBAN200515C00017000,2020-01-03 1:53PM EST,17.0,0.1,0.04,0.03,0.0,-,34,85,33.2,78
8,HBAN200515C00018000,2019-12-23 9:42AM EST,18.0,0.06,0.0,0.05,0.0,-,2,1,42.19,78
0,HBAN200717C00011000,2020-02-25 6:47PM EST,11.0,2.05,2.12,2.15,0.0,-,-,-,34.23,141
1,HBAN200717C00012000,2020-02-19 2:48PM EST,12.0,2.1,1.18,1.23,0.0,-,5,0,24.95,141
2,HBAN200717C00013000,2020-02-26 11:10AM EST,13.0,0.74,0.63,0.66,-0.66,-47.14%,5,82,23.63,141
3,HBAN200717C00014000,2020-02-26 12:07PM EST,14.0,0.29,0.29,0.3,-0.03,-9.38%,10,0,22.66,141
4,HBAN200717C00015000,2020-02-21 2:46PM EST,15.0,0.12,0.1,0.12,-0.01,-7.69%,155,0,22.17,141
5,HBAN200717C00017000,2020-02-04 3:46PM EST,17.0,0.02,0.0,0.03,0.0,-,13,0,24.81,141
6,HBAN200717C00018000,2020-02-07 1:23PM EST,18.0,0.02,0.0,0.03,0.0,-,20,73,28.71,141
0,HBAN201016C00013000,2020-02-25 3:55PM EST,13.0,0.97,0.78,0.83,0.15,+18.29%,1,1,22.61,232
1,HBAN201016C00014000,2020-02-25 9:53AM EST,14.0,0.61,0.48,0.52,0.0,-,-,-,23.68,232
2,HBAN201016C00016000,2020-02-24 12:57PM EST,16.0,0.15,0.07,0.1,0.0,-,-,6,20.9,232
0,HBAN201218C00013000,2020-02-26 11:36AM EST,13.0,0.99,0.84,0.98,-0.22,-18.18%,2,11,23.34,295
1,HBAN201218C00015000,2020-02-25 3:57PM EST,15.0,0.3,0.26,0.33,0.0,-,1,225,22.07,295
2,HBAN201218C00017000,2020-02-18 9:30AM EST,17.0,0.08,0.0,0.09,0.0,-,1,0,21.49,295
0,HBAN210115C00012000,2020-02-25 9:48AM EST,12.0,1.56,1.47,1.53,-0.23,-12.85%,1,83,23.34,323
1,HBAN210115C00015000,2020-02-26 10:38AM EST,15.0,0.38,0.3,0.34,0.04,+11.76%,50,1468,21.34,323
2,HBAN210115C00017000,2020-02-24 10:29AM EST,17.0,0.11,0.06,0.1,0.01,+10.00%,8,802,21.09,323
