,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,HBAN200320P00012000,2020-02-26 12:04PM EST,12.0,0.16,0.17,0.18,0.01,+6.67%,17,80,37.31,22
1,HBAN200320P00013000,2020-02-26 11:13AM EST,13.0,0.46,0.59,0.61,-0.14,-23.33%,20,492,37.5,22
2,HBAN200320P00014000,2020-02-26 12:07PM EST,14.0,1.35,1.36,1.4,0.07,+5.47%,1621,0,44.34,22
3,HBAN200320P00015000,2020-02-18 11:21AM EST,15.0,1.33,2.28,2.34,0.0,-,4,0,50.39,22
0,HBAN200417P00006000,2019-08-30 10:37AM EST,6.0,0.02,0.0,0.04,0.0,-,-,0,95.31,50
1,HBAN200417P00009000,2019-10-20 11:04PM EST,9.0,0.07,0.0,0.04,0.0,-,-,35,54.69,50
2,HBAN200417P00010000,2019-08-26 8:46AM EST,10.0,0.33,0.11,0.12,0.0,-,-,0,52.34,50
3,HBAN200417P00011000,2020-01-10 2:27PM EST,11.0,0.03,0.0,0.03,0.0,-,36,75,25.78,50
4,HBAN200417P00012000,2020-02-25 2:08PM EST,12.0,0.24,0.26,0.28,-0.01,-4.00%,31,421,31.64,50
5,HBAN200417P00013000,2020-02-26 11:44AM EST,13.0,0.58,0.69,0.72,-0.12,-17.14%,120,687,31.15,50
6,HBAN200417P00014000,2020-02-25 2:54PM EST,14.0,1.38,1.4,1.44,0.0,-,39,1184,32.81,50
7,HBAN200417P00015000,2020-02-25 3:50PM EST,15.0,2.26,2.29,2.38,0.0,-,2,155,40.63,50
8,HBAN200417P00016000,2020-02-24 9:32AM EST,16.0,2.7,3.3,3.4,0.0,-,50,50,52.54,50
10,HBAN200417P00020000,2020-02-03 10:46AM EST,20.0,6.3,7.25,7.35,0.0,-,36,0,70.7,50
0,HBAN200515P00011000,2020-02-25 3:27PM EST,11.0,0.17,0.13,0.14,0.0,-,-,-,31.54,78
1,HBAN200515P00012000,2020-02-25 1:20PM EST,12.0,0.31,0.38,0.41,0.0,-,20,140,31.93,78
2,HBAN200515P00013000,2020-02-26 12:49PM EST,13.0,0.75,0.82,0.84,0.01,+1.35%,10,386,30.37,78
3,HBAN200515P00014000,2020-02-25 3:33PM EST,14.0,1.48,1.49,1.52,0.0,-,5,0,30.76,78
4,HBAN200515P00015000,2020-02-24 3:58PM EST,15.0,2.26,2.25,2.38,0.0,-,3,36,33.2,78
5,HBAN200515P00019000,2020-02-18 3:15PM EST,19.0,5.2,6.3,6.35,0.0,-,-,7,55.86,78
0,HBAN200717P00010000,2019-12-17 2:57PM EST,10.0,0.08,0.01,0.1,0.0,-,-,0,30.47,141
1,HBAN200717P00011000,2020-02-24 12:58PM EST,11.0,0.13,0.26,0.29,0.0,-,1,32,31.15,141
2,HBAN200717P00012000,2020-02-25 1:09PM EST,12.0,0.41,0.55,0.58,0.0,-,11,156,29.83,141
3,HBAN200717P00013000,2020-02-26 1:37PM EST,13.0,1.04,1.02,1.07,0.34,+48.57%,17,766,29.88,141
4,HBAN200717P00014000,2020-02-19 3:45PM EST,14.0,0.8,1.63,1.68,0.0,-,100,182,28.61,141
0,HBAN201016P00013000,2020-02-25 2:14PM EST,13.0,1.21,1.25,1.31,0.0,-,2,2,29.25,232
0,HBAN201218P00008000,2020-01-02 10:30AM EST,8.0,0.09,0.04,0.09,0.0,-,-,0,34.57,295
1,HBAN201218P00010000,2020-02-21 11:07AM EST,10.0,0.16,0.32,0.36,0.0,-,1,31,32.18,295
2,HBAN201218P00013000,2020-02-19 10:23AM EST,13.0,0.83,1.44,1.55,0.0,-,50,249,31.2,295
3,HBAN201218P00015000,2020-02-21 11:07AM EST,15.0,2.76,2.81,2.87,0.0,-,3,47,30.47,295
0,HBAN210115P00005000,2019-10-28 8:35AM EST,5.0,0.03,0.0,0.05,0.0,-,1,15,53.91,323
1,HBAN210115P00008000,2020-02-24 1:27PM EST,8.0,0.07,0.07,0.12,0.0,-,155,0,35.35,323
2,HBAN210115P00010000,2020-02-25 3:15PM EST,10.0,0.39,0.32,0.39,0.0,-,7,485,31.79,323
3,HBAN210115P00012000,2020-02-25 3:42PM EST,12.0,1.03,0.97,1.06,0.0,-,6,761,30.57,323
4,HBAN210115P00015000,2020-02-24 1:27PM EST,15.0,2.39,2.88,2.94,0.0,-,303,0,30.76,323
6,HBAN210115P00025000,2020-01-27 7:10PM EST,25.0,11.7,12.35,12.6,0.0,-,-,20,54.1,323
0,HBAN220121P00005000,2019-12-04 9:53AM EST,5.0,0.2,0.0,0.0,0.0,-,-,0,12.5,694
1,HBAN220121P00008000,2019-12-05 1:39PM EST,8.0,0.45,0.05,0.68,0.0,-,-,0,42.09,694
2,HBAN220121P00010000,2020-01-31 3:04PM EST,10.0,0.6,0.63,0.95,0.0,-,10,226,33.13,694
3,HBAN220121P00012000,2020-01-27 3:45PM EST,12.0,1.1,0.64,2.49,0.0,-,14,0,42.65,694
4,HBAN220121P00015000,2020-02-20 9:30AM EST,15.0,2.51,2.71,4.55,0.0,-,8,151,44.31,694
5,HBAN220121P00017000,2020-01-28 9:41AM EST,17.0,4.65,4.5,6.8,0.0,-,-,0,55.05,694
