,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,HBI200320C00011000,2020-02-25 3:00PM EST,11.0,2.55,1.85,2.1,0.0,-,1,1,56.64,22
1,HBI200320C00012000,2020-02-21 11:26AM EST,12.0,1.65,1.05,1.2,0.0,-,12,84,54.69,22
2,HBI200320C00013000,2020-02-25 2:18PM EST,13.0,0.85,0.45,0.55,0.0,-,12,47,47.07,22
3,HBI200320C00014000,2020-02-26 11:46AM EST,14.0,0.25,0.1,0.2,-0.15,-37.50%,25,4327,44.53,22
4,HBI200320C00015000,2020-02-26 11:53AM EST,15.0,0.08,0.1,0.15,-0.02,-20.00%,76,1461,53.71,22
5,HBI200320C00016000,2020-02-25 12:33PM EST,16.0,0.05,0.0,0.05,0.0,-,21,439,54.69,22
6,HBI200320C00017000,2020-02-12 3:37PM EST,17.0,0.05,0.0,0.05,0.0,-,4,0,57.81,22
7,HBI200320C00020000,2020-02-06 3:33PM EST,20.0,0.09,0.0,0.05,0.0,-,-,2,84.38,22
0,HBI200417C00005000,2020-01-13 12:08AM EST,5.0,8.8,9.1,9.5,0.0,-,1,0,369.14,50
1,HBI200417C00006000,2019-12-16 12:08AM EST,6.0,9.3,7.8,8.6,0.0,-,-,0,298.63,50
2,HBI200417C00008000,2019-12-16 12:48PM EST,8.0,6.76,6.1,6.6,0.0,-,-,0,226.47,50
3,HBI200417C00010000,2020-02-20 11:23AM EST,10.0,4.6,2.95,3.2,0.0,-,4,0,65.43,50
4,HBI200417C00011000,2020-02-20 9:34AM EST,11.0,3.5,2.0,2.15,0.0,-,1,21,53.22,50
5,HBI200417C00012000,2020-02-05 12:11PM EST,12.0,3.0,1.25,1.45,0.0,-,90,110,51.76,50
6,HBI200417C00013000,2020-02-26 1:25PM EST,13.0,0.77,0.7,0.8,-0.64,-45.39%,7,183,44.92,50
7,HBI200417C00014000,2020-02-25 3:38PM EST,14.0,0.55,0.3,0.4,0.0,-,5,4326,42.38,50
8,HBI200417C00015000,2020-02-26 1:03PM EST,15.0,0.12,0.1,0.2,-0.15,-55.56%,128,0,42.58,50
9,HBI200417C00016000,2020-02-24 3:55PM EST,16.0,0.1,0.05,0.1,-0.05,-33.33%,10,0,43.56,50
10,HBI200417C00017000,2020-02-26 12:36PM EST,17.0,0.02,0.0,0.05,-0.03,-60.00%,3,4674,44.53,50
11,HBI200417C00018000,2020-02-25 10:24AM EST,18.0,0.01,0.0,0.05,-0.02,-66.67%,40,0,51.56,50
12,HBI200417C00019000,2020-02-25 3:20PM EST,19.0,0.02,0.0,0.05,0.0,-,6,202,51.56,50
13,HBI200417C00020000,2020-02-25 11:56AM EST,20.0,0.03,0.0,0.05,0.0,-,2,304,57.03,50
14,HBI200417C00021000,2020-01-02 2:40PM EST,21.0,0.05,0.0,0.05,0.0,-,2,76,61.72,50
15,HBI200417C00022000,2019-11-05 2:53PM EST,22.0,0.2,0.0,0.0,0.0,-,1,6,25.0,50
