,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,HD200228P00190000,2020-02-24 1:37PM EST,190.0,0.01,0.0,0.02,0.0,-,251,0,84.38,1
1,HD200228P00195000,2020-02-03 9:30AM EST,195.0,0.36,0.0,0.13,0.0,-,1,0,92.19,1
2,HD200228P00197500,2020-02-26 10:09AM EST,197.5,0.03,0.0,0.04,-0.67,-95.71%,201,6,75.0,1
3,HD200228P00200000,2020-02-26 10:01AM EST,200.0,0.02,0.02,0.03,0.0,-,166,0,72.66,1
4,HD200228P00202500,2020-02-14 2:12PM EST,202.5,0.04,0.02,0.04,0.0,-,10,13,68.75,1
5,HD200228P00205000,2020-02-24 3:59PM EST,205.0,0.05,0.03,0.12,0.0,-,122,0,71.88,1
6,HD200228P00207500,2020-02-25 12:39PM EST,207.5,0.03,0.03,0.13,0.0,-,11,0,67.19,1
7,HD200228P00210000,2020-02-25 1:42PM EST,210.0,0.05,0.04,0.06,-0.04,-44.44%,8,0,57.81,1
8,HD200228P00212500,2020-02-26 10:19AM EST,212.5,0.05,0.03,0.08,-0.07,-58.33%,2,453,53.52,1
9,HD200228P00215000,2020-02-26 1:21PM EST,215.0,0.06,0.05,0.09,-0.09,-60.00%,106,0,50.0,1
10,HD200228P00217500,2020-02-26 12:35PM EST,217.5,0.05,0.05,0.11,-0.1,-66.67%,58,726,48.24,1
11,HD200228P00220000,2020-02-26 11:41AM EST,220.0,0.07,0.07,0.1,-0.19,-73.08%,145,0,41.8,1
12,HD200228P00222500,2020-02-26 11:34AM EST,222.5,0.07,0.09,0.18,-0.22,-75.86%,37,0,40.53,1
13,HD200228P00225000,2020-02-26 1:37PM EST,225.0,0.23,0.2,0.26,-0.21,-47.73%,192,1881,37.4,1
14,HD200228P00227500,2020-02-26 1:34PM EST,227.5,0.29,0.33,0.39,-0.28,-49.12%,220,1191,34.33,1
15,HD200228P00230000,2020-02-26 1:12PM EST,230.0,0.48,0.56,0.67,-0.41,-46.07%,778,1448,32.52,1
16,HD200228P00232500,2020-02-26 1:05PM EST,232.5,0.8,0.96,1.09,-0.56,-41.18%,265,0,30.1,1
17,HD200228P00235000,2020-02-26 1:36PM EST,235.0,1.65,1.66,1.84,-0.43,-20.67%,1152,1615,28.57,1
18,HD200228P00237500,2020-02-26 1:36PM EST,237.5,2.85,2.79,2.98,-0.23,-7.47%,959,930,27.2,1
