,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,HES200228C00052500,2020-02-12 2:00PM EST,52.5,5.9,4.15,4.55,0.0,-,-,1,81.05,1
1,HES200228C00053000,2020-02-13 9:46AM EST,53.0,6.9,3.85,3.95,0.0,-,-,21,77.83,1
2,HES200228C00053500,2020-02-18 11:46AM EST,53.5,6.8,3.4,3.5,0.0,-,1,1,74.02,1
3,HES200228C00054500,2020-02-25 2:59PM EST,54.5,3.4,3.3,3.45,0.0,-,-,-,110.64,1
4,HES200228C00055000,2020-02-13 1:35PM EST,55.0,9.81,2.14,2.28,0.0,-,1,0,65.04,1
5,HES200228C00056000,2020-02-18 12:10AM EST,56.0,4.65,1.46,1.56,0.0,-,-,0,60.55,1
6,HES200228C00056500,2020-02-18 3:43PM EST,56.5,3.25,1.25,1.33,0.0,-,1,0,62.6,1
7,HES200228C00057000,2020-02-26 1:27PM EST,57.0,1.21,0.99,1.04,-0.39,-24.38%,2,52,60.45,1
8,HES200228C00057500,2020-02-26 12:13PM EST,57.5,0.95,0.75,0.82,-3.6,-79.12%,2,0,58.79,1
9,HES200228C00058000,2020-02-25 12:47PM EST,58.0,0.99,0.58,0.64,-0.11,-10.00%,2,0,58.4,1
10,HES200228C00058500,2020-02-26 1:32PM EST,58.5,0.49,0.39,0.46,-0.6,-55.05%,11,0,55.57,1
11,HES200228C00059000,2020-02-25 12:37PM EST,59.0,0.73,0.3,0.35,0.0,-,23,0,56.06,1
12,HES200228C00059500,2020-02-26 10:25AM EST,59.5,0.45,0.4,0.47,-0.41,-47.67%,1,-,70.02,1
13,HES200228C00060000,2020-02-24 3:06PM EST,60.0,0.37,0.13,0.19,-0.24,-39.34%,4,0,54.69,1
14,HES200228C00061000,2020-02-26 9:36AM EST,61.0,0.25,0.05,0.09,-0.04,-13.79%,1,70,53.52,1
