,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,HES200228P00050000,2020-02-25 10:53AM EST,50.0,0.04,0.01,0.16,0.0,-,6,47,82.81,1
1,HES200228P00051000,2020-02-10 2:57PM EST,51.0,0.58,0.0,0.18,0.0,-,12,27,72.66,1
2,HES200228P00051500,2020-02-10 3:00PM EST,51.5,0.67,0.05,0.14,0.0,-,5,13,67.97,1
3,HES200228P00052000,2020-02-11 3:02PM EST,52.0,0.05,0.09,0.13,0.0,-,1,0,64.45,1
4,HES200228P00052500,2020-02-20 2:58PM EST,52.5,0.04,0.12,0.15,0.0,-,1,23,61.91,1
5,HES200228P00053000,2020-02-18 10:35AM EST,53.0,0.16,0.16,0.2,0.06,+60.00%,10,0,60.74,1
6,HES200228P00053500,2020-02-13 11:58AM EST,53.5,0.23,0.21,0.26,0.0,-,6,57,59.18,1
7,HES200228P00054000,2020-02-25 2:29PM EST,54.0,0.53,0.27,0.33,0.0,-,2,85,57.32,1
8,HES200228P00055000,2020-02-26 12:11PM EST,55.0,0.41,0.5,0.55,-0.34,-45.33%,1,127,55.86,1
9,HES200228P00055500,2020-02-26 12:46PM EST,55.5,0.48,0.65,0.7,0.29,+152.63%,2,1,54.88,1
10,HES200228P00056000,2020-02-26 12:18PM EST,56.0,0.72,0.82,0.88,-0.09,-11.11%,12,0,53.61,1
11,HES200228P00056500,2020-02-26 12:18PM EST,56.5,0.91,1.04,1.1,0.18,+24.66%,11,57,52.83,1
12,HES200228P00057000,2020-02-26 9:38AM EST,57.0,1.14,1.26,1.33,0.76,+200.00%,4,0,50.59,1
13,HES200228P00057500,2020-02-26 11:17AM EST,57.5,1.0,1.53,1.61,-0.54,-35.06%,17,38,50.78,1
14,HES200228P00058000,2020-02-25 10:18AM EST,58.0,0.95,1.94,2.06,0.0,-,1,0,53.42,1
15,HES200228P00058500,2020-02-25 1:49PM EST,58.5,2.03,2.18,2.3,0.0,-,7,0,48.93,1
16,HES200228P00059000,2020-02-25 1:36PM EST,59.0,2.35,2.53,2.63,0.0,-,40,34,42.58,1
