,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,HLT200320P00070000,2020-02-18 12:03AM EST,70.0,0.05,-,0.3,0.0,-,-,7,75.49,22
1,HLT200320P00075000,2020-02-26 12:40PM EST,75.0,0.3,0.25,0.45,0.05,+20.00%,2,224,64.06,22
2,HLT200320P00080000,2020-02-26 1:13PM EST,80.0,0.5,0.50,0.75,0.1,+25.00%,1485,204,58.69,22
3,HLT200320P00085000,2020-02-26 1:23PM EST,85.0,0.85,0.85,1.15,0.0,-,169,343,51.64,22
4,HLT200320P00090000,2020-02-26 1:36PM EST,90.0,1.75,1.55,1.9,0.29,+19.86%,1278,0,47.97,22
5,HLT200320P00095000,2020-02-26 1:36PM EST,95.0,3.0,2.90,3.2,0.4,+15.38%,633,2484,42.16,22
6,HLT200320P00097500,2020-02-26 1:22PM EST,97.5,3.58,3.50,3.8,0.08,+2.29%,1134,0,35.82,22
7,HLT200320P00100000,2020-02-26 1:02PM EST,100.0,4.4,5.10,5.6,-0.35,-7.37%,380,0,39.14,22
8,HLT200320P00105000,2020-02-26 12:41PM EST,105.0,7.7,8.40,8.9,0.3,+4.05%,557,0,34.86,22
9,HLT200320P00110000,2020-02-26 12:16PM EST,110.0,12.29,12.70,13.2,1.89,+18.17%,29,0,32.08,22
10,HLT200320P00115000,2020-02-26 10:17AM EST,115.0,15.0,17.30,18.3,3.8,+33.93%,4,0,43.75,22
11,HLT200320P00120000,2020-02-25 1:49PM EST,120.0,20.0,21.30,25.0,0.0,-,1,0,84.81,22
12,HLT200320P00125000,2020-02-07 9:39AM EST,125.0,14.16,26.40,29.0,0.0,-,100,0,77.25,22
13,HLT200320P00130000,2020-02-18 12:03AM EST,130.0,19.5,31.10,34.0,0.0,-,-,1,85.45,22
0,HLT200417P00050000,2020-02-10 12:05AM EST,50.0,0.03,-,0.15,0.0,-,-,40,84.47,50
1,HLT200417P00055000,2020-02-18 12:03AM EST,55.0,0.1,0.00,0.25,0.0,-,1,21,71.48,50
2,HLT200417P00060000,2020-02-05 2:14PM EST,60.0,0.1,0.00,0.35,0.0,-,1,10,65.04,50
3,HLT200417P00065000,2020-02-25 3:37PM EST,65.0,0.23,0.20,0.55,0.0,-,9,40,63.67,50
4,HLT200417P00070000,2020-02-25 3:28PM EST,70.0,0.4,0.25,0.4,0.0,-,-,10,52.15,50
5,HLT200417P00075000,2020-01-31 3:42PM EST,75.0,0.3,0.60,0.8,0.0,-,13,14,51.32,50
6,HLT200417P00080000,2020-02-26 9:45AM EST,80.0,0.69,1.00,1.25,-0.27,-28.12%,16,509,49.15,50
7,HLT200417P00082500,2020-02-25 2:47PM EST,82.5,0.95,1.25,1.45,0.0,-,5,67,45.97,50
8,HLT200417P00085000,2020-02-26 10:33AM EST,85.0,1.06,1.50,1.65,-0.35,-24.82%,5,473,42.38,50
9,HLT200417P00087500,2020-02-26 11:47AM EST,87.5,1.4,1.80,2.05,0.16,+12.90%,4,27,40.23,50
10,HLT200417P00090000,2020-02-26 1:37PM EST,90.0,2.65,2.50,2.85,0.65,+32.50%,76,449,40.56,50
11,HLT200417P00092500,2020-02-26 1:37PM EST,92.5,3.3,3.00,3.3,0.38,+13.01%,6,81,37.01,50
12,HLT200417P00095000,2020-02-26 12:58PM EST,95.0,3.6,3.90,4.5,0.21,+6.19%,702,1195,37.92,50
13,HLT200417P00097500,2020-02-26 1:13PM EST,97.5,4.7,4.90,5.5,0.7,+17.50%,34,647,36.12,50
14,HLT200417P00100000,2020-02-26 1:35PM EST,100.0,6.1,6.10,6.7,0.7,+12.96%,140,301,34.46,50
15,HLT200417P00105000,2020-02-25 3:54PM EST,105.0,8.6,8.90,9.7,0.05,+0.58%,9,455,31.07,50
16,HLT200417P00110000,2020-02-26 11:15AM EST,110.0,11.3,13.00,13.6,0.3,+2.73%,15,314,28.59,50
17,HLT200417P00115000,2020-02-25 10:45AM EST,115.0,15.3,17.20,18.3,0.0,-,2,114,30.52,50
19,HLT200417P00125000,2020-02-25 12:33PM EST,125.0,24.6,25.20,28.6,0.0,-,20,0,47.1,50
0,HLT200619P00050000,2020-02-26 12:48PM EST,50.0,0.3,0.1,0.45,0.15,+100.00%,1,2,62.6,113
1,HLT200619P00065000,2020-02-25 3:29PM EST,65.0,0.6,0.65,1.0,0.0,-,3,12,51.0,113
2,HLT200619P00070000,2020-02-12 12:10PM EST,70.0,0.85,0.9,1.05,0.0,-,20,0,46.19,113
3,HLT200619P00080000,2020-02-26 1:15PM EST,80.0,2.0,1.95,2.4,1.5,+300.00%,50,10,42.03,113
4,HLT200619P00082500,2020-02-25 2:45PM EST,82.5,2.12,1.75,2.05,0.0,-,-,-,35.33,113
5,HLT200619P00085000,2020-02-25 3:39PM EST,85.0,2.63,2.9,3.2,0.0,-,205,209,38.38,113
6,HLT200619P00087500,2020-02-25 12:18PM EST,87.5,2.25,3.5,3.8,0.0,-,391,452,37.15,113
7,HLT200619P00090000,2020-02-26 1:15PM EST,90.0,4.0,4.1,4.6,1.0,+33.33%,60,70,36.48,113
8,HLT200619P00092500,2020-02-24 11:29AM EST,92.5,2.4,4.8,5.4,0.0,-,2,4,35.25,113
9,HLT200619P00095000,2020-02-26 1:37PM EST,95.0,5.9,5.8,6.4,0.7,+13.46%,124,245,34.44,113
10,HLT200619P00097500,2020-02-26 12:02PM EST,97.5,6.05,6.8,7.4,0.25,+4.31%,20,0,33.05,113
11,HLT200619P00100000,2020-02-26 9:54AM EST,100.0,6.75,8.0,8.6,-0.65,-8.78%,7,520,31.98,113
12,HLT200619P00105000,2020-02-26 1:35PM EST,105.0,10.9,10.9,11.6,1.8,+19.78%,7,44,30.7,113
13,HLT200619P00110000,2020-02-26 11:24AM EST,110.0,12.3,14.0,14.8,2.7,+28.12%,23,65,27.5,113
14,HLT200619P00115000,2020-02-19 3:49PM EST,115.0,14.6,18.1,18.5,0.0,-,1,35,22.78,113
15,HLT200619P00120000,2020-02-25 12:45PM EST,120.0,20.5,22.3,23.4,0.0,-,9,38,25.64,113
16,HLT200619P00130000,2020-02-24 10:39AM EST,130.0,25.5,31.3,34.5,0.0,-,1,0,43.82,113
0,HLT200717P00060000,2020-02-25 6:55PM EST,60.0,0.55,0.55,0.7,0.0,-,-,-,51.07,141
1,HLT200717P00065000,2020-02-25 6:55PM EST,65.0,0.8,0.8,1.15,0.0,-,-,-,49.81,141
2,HLT200717P00070000,2020-01-21 3:19PM EST,70.0,0.35,0.0,0.0,0.0,-,-,0,12.5,141
3,HLT200717P00075000,2020-02-26 1:37PM EST,75.0,1.75,1.65,1.9,0.29,+19.86%,544,0,41.81,141
4,HLT200717P00080000,2020-02-25 1:14PM EST,80.0,1.65,2.3,2.55,0.0,-,3,25,38.64,141
5,HLT200717P00085000,2020-02-18 12:03AM EST,85.0,2.8,3.1,3.5,1.1,+64.71%,20,6,36.01,141
6,HLT200717P00090000,2020-02-26 11:52AM EST,90.0,3.8,4.4,4.8,0.0,-,5,147,33.63,141
7,HLT200717P00092500,2020-02-21 11:58AM EST,92.5,4.54,5.3,5.8,0.0,-,2,0,33.36,141
8,HLT200717P00095000,2020-02-25 1:30PM EST,95.0,4.77,6.1,6.7,0.0,-,10,0,32.15,141
9,HLT200717P00097500,2020-02-26 9:38AM EST,97.5,6.3,7.4,7.9,0.0,-,1,0,31.71,141
10,HLT200717P00100000,2020-02-25 3:11PM EST,100.0,7.32,8.6,9.1,0.0,-,93,0,30.74,141
11,HLT200717P00105000,2020-02-26 9:49AM EST,105.0,9.8,11.0,11.9,-1.1,-10.09%,4,0,28.86,141
12,HLT200717P00110000,2020-02-24 11:24AM EST,110.0,9.2,14.2,14.8,0.0,-,13,73,24.67,141
13,HLT200717P00115000,2020-02-21 10:52AM EST,115.0,9.1,18.5,19.3,0.0,-,6,0,26.4,141
