,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,HOG200228P00028000,2020-02-25 9:40AM EST,28.0,0.02,0.0,0.05,0.01,+100.00%,1,0,76.56,1
1,HOG200228P00029000,2020-02-25 10:27AM EST,29.0,0.03,0.02,0.08,0.0,-,1,16,67.19,1
2,HOG200228P00030000,2020-02-24 10:16AM EST,30.0,0.07,0.05,0.2,0.0,-,5,0,61.33,1
3,HOG200228P00030500,2020-02-25 3:35PM EST,30.5,0.12,0.09,0.17,0.0,-,103,0,50.0,1
4,HOG200228P00031000,2020-01-29 1:15PM EST,31.0,0.17,0.15,0.26,0.0,-,3,0,51.56,1
5,HOG200228P00031500,2020-02-24 9:59AM EST,31.5,0.19,0.28,0.33,0.0,-,1,107,41.99,1
6,HOG200228P00032000,2020-02-25 10:54AM EST,32.0,0.32,0.47,0.49,0.17,+113.33%,19,63,35.16,1
7,HOG200228P00032500,2020-02-25 10:58AM EST,32.5,0.54,0.66,0.9,0.0,-,2,14,43.16,1
11,HOG200228P00034500,2020-02-21 2:15PM EST,34.5,0.86,1.99,2.95,0.0,-,6,3,97.46,1
12,HOG200228P00035000,2020-02-21 2:11PM EST,35.0,1.01,2.31,3.55,0.0,-,28,57,120.7,1
13,HOG200228P00035500,2020-02-21 10:32AM EST,35.5,0.8,2.63,3.75,0.0,-,6,23,84.38,1
14,HOG200228P00036000,2020-02-21 9:53AM EST,36.0,0.93,2.84,4.35,0.0,-,1,7,112.11,1
15,HOG200228P00036500,2020-02-07 2:55PM EST,36.5,2.17,3.9,4.8,0.0,-,1,0,111.33,1
16,HOG200228P00037500,2020-02-07 2:55PM EST,37.5,3.31,4.55,6.05,0.0,-,1,0,169.53,1
0,HOG200306P00028000,2020-01-31 11:05AM EST,28.0,0.13,0.13,0.19,0.0,-,10,0,62.7,8
1,HOG200306P00029000,2020-02-04 10:08AM EST,29.0,0.1,0.18,0.27,0.0,-,1,0,55.47,8
2,HOG200306P00029500,2020-02-24 11:06AM EST,29.5,0.08,0.24,0.33,0.0,-,37,0,53.03,8
3,HOG200306P00030000,2020-02-10 9:32AM EST,30.0,0.33,0.32,0.42,0.0,-,4,0,51.07,8
4,HOG200306P00030500,2020-02-26 11:19AM EST,30.5,0.37,0.35,0.58,0.22,+146.67%,6,0,54.69,8
5,HOG200306P00031000,2020-02-20 3:24PM EST,31.0,0.05,0.57,0.67,0.0,-,1,116,50.0,8
6,HOG200306P00031500,2020-02-06 2:01PM EST,31.5,0.43,0.75,0.91,0.0,-,1,14,51.27,8
7,HOG200306P00032000,2020-02-10 10:03AM EST,32.0,0.74,0.96,1.06,0.06,+8.82%,1,49,46.39,8
8,HOG200306P00032500,2020-02-25 3:29PM EST,32.5,0.98,1.08,1.6,0.0,-,11,14,58.5,8
9,HOG200306P00033000,2020-02-25 1:16PM EST,33.0,1.0,1.33,1.79,0.0,-,5,67,52.15,8
10,HOG200306P00033500,2020-02-07 3:56PM EST,33.5,0.97,1.56,2.08,0.0,-,2,14,48.54,8
11,HOG200306P00034000,2020-02-21 12:43PM EST,34.0,1.58,2.16,2.55,0.0,-,1,6,53.61,8
12,HOG200306P00034500,2020-02-18 2:53PM EST,34.5,0.8,2.54,2.81,0.0,-,2,7,42.77,8
13,HOG200306P00035000,2020-02-20 1:37PM EST,35.0,0.61,2.85,3.65,0.0,-,5,72,72.46,8
14,HOG200306P00035500,2020-02-13 3:55PM EST,35.5,1.55,2.87,4.0,0.0,-,-,32,68.36,8
15,HOG200306P00036000,2020-02-20 1:37PM EST,36.0,1.06,4.0,4.65,0.0,-,5,115,58.98,8
16,HOG200306P00037000,2020-02-18 12:30PM EST,37.0,2.62,4.95,5.8,0.0,-,1,2,73.24,8
17,HOG200306P00037500,2020-02-13 3:24PM EST,37.5,3.17,5.3,6.05,0.0,-,-,3,92.87,8
18,HOG200306P00040000,2020-02-20 3:31PM EST,40.0,4.45,6.4,9.85,0.0,-,-,4,199.12,8
0,HOG200313P00028000,2020-02-07 3:50PM EST,28.0,0.13,0.16,0.26,0.0,-,48,48,51.95,15
1,HOG200313P00030000,2020-02-25 3:53PM EST,30.0,0.28,0.43,0.52,0.0,-,301,216,46.09,15
2,HOG200313P00030500,2020-02-25 1:59PM EST,30.5,0.48,0.57,0.68,0.0,-,127,127,46.09,15
3,HOG200313P00031000,2020-02-25 1:59PM EST,31.0,0.58,0.75,0.84,0.0,-,80,80,44.92,15
4,HOG200313P00031500,2020-02-04 10:51AM EST,31.5,0.39,0.85,0.97,0.0,-,5,20,41.5,15
5,HOG200313P00032000,2020-02-18 11:27AM EST,32.0,0.39,1.2,1.32,0.0,-,7,31,45.07,15
6,HOG200313P00032500,2020-02-26 12:25PM EST,32.5,1.28,1.29,1.48,0.13,+11.30%,20,0,40.43,15
7,HOG200313P00033000,2020-02-24 1:39PM EST,33.0,0.97,1.56,1.94,0.0,-,3,0,45.8,15
8,HOG200313P00033500,2020-02-25 10:13AM EST,33.5,1.23,2.11,2.22,0.0,-,123,3,43.16,15
