,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,HOLX200320C00037000,2020-02-04 2:37PM EST,37.0,17.3,11.8,12.2,0.0,-,2,0,64.06,22
1,HOLX200320C00040000,2020-01-29 9:50AM EST,40.0,14.8,8.9,9.4,0.0,-,2,1,58.5,22
2,HOLX200320C00041000,2019-10-01 10:24AM EST,41.0,9.87,8.0,8.4,0.0,-,-,1,55.37,22
3,HOLX200320C00043000,2019-11-26 10:37AM EST,43.0,8.78,8.9,10.5,0.0,-,1,2,135.74,22
4,HOLX200320C00044000,2019-10-01 1:30PM EST,44.0,6.57,5.6,6.6,0.0,-,-,4,64.75,22
5,HOLX200320C00045000,2020-02-06 12:29PM EST,45.0,9.51,3.9,4.3,0.0,-,2,131,35.69,22
6,HOLX200320C00046000,2020-02-25 3:21PM EST,46.0,4.0,3.1,3.5,0.0,-,5,3,34.86,22
7,HOLX200320C00047000,2019-11-07 10:58AM EST,47.0,2.0,6.1,7.3,0.0,-,10,0,117.04,22
8,HOLX200320C00048000,2020-01-24 10:49AM EST,48.0,6.3,4.7,5.0,0.0,-,2,0,89.01,22
9,HOLX200320C00049000,2020-02-05 3:00PM EST,49.0,1.8,1.2,1.4,0.0,-,13,332,29.25,22
10,HOLX200320C00050000,2020-02-26 11:56AM EST,50.0,0.95,0.75,0.9,-0.25,-20.83%,8,301,27.54,22
11,HOLX200320C00055000,2020-02-26 12:10PM EST,55.0,0.09,0.05,0.15,-0.06,-40.00%,95,2000,32.42,22
12,HOLX200320C00060000,2020-02-26 10:57AM EST,60.0,0.04,0.0,0.05,-0.01,-20.00%,1,6544,40.43,22
13,HOLX200320C00065000,2020-02-24 9:45AM EST,65.0,0.05,0.0,0.1,0.0,-,1,40,53.13,22
14,HOLX200320C00070000,2020-01-28 10:36AM EST,70.0,0.05,0.0,0.05,0.0,-,-,3,58.59,22
0,HOLX200619C00037000,2020-02-04 2:37PM EST,37.0,17.53,11.9,12.8,0.0,-,-,2,48.68,113
1,HOLX200619C00041000,2020-02-12 11:08AM EST,41.0,12.3,8.4,8.8,0.0,-,-,1,35.57,113
2,HOLX200619C00043000,2020-02-25 3:21PM EST,43.0,7.5,6.7,7.0,0.0,-,5,59,31.74,113
3,HOLX200619C00044000,2020-02-25 3:21PM EST,44.0,6.7,6.4,6.7,0.0,-,-,10,36.4,113
4,HOLX200619C00045000,2020-01-17 3:46PM EST,45.0,10.2,8.1,8.4,0.0,-,2,37,58.52,113
5,HOLX200619C00046000,2020-02-25 3:13PM EST,46.0,5.2,4.5,4.7,0.0,-,5,2,28.77,113
6,HOLX200619C00047000,2019-12-17 3:54PM EST,47.0,7.68,8.1,8.4,0.0,-,10,0,68.21,113
7,HOLX200619C00048000,2020-01-14 11:15AM EST,48.0,6.98,6.0,6.3,0.0,-,9,0,52.78,113
8,HOLX200619C00049000,2020-02-21 3:00PM EST,49.0,5.1,2.6,2.85,0.0,-,1,8,26.61,113
9,HOLX200619C00050000,2020-02-25 10:57AM EST,50.0,3.2,2.2,2.35,0.0,-,3,50,26.03,113
10,HOLX200619C00055000,2020-02-21 9:30AM EST,55.0,1.15,0.7,0.85,0.0,-,10,632,25.49,113
11,HOLX200619C00060000,2020-02-21 12:59PM EST,60.0,0.38,0.15,0.25,0.0,-,2,209,25.2,113
12,HOLX200619C00065000,2020-01-28 11:48AM EST,65.0,0.15,0.0,0.25,0.0,-,1,0,32.23,113
13,HOLX200619C00070000,2020-02-19 12:37PM EST,70.0,0.14,0.0,0.15,0.0,-,1,27,34.96,113
14,HOLX200619C00075000,2020-01-13 9:33AM EST,75.0,0.1,0.0,0.15,0.0,-,3,16,40.14,113
0,HOLX200918C00040000,2020-01-29 3:30PM EST,40.0,10.6,9.9,10.4,0.0,-,5,15,35.43,204
1,HOLX200918C00045000,2020-02-13 10:19AM EST,45.0,8.9,6.1,6.4,0.0,-,49,11,29.81,204
2,HOLX200918C00050000,2020-02-24 11:38AM EST,50.0,4.6,3.1,3.3,0.0,-,6,0,25.94,204
3,HOLX200918C00055000,2020-02-24 10:54AM EST,55.0,2.15,1.25,1.45,0.0,-,89,0,24.1,204
4,HOLX200918C00060000,2020-02-12 11:41AM EST,60.0,1.2,0.4,0.55,0.0,-,1,85,23.15,204
5,HOLX200918C00065000,2020-02-20 11:03AM EST,65.0,0.4,0.1,0.25,0.0,-,10,83,24.07,204
6,HOLX200918C00070000,2020-01-29 10:03AM EST,70.0,0.3,0.0,0.3,0.0,-,-,2,29.81,204
