,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,HPE200228P00012000,2020-02-25 10:10AM EST,12.0,0.02,-,0.17,0.0,-,-,-,122.66,1
1,HPE200228P00012500,2020-02-25 1:32PM EST,12.5,0.05,0.03,0.09,0.0,-,15,54,55.47,1
2,HPE200228P00013000,2020-02-26 10:51AM EST,13.0,0.07,0.15,0.19,-0.08,-53.33%,75,0,50.0,1
3,HPE200228P00013500,2020-02-26 9:47AM EST,13.5,0.25,0.41,0.46,-0.12,-32.43%,27,2618,41.41,1
4,HPE200228P00014000,2020-02-25 2:49PM EST,14.0,0.53,0.87,0.95,-0.15,-22.06%,10,854,64.06,1
5,HPE200228P00014500,2020-02-25 3:57PM EST,14.5,1.15,1.37,1.45,0.0,-,2401,0,60.94,1
6,HPE200228P00015000,2020-02-24 1:39PM EST,15.0,1.35,1.75,2.07,0.0,-,26,146,78.13,1
7,HPE200228P00015500,2020-02-07 2:54PM EST,15.5,0.98,2.21,2.77,0.0,-,1,0,145.31,1
10,HPE200228P00023500,2020-02-18 12:04AM EST,23.5,8.87,9.95,12.6,0.0,-,-,-,656.25,1
0,HPE200306P00011500,2020-02-26 11:51AM EST,11.5,0.07,0.09,0.14,-0.01,-12.50%,13,10,75.0,8
1,HPE200306P00012000,2020-02-26 11:02AM EST,12.0,0.22,0.16,0.18,0.05,+29.41%,47,0,67.19,8
2,HPE200306P00012500,2020-02-25 10:14AM EST,12.5,0.26,0.27,0.31,0.0,-,13,20,63.67,8
3,HPE200306P00013000,2020-02-26 1:00PM EST,13.0,0.38,0.44,0.44,-0.04,-9.52%,215,225,56.64,8
4,HPE200306P00013500,2020-02-26 11:15AM EST,13.5,0.57,0.64,0.76,-0.1,-14.93%,3,255,53.91,8
5,HPE200306P00014000,2020-02-24 12:53PM EST,14.0,0.66,0.95,1.11,0.0,-,228,394,61.13,8
6,HPE200306P00014500,2020-02-24 2:22PM EST,14.5,1.03,1.34,1.53,0.0,-,12,0,63.67,8
7,HPE200306P00015000,2020-02-25 3:16PM EST,15.0,1.7,1.67,1.91,0.0,-,2,25,42.19,8
8,HPE200306P00015500,2020-02-14 10:55AM EST,15.5,1.16,2.12,2.55,0.0,-,2,4,92.58,8
0,HPE200313P00011500,2020-02-25 2:32PM EST,11.5,0.14,0.07,0.12,0.0,-,-,-,53.91,15
1,HPE200313P00012000,2020-02-18 9:30AM EST,12.0,0.13,0.21,0.22,0.0,-,-,1,57.03,15
2,HPE200313P00013000,2020-02-24 11:36AM EST,13.0,0.42,0.54,0.61,0.0,-,1,0,55.47,15
3,HPE200313P00013500,2020-02-26 10:24AM EST,13.5,0.64,0.78,0.89,-0.13,-16.88%,10,0,53.71,15
4,HPE200313P00014000,2020-02-24 3:47PM EST,14.0,0.74,1.08,1.24,0.0,-,51,0,52.15,15
5,HPE200313P00014500,2020-02-25 3:30PM EST,14.5,1.5,1.46,1.65,0.0,-,1,0,52.15,15
6,HPE200313P00015000,2020-02-18 10:41AM EST,15.0,1.07,1.93,2.29,0.0,-,1,0,69.53,15
7,HPE200313P00015500,2020-02-21 2:30PM EST,15.5,1.56,2.25,2.47,0.0,-,5,7,57.03,15
8,HPE200313P00016000,2020-02-19 2:02PM EST,16.0,1.71,2.73,3.2,0.0,-,-,0,63.67,15
0,HPE200320P00011000,2020-02-11 11:14AM EST,11.0,0.05,0.07,0.1,0.0,-,10,21,54.69,22
1,HPE200320P00011500,2020-02-24 3:54PM EST,11.5,0.09,0.13,0.21,0.0,-,-,2,55.47,22
2,HPE200320P00012000,2020-02-26 11:53AM EST,12.0,0.2,0.2,0.26,-0.02,-9.09%,1,0,52.34,22
3,HPE200320P00013000,2020-02-26 11:37AM EST,13.0,0.48,0.59,0.63,-0.07,-12.73%,11,0,50.88,22
4,HPE200320P00013500,2020-02-26 12:27PM EST,13.5,0.78,0.87,0.92,-0.02,-2.50%,24,110,51.56,22
5,HPE200320P00014000,2020-02-25 3:40PM EST,14.0,1.16,1.21,1.27,0.0,-,308,0,50.59,22
6,HPE200320P00014500,2020-02-26 1:09PM EST,14.5,1.53,1.48,1.64,0.22,+16.79%,2,0,52.34,22
7,HPE200320P00015000,2020-02-25 3:08PM EST,15.0,1.82,2.01,2.07,0.0,-,46,1359,50.78,22
8,HPE200320P00016000,2020-02-20 1:24PM EST,16.0,1.72,2.78,3.15,0.0,-,11,58,53.91,22
0,HPE200327P00011000,2020-02-25 2:58PM EST,11.0,0.11,0.07,0.11,0.0,-,-,-,51.76,29
1,HPE200327P00012000,2020-02-19 5:21PM EST,12.0,0.15,0.24,0.3,0.0,-,-,1,49.41,29
2,HPE200327P00013000,2020-02-25 11:28AM EST,13.0,0.52,0.64,0.7,0.0,-,19,0,49.41,29
3,HPE200327P00013500,2020-02-25 12:44PM EST,13.5,0.75,0.65,0.75,0.0,-,-,-,33.99,29
4,HPE200327P00014000,2020-02-20 1:12PM EST,14.0,0.45,1.15,1.35,0.0,-,150,0,52.34,29
5,HPE200327P00014500,2020-02-19 10:19AM EST,14.5,0.68,1.55,1.74,0.0,-,-,0,54.1,29
6,HPE200327P00015000,2020-02-12 9:30AM EST,15.0,0.5,1.92,2.07,0.0,-,-,0,47.66,29
0,HPE200403P00012000,2020-02-25 2:03PM EST,12.0,0.26,0.28,0.36,0.0,-,2,0,49.22,36
1,HPE200403P00013000,2020-02-25 1:15PM EST,13.0,0.58,0.63,0.72,0.0,-,3,0,46.09,36
2,HPE200403P00013500,2020-02-20 11:19AM EST,13.5,0.27,0.86,0.99,0.0,-,10,13,45.51,36
3,HPE200403P00014000,2020-02-24 10:14AM EST,14.0,0.8,0.96,1.07,0.0,-,-,-,28.91,36
4,HPE200403P00014500,2020-02-24 11:02AM EST,14.5,1.1,1.54,1.72,0.0,-,2,10,47.95,36
5,HPE200403P00015000,2020-02-18 12:04AM EST,15.0,0.85,1.97,2.12,0.0,-,-,1,48.05,36
6,HPE200403P00015500,2020-02-18 12:52PM EST,15.5,1.49,2.22,2.86,0.0,-,-,2,73.05,36
0,HPE200417P00013000,2020-02-26 11:49AM EST,13.0,0.65,0.75,0.82,-0.04,-5.80%,35,0,44.53,50
