,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,HPQ200228P00015000,2020-02-24 12:25PM EST,15.0,0.01,0.00,0.02,0.0,-,-,0,196.88,1
1,HPQ200228P00015500,2020-02-24 12:34PM EST,15.5,0.02,0.00,0.02,0.0,-,-,0,181.25,1
2,HPQ200228P00016000,2020-02-24 12:06PM EST,16.0,0.01,-,0.02,0.0,-,-,-,187.5,1
3,HPQ200228P00017000,2020-02-24 3:03PM EST,17.0,0.03,0.00,0.04,0.0,-,-,79,159.38,1
4,HPQ200228P00017500,2020-02-24 3:38PM EST,17.5,0.06,0.00,0.01,0.0,-,-,100,118.75,1
5,HPQ200228P00018000,2020-02-24 3:30PM EST,18.0,0.09,-,0.07,0.0,-,-,-,164.84,1
6,HPQ200228P00018500,2020-02-24 3:57PM EST,18.5,0.07,-,0.19,0.0,-,-,-,191.41,1
7,HPQ200228P00019000,2020-02-25 3:59PM EST,19.0,0.01,0.00,0.03,0.0,-,6,0,100.0,1
8,HPQ200228P00019500,2020-02-24 3:43PM EST,19.5,0.1,0.00,0.19,0.0,-,1,0,128.13,1
9,HPQ200228P00020000,2020-02-25 12:37PM EST,20.0,0.01,0.01,0.03,0.0,-,29,1423,80.47,1
10,HPQ200228P00020500,2020-02-26 12:55PM EST,20.5,0.02,0.02,0.19,0.0,-,6,0,99.22,1
11,HPQ200228P00021000,2020-02-26 1:34PM EST,21.0,0.02,0.01,0.04,-0.01,-33.33%,22,0,57.81,1
12,HPQ200228P00021500,2020-02-26 1:00PM EST,21.5,0.02,0.02,0.07,-0.03,-60.00%,30,0,51.56,1
13,HPQ200228P00022000,2020-02-26 9:40AM EST,22.0,0.05,0.02,0.15,-0.03,-37.50%,39,0,57.03,1
14,HPQ200228P00022500,2020-02-26 12:08PM EST,22.5,0.14,0.10,0.18,-0.06,-30.00%,20,0,40.82,1
15,HPQ200228P00023000,2020-02-26 12:34PM EST,23.0,0.17,0.25,0.45,-0.13,-43.33%,114,169,46.29,1
16,HPQ200228P00023500,2020-02-26 12:24PM EST,23.5,0.5,0.53,0.85,-0.15,-23.08%,79,52,56.45,1
18,HPQ200228P00024500,2020-02-25 1:00PM EST,24.5,1.14,1.37,1.66,0.0,-,32,41,51.56,1
20,HPQ200228P00028000,2020-02-24 12:02PM EST,28.0,5.9,4.80,5.4,0.0,-,-,0,193.75,1
0,HPQ200306P00018500,2020-02-26 9:48AM EST,18.5,0.04,0.0,0.06,0.01,+33.33%,3,0,69.53,8
1,HPQ200306P00019000,2020-02-25 9:37AM EST,19.0,0.03,0.0,0.1,0.0,-,11,13,68.36,8
2,HPQ200306P00019500,2020-02-26 9:32AM EST,19.5,0.01,0.0,0.1,-0.14,-93.33%,1,11,60.55,8
3,HPQ200306P00020000,2020-02-25 2:34PM EST,20.0,0.05,0.0,0.19,0.0,-,10,0,61.33,8
4,HPQ200306P00020500,2020-02-24 2:50PM EST,20.5,0.26,0.0,0.05,0.0,-,91,107,44.92,8
5,HPQ200306P00021000,2020-02-25 3:37PM EST,21.0,0.1,0.0,0.06,0.0,-,7,18,38.67,8
6,HPQ200306P00021500,2020-02-25 3:17PM EST,21.5,0.16,0.0,0.14,0.0,-,22,0,40.23,8
7,HPQ200306P00022000,2020-02-25 3:59PM EST,22.0,0.12,0.0,0.29,-0.07,-36.84%,1,0,42.77,8
8,HPQ200306P00022500,2020-02-26 12:06PM EST,22.5,0.2,0.13,0.48,-0.07,-25.93%,13,0,43.36,8
9,HPQ200306P00023000,2020-02-26 1:10PM EST,23.0,0.43,0.45,0.55,-0.06,-12.24%,78,20,32.03,8
10,HPQ200306P00023500,2020-02-26 11:59AM EST,23.5,0.6,0.69,0.96,-0.1,-14.29%,2,0,38.97,8
11,HPQ200306P00024000,2020-02-26 10:23AM EST,24.0,0.86,1.04,1.35,-0.23,-21.10%,1,0,41.02,8
0,HPQ200313P00018500,2020-02-24 9:46AM EST,18.5,0.1,-,0.09,0.0,-,-,-,66.41,15
