,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,HP200320P00020000,2020-02-13 1:25PM EST,20.0,0.03,0.0,0.05,0.0,-,1,0,110.94,22
1,HP200320P00022500,2020-01-15 3:28PM EST,22.5,0.02,0.0,0.05,0.0,-,1,21,92.19,22
2,HP200320P00025000,2020-02-06 10:52AM EST,25.0,0.02,0.0,0.1,0.0,-,7,0,83.98,22
3,HP200320P00027500,2020-02-12 10:13AM EST,27.5,0.03,0.0,0.2,0.0,-,1,12,76.56,22
4,HP200320P00030000,2020-02-25 1:27PM EST,30.0,0.09,0.0,0.3,0.0,-,2,168,65.23,22
5,HP200320P00032500,2020-02-24 2:04PM EST,32.5,0.23,0.15,0.3,0.0,-,1,495,53.81,22
6,HP200320P00035000,2020-02-25 1:27PM EST,35.0,0.5,0.5,0.6,0.03,+6.38%,103,192,51.76,22
7,HP200320P00037500,2020-02-26 12:14PM EST,37.5,1.1,1.15,1.25,-0.12,-9.84%,112,603,47.41,22
8,HP200320P00040000,2020-02-26 12:37PM EST,40.0,2.05,2.15,2.4,-0.12,-5.53%,15,656,43.95,22
9,HP200320P00042500,2020-02-26 11:11AM EST,42.5,3.69,3.8,4.1,-0.11,-2.89%,10,288,40.72,22
10,HP200320P00045000,2020-02-26 11:14AM EST,45.0,5.66,5.7,6.2,0.4,+7.60%,5,277,33.01,22
12,HP200320P00050000,2020-02-24 2:56PM EST,50.0,9.5,10.1,11.7,0.0,-,4,36,83.84,22
0,HP200417P00032500,2020-02-26 1:09PM EST,32.5,0.55,0.5,0.6,0.08,+17.02%,1,0,49.51,50
1,HP200417P00035000,2020-02-25 1:14PM EST,35.0,1.1,0.75,0.95,0.0,-,-,-,43.31,50
2,HP200417P00037500,2020-02-25 3:01PM EST,37.5,1.7,1.35,1.65,0.0,-,-,-,39.45,50
3,HP200417P00040000,2020-02-26 12:21PM EST,40.0,2.74,2.7,3.0,-0.01,-0.36%,21,0,40.23,50
4,HP200417P00042500,2020-02-24 3:36PM EST,42.5,2.7,4.3,4.5,0.0,-,-,0,36.33,50
5,HP200417P00050000,2020-02-25 3:01PM EST,50.0,10.2,10.1,11.5,0.0,-,10,10,50.39,50
0,HP200619P00020000,2020-02-18 9:30AM EST,20.0,0.05,0.0,0.35,0.0,-,-,1,68.07,113
1,HP200619P00022500,2020-02-19 9:58AM EST,22.5,0.1,0.0,0.45,0.0,-,1,24,60.45,113
2,HP200619P00025000,2020-02-12 9:30AM EST,25.0,0.15,0.25,0.4,0.0,-,1,0,54.88,113
3,HP200619P00027500,2020-02-25 1:38PM EST,27.5,0.45,0.5,0.6,0.0,-,1,22,52.05,113
4,HP200619P00030000,2020-02-24 3:18PM EST,30.0,0.9,0.8,1.05,0.0,-,1,28,50.15,113
5,HP200619P00032500,2020-02-12 10:15AM EST,32.5,0.5,1.25,1.45,0.0,-,1,147,48.05,113
6,HP200619P00035000,2020-02-25 3:23PM EST,35.0,2.0,1.95,2.2,0.0,-,6,0,46.41,113
