,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,HRL200228P00040000,2020-02-07 12:56PM EST,40.0,0.02,0.00,0.3,0.0,-,70,0,87.7,1
1,HRL200228P00042000,2020-02-21 9:51AM EST,42.0,0.28,0.00,0.4,0.0,-,4,12,60.94,1
2,HRL200228P00043000,2020-02-24 10:15AM EST,43.0,0.14,0.00,0.1,0.0,-,2,0,33.2,1
3,HRL200228P00043500,2020-02-24 10:19AM EST,43.5,0.25,-,0.1,0.0,-,-,-,24.81,1
4,HRL200228P00044000,2020-02-26 1:19PM EST,44.0,0.2,0.15,0.2,0.1,+100.00%,2,0,22.46,1
5,HRL200228P00044500,2020-02-26 12:15PM EST,44.5,0.25,0.30,0.45,0.0,-,1,0,24.02,1
6,HRL200228P00045000,2020-02-25 3:56PM EST,45.0,0.3,0.55,0.75,-0.27,-47.37%,1,0,22.07,1
7,HRL200228P00045500,2020-02-26 1:08PM EST,45.5,0.95,0.80,1.2,0.29,+43.94%,8,15,26.17,1
8,HRL200228P00046000,2020-02-24 10:32AM EST,46.0,1.85,1.45,1.9,0.0,-,2,90,52.54,1
10,HRL200228P00047000,2020-02-21 11:01AM EST,47.0,1.97,2.40,2.65,0.0,-,5,0,37.5,1
11,HRL200228P00048000,2020-02-24 10:12AM EST,48.0,3.8,3.50,3.7,0.0,-,4,0,59.38,1
12,HRL200228P00048500,2020-02-20 1:38PM EST,48.5,3.0,3.80,4.2,0.0,-,-,2,65.23,1
13,HRL200228P00049000,2020-02-20 10:26AM EST,49.0,2.88,4.30,4.7,0.0,-,1,7,71.09,1
14,HRL200228P00050000,2020-02-21 9:55AM EST,50.0,5.03,5.00,5.9,0.0,-,1,0,111.72,1
0,HRL200306P00043000,2020-02-25 3:57PM EST,43.0,0.17,0.15,0.25,0.0,-,1,14,25.88,8
1,HRL200306P00044000,2020-02-25 3:57PM EST,44.0,0.42,0.4,0.55,0.0,-,1,85,24.81,8
2,HRL200306P00045000,2020-02-24 9:30AM EST,45.0,1.06,0.9,1.05,0.0,-,12,120,23.63,8
3,HRL200306P00046000,2020-02-26 1:39PM EST,46.0,1.6,1.6,1.75,0.25,+18.52%,12,0,21.39,8
4,HRL200306P00047000,2020-02-21 3:44PM EST,47.0,2.1,2.45,2.7,0.0,-,9,22,25.78,8
5,HRL200306P00048000,2020-02-20 10:49AM EST,48.0,2.35,3.4,3.7,0.0,-,9,3,32.42,8
0,HRL200313P00041000,2020-02-25 2:28PM EST,41.0,0.05,0.0,0.1,0.0,-,1,0,27.05,15
1,HRL200313P00043000,2020-02-20 10:50AM EST,43.0,0.2,0.15,0.35,0.0,-,1,3,23.19,15
2,HRL200313P00044000,2020-02-20 12:09PM EST,44.0,0.37,0.5,0.6,-0.03,-7.50%,3,167,20.36,15
3,HRL200313P00045000,2020-02-26 10:08AM EST,45.0,0.73,0.95,1.1,0.13,+21.67%,11,217,19.48,15
4,HRL200313P00046000,2020-02-14 3:03PM EST,46.0,0.45,1.6,1.85,0.0,-,33,0,20.31,15
5,HRL200313P00047000,2020-02-20 9:48AM EST,47.0,1.3,2.55,2.8,0.0,-,36,0,24.9,15
0,HRL200320P00030000,2020-02-12 1:29PM EST,30.0,0.02,0.0,0.05,0.0,-,5,0,67.19,22
1,HRL200320P00032500,2019-11-05 12:53PM EST,32.5,0.2,0.0,0.1,0.0,-,2,27,60.55,22
2,HRL200320P00035000,2019-11-29 9:58AM EST,35.0,0.11,0.0,0.15,0.0,-,10,0,51.56,22
3,HRL200320P00037500,2020-02-25 2:41PM EST,37.5,0.05,0.0,0.05,0.0,-,1,0,35.94,22
4,HRL200320P00040000,2020-02-20 10:28AM EST,40.0,0.05,0.0,0.1,0.0,-,4,0,27.93,22
5,HRL200320P00041000,2020-02-25 9:30AM EST,41.0,0.05,0.05,0.15,0.0,-,3,6,25.29,22
6,HRL200320P00042000,2020-02-25 9:30AM EST,42.0,0.15,0.2,0.3,0.0,-,1,0,25.0,22
7,HRL200320P00042500,2020-02-25 3:34PM EST,42.5,0.25,0.25,0.35,0.0,-,3,618,23.05,22
8,HRL200320P00044000,2020-02-26 9:42AM EST,44.0,0.4,0.65,0.8,-0.25,-38.46%,1,0,21.53,22
9,HRL200320P00045000,2020-02-26 12:55PM EST,45.0,1.05,1.15,1.3,0.0,-,9,0,20.85,22
10,HRL200320P00046000,2020-02-24 10:15AM EST,46.0,1.32,1.7,1.9,-0.22,-14.29%,3,0,18.36,22
12,HRL200320P00049000,2020-02-20 1:09PM EST,49.0,3.5,4.5,4.7,0.0,-,3,40,24.41,22
0,HRL200327P00042000,2020-02-24 12:45PM EST,42.0,0.25,0.2,0.3,0.0,-,4,0,21.97,29
1,HRL200327P00043000,2020-02-21 2:47PM EST,43.0,0.37,0.4,0.5,0.0,-,2,19,20.61,29
2,HRL200327P00044000,2020-02-26 10:21AM EST,44.0,0.55,0.7,0.85,-0.1,-15.38%,24,218,19.95,29
3,HRL200327P00045000,2020-02-26 12:53PM EST,45.0,1.15,1.25,1.35,0.8,+228.57%,14,0,19.34,29
4,HRL200327P00046000,2020-02-25 1:05PM EST,46.0,1.59,1.8,1.95,0.0,-,1,0,17.38,29
5,HRL200327P00047000,2020-02-18 10:03AM EST,47.0,2.1,2.6,2.85,0.0,-,1,4,19.83,29
6,HRL200327P00048000,2020-02-20 9:41AM EST,48.0,1.97,3.3,3.8,0.0,-,1,24,22.51,29
7,HRL200327P00049000,2020-02-19 3:40PM EST,49.0,1.64,4.5,4.7,0.0,-,-,23,21.49,29
9,HRL200327P00051000,2020-02-19 9:58AM EST,51.0,2.96,6.5,6.7,0.0,-,-,1,28.03,29
10,HRL200327P00052000,2020-02-20 9:55AM EST,52.0,6.0,7.5,7.7,0.0,-,1,0,31.06,29
0,HRL200403P00042000,2020-02-21 1:21PM EST,42.0,0.2,0.25,0.4,0.0,-,10,10,22.36,36
1,HRL200403P00043000,2020-02-25 2:56PM EST,43.0,0.45,0.5,0.65,0.0,-,7,18,21.58,36
2,HRL200403P00045000,2020-02-21 3:40PM EST,45.0,1.1,1.25,1.45,0.0,-,1,0,19.24,36
3,HRL200403P00046000,2020-02-20 1:44PM EST,46.0,1.25,1.9,2.05,0.0,-,-,0,17.87,36
4,HRL200403P00047000,2020-02-21 12:41PM EST,47.0,2.22,2.55,2.85,0.0,-,3,0,17.87,36
5,HRL200403P00048000,2020-02-19 3:48PM EST,48.0,1.2,3.3,3.8,0.0,-,-,0,20.31,36
7,HRL200403P00050000,2020-02-19 9:58AM EST,50.0,2.35,5.5,5.7,0.0,-,-,0,22.46,36
0,HRL200417P00042000,2020-02-24 10:11AM EST,42.0,0.5,0.3,0.4,0.0,-,-,-,19.09,50
1,HRL200417P00043000,2020-02-24 3:32PM EST,43.0,0.68,0.45,0.6,0.0,-,-,-,17.63,50
2,HRL200417P00044000,2020-02-25 12:46PM EST,44.0,0.95,0.75,0.9,0.0,-,-,-,16.16,50
3,HRL200417P00045000,2020-02-24 3:53PM EST,45.0,1.55,1.55,1.75,0.0,-,-,0,21.0,50
4,HRL200417P00046000,2020-02-24 12:12PM EST,46.0,2.0,2.2,2.4,0.0,-,2,0,21.19,50
0,HRL200619P00030000,2020-02-25 12:32PM EST,30.0,0.03,0.0,0.05,0.0,-,2,0,33.79,113
1,HRL200619P00032500,2020-01-29 2:37PM EST,32.5,0.05,0.0,0.1,0.0,-,14,0,31.25,113
2,HRL200619P00035000,2020-02-25 12:32PM EST,35.0,0.13,0.05,0.15,0.0,-,2,47,26.95,113
3,HRL200619P00037500,2020-02-07 3:24PM EST,37.5,0.2,0.2,0.35,0.0,-,10,0,25.64,113
4,HRL200619P00040000,2020-02-21 1:12PM EST,40.0,0.5,0.5,0.75,0.0,-,10,0,24.46,113
5,HRL200619P00041000,2020-02-20 12:45PM EST,41.0,0.65,0.7,0.9,0.0,-,2,4,22.88,113
6,HRL200619P00042500,2020-02-25 3:37PM EST,42.5,1.3,1.15,1.35,0.0,-,16,0,22.19,113
7,HRL200619P00044000,2020-02-25 3:56PM EST,44.0,1.77,1.7,2.0,0.0,-,2,2,22.05,113
8,HRL200619P00045000,2020-02-24 9:53AM EST,45.0,2.12,2.2,2.45,0.16,+8.16%,4,2206,21.22,113
9,HRL200619P00046000,2020-02-20 2:01PM EST,46.0,2.35,2.8,3.1,0.0,-,2,13,21.66,113
10,HRL200619P00047500,2020-02-26 11:25AM EST,47.5,3.4,3.7,4.1,-0.3,-8.11%,10,0,21.31,113
11,HRL200619P00049000,2020-02-20 9:33AM EST,49.0,3.0,4.8,5.2,0.0,-,-,0,20.44,113
0,HRL200918P00038000,2020-02-24 10:41AM EST,38.0,0.7,0.6,0.75,0.0,-,-,0,23.41,204
1,HRL200918P00040000,2020-01-31 3:11PM EST,40.0,0.85,1.05,1.25,0.0,-,114,0,23.22,204
2,HRL200918P00041000,2020-02-21 3:46PM EST,41.0,1.22,1.25,1.45,0.0,-,2,22,22.07,204
3,HRL200918P00042000,2020-02-20 12:48PM EST,42.0,1.5,1.55,1.85,0.0,-,5,6,22.27,204
4,HRL200918P00043000,2020-01-24 11:35AM EST,43.0,1.6,1.8,2.0,0.0,-,-,0,20.07,204
5,HRL200918P00045000,2020-02-21 9:39AM EST,45.0,2.65,2.9,3.2,0.0,-,1,5,21.46,204
6,HRL200918P00046000,2020-02-21 11:54AM EST,46.0,3.2,3.5,3.7,0.0,-,7,6,20.74,204
7,HRL200918P00048000,2020-02-21 10:23AM EST,48.0,4.33,4.6,4.9,0.0,-,1,1,19.54,204
8,HRL200918P00052500,2020-01-31 3:58PM EST,52.5,6.5,8.3,8.6,0.0,-,1,1,19.83,204
0,HRL210115P00022500,2019-06-07 10:23AM EST,22.5,0.4,0.1,0.55,0.0,-,2,1,51.37,323
1,HRL210115P00025000,2020-01-24 1:45PM EST,25.0,0.08,0.0,0.15,0.0,-,10,0,33.79,323
2,HRL210115P00027500,2020-02-14 1:20PM EST,27.5,0.1,0.05,0.2,0.0,-,1,28,30.47,323
3,HRL210115P00030000,2020-02-25 11:08AM EST,30.0,0.27,0.15,0.35,-0.01,-3.57%,2,0,29.2,323
4,HRL210115P00032500,2020-02-19 12:34PM EST,32.5,0.2,0.35,0.55,0.0,-,32,0,27.49,323
5,HRL210115P00035000,2020-02-26 1:37PM EST,35.0,0.75,0.6,0.75,0.05,+7.14%,20,345,24.85,323
6,HRL210115P00037500,2020-02-20 11:14AM EST,37.5,1.05,1.1,1.3,0.0,-,2,0,24.66,323
7,HRL210115P00040000,2020-02-24 12:55PM EST,40.0,1.85,1.75,2.0,0.0,-,2,0,23.94,323
8,HRL210115P00042500,2020-02-24 9:48AM EST,42.5,2.7,2.65,2.9,0.0,-,1,179,23.04,323
9,HRL210115P00045000,2020-02-25 11:02AM EST,45.0,3.68,3.8,4.1,0.0,-,1,116,22.47,323
10,HRL210115P00047500,2020-02-20 11:22AM EST,47.5,4.62,5.3,5.5,0.0,-,5,31,21.58,323
11,HRL210115P00060000,2019-06-07 10:09AM EST,60.0,21.84,16.9,20.9,0.0,-,0,1,59.35,323
0,HRL220121P00022500,2020-02-21 12:43PM EST,22.5,0.15,0.0,0.75,0.0,-,22,25,38.04,694
1,HRL220121P00025000,2019-12-30 3:54PM EST,25.0,0.47,0.1,0.75,0.0,-,2,7,33.13,694
2,HRL220121P00027500,2020-01-21 10:03AM EST,27.5,0.53,0.15,1.1,0.0,-,5,0,32.2,694
3,HRL220121P00030000,2020-02-24 10:51AM EST,30.0,1.0,0.8,1.25,0.0,-,2,15,28.96,694
4,HRL220121P00032500,2020-02-11 1:44PM EST,32.5,1.0,1.2,1.55,0.0,-,2,4,26.77,694
5,HRL220121P00035000,2020-01-30 3:54PM EST,35.0,1.2,1.7,2.1,0.0,-,2,13,25.77,694
6,HRL220121P00037500,2020-01-31 3:11PM EST,37.5,2.1,2.4,2.8,0.0,-,1,23,24.9,694
7,HRL220121P00040000,2020-01-23 3:55PM EST,40.0,2.6,3.1,4.2,0.0,-,3,0,26.59,694
8,HRL220121P00042500,2020-02-20 11:14AM EST,42.5,3.9,4.3,4.6,0.0,-,10,23,23.02,694
9,HRL220121P00045000,2020-01-30 3:03PM EST,45.0,5.44,5.7,6.2,0.74,+15.74%,2,15,24.0,694
10,HRL220121P00052500,2020-01-06 11:06AM EST,52.5,10.75,8.6,9.5,0.0,-,-,1,16.02,694
