,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,HST200320C00015000,2020-02-26 9:33AM EST,15.0,0.75,0.55,0.7,-1.25,-62.50%,1,0,44.24,22
1,HST200320C00016000,2020-02-26 12:32PM EST,16.0,0.25,0.10,0.25,0.0,-,10,16,38.67,22
2,HST200320C00017000,2020-02-25 10:18AM EST,17.0,0.05,0.00,0.1,-0.04,-44.44%,3,1352,40.82,22
3,HST200320C00018000,2020-02-25 2:04PM EST,18.0,0.03,0.00,0.1,0.0,-,10,338,53.52,22
4,HST200320C00019000,2020-02-13 4:41PM EST,19.0,0.05,-,0.1,0.0,-,-,1,64.45,22
0,HST200417C00016000,2020-02-26 1:10PM EST,16.0,0.35,0.25,0.4,-0.76,-68.47%,820,31,33.79,50
1,HST200417C00017000,2020-02-21 11:08AM EST,17.0,0.35,0.0,0.15,0.0,-,1,100,31.54,50
2,HST200417C00018000,2020-02-21 1:48PM EST,18.0,0.05,0.0,0.1,-0.13,-72.22%,2,545,36.33,50
3,HST200417C00019000,2020-01-30 1:07PM EST,19.0,0.05,0.0,0.1,0.0,-,13,406,43.95,50
4,HST200417C00020000,2019-12-30 3:34PM EST,20.0,0.23,0.0,0.05,0.0,-,2,0,43.75,50
0,HST200717C00014000,2020-02-19 3:28PM EST,14.0,3.1,1.55,1.85,0.0,-,-,3,34.86,141
1,HST200717C00015000,2020-02-03 3:33PM EST,15.0,2.25,0.95,1.2,0.0,-,6,6,31.49,141
2,HST200717C00016000,2020-02-21 1:32PM EST,16.0,0.6,0.5,0.75,-0.97,-61.78%,2,1,30.18,141
3,HST200717C00017000,2020-02-04 12:52PM EST,17.0,0.79,0.2,0.45,0.0,-,15,28,29.59,141
4,HST200717C00018000,2020-02-25 10:17AM EST,18.0,0.22,0.05,0.25,0.0,-,1,36,28.91,141
5,HST200717C00019000,2020-01-27 12:19PM EST,19.0,0.14,0.0,0.15,0.0,-,130,131,29.4,141
6,HST200717C00020000,2020-01-21 11:55AM EST,20.0,0.1,0.0,0.0,0.0,-,100,0,12.5,141
7,HST200717C00021000,2019-12-30 2:28PM EST,21.0,0.26,0.0,0.1,0.0,-,-,100,34.38,141
0,HST210115C00010000,2019-12-16 9:45AM EST,10.0,7.91,7.5,8.0,0.0,-,-,4,108.11,323
1,HST210115C00013000,2020-02-14 11:20AM EST,13.0,3.98,2.5,2.85,0.0,-,3,22,31.06,323
2,HST210115C00015000,2020-01-21 10:02AM EST,15.0,3.01,2.3,2.65,0.0,-,6,0,46.88,323
3,HST210115C00018000,2020-02-18 1:30PM EST,18.0,0.7,0.2,0.6,0.0,-,1,474,27.2,323
4,HST210115C00020000,2020-02-21 12:49PM EST,20.0,0.32,0.1,0.2,0.0,-,11,0,24.22,323
5,HST210115C00022000,2020-01-21 10:07AM EST,22.0,0.13,0.05,0.2,0.0,-,8,134,29.54,323
6,HST210115C00025000,2020-02-18 9:30AM EST,25.0,0.05,0.15,0.1,0.0,-,2,0,31.35,323
0,HST220121C00013000,2019-11-27 10:33AM EST,13.0,4.67,4.9,6.4,0.0,-,1,6,60.84,694
1,HST220121C00015000,2020-01-17 11:31AM EST,15.0,3.38,2.35,2.75,0.0,-,1,4,33.28,694
2,HST220121C00017000,2020-02-13 1:54PM EST,17.0,1.7,0.45,1.75,0.0,-,5,13,29.86,694
3,HST220121C00020000,2020-02-06 11:06AM EST,20.0,0.61,0.25,0.5,0.0,-,17,0,22.17,694
4,HST220121C00025000,2020-01-27 3:59PM EST,25.0,0.1,0.0,0.25,0.0,-,-,0,26.17,694
5,HST220121C00030000,2020-02-18 9:44AM EST,30.0,0.05,0.0,0.15,0.0,-,-,0,29.2,694
