,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,HST200320P00014000,2020-02-26 10:36AM EST,14.0,0.1,0.1,0.15,-0.05,-33.33%,34,-,34.38,22
1,HST200320P00015000,2020-02-25 3:52PM EST,15.0,0.35,0.25,0.35,0.01,+2.94%,2,-,24.02,22
2,HST200320P00016000,2020-02-26 1:33PM EST,16.0,0.95,0.85,1.05,0.2,+26.67%,14,183,25.2,22
4,HST200320P00018000,2020-01-28 10:19AM EST,18.0,1.25,2.55,3.0,0.0,-,1,10,42.97,22
0,HST200417P00013000,2019-10-03 10:53AM EST,13.0,0.24,0.1,0.25,0.0,-,-,0,44.53,50
1,HST200417P00014000,2020-02-04 1:30PM EST,14.0,0.3,0.2,0.4,0.22,+275.00%,20,98,37.4,50
2,HST200417P00015000,2020-02-26 12:41PM EST,15.0,0.55,0.6,0.8,-0.05,-8.33%,11,91,36.28,50
3,HST200417P00016000,2020-02-25 11:49AM EST,16.0,1.04,1.15,1.35,0.19,+22.35%,51,4361,33.3,50
4,HST200417P00017000,2020-02-26 12:19PM EST,17.0,1.95,2.0,2.25,0.25,+14.71%,1,1118,40.33,50
5,HST200417P00018000,2020-02-26 1:18PM EST,18.0,2.86,2.8,3.1,0.47,+19.67%,2,48,39.84,50
6,HST200417P00019000,2020-02-24 9:39AM EST,19.0,3.8,3.7,4.1,1.42,+59.66%,5,0,47.85,50
0,HST200717P00013000,2019-11-25 12:14AM EST,13.0,0.25,0.0,0.15,0.0,-,-,1,22.36,141
1,HST200717P00014000,2020-02-26 1:31PM EST,14.0,0.6,0.7,0.8,0.4,+200.00%,221,5,34.62,141
2,HST200717P00015000,2020-02-25 3:43PM EST,15.0,0.88,1.0,1.2,0.0,-,3,38,32.57,141
3,HST200717P00016000,2020-02-26 1:39PM EST,16.0,1.72,1.6,1.75,0.92,+115.00%,15318,52,31.3,141
4,HST200717P00017000,2020-02-24 12:19PM EST,17.0,1.73,2.2,2.6,0.0,-,1,1255,35.35,141
0,HST210115P00010000,2020-01-23 3:29PM EST,10.0,0.12,0.05,0.2,0.0,-,-,2,34.57,323
1,HST210115P00013000,2020-02-25 3:50PM EST,13.0,0.72,0.75,0.95,-0.03,-4.00%,4,240,34.08,323
2,HST210115P00015000,2020-02-25 11:51AM EST,15.0,1.4,1.4,1.85,0.0,-,6,0,33.2,323
3,HST210115P00018000,2020-02-24 12:31PM EST,18.0,2.8,3.6,4.1,0.0,-,16,0,37.74,323
4,HST210115P00020000,2020-02-24 10:27AM EST,20.0,4.3,5.1,5.8,0.0,-,5,236,39.99,323
0,HST220121P00003000,2020-02-04 12:53PM EST,3.0,0.05,0.0,0.15,0.0,-,3,4,64.06,694
1,HST220121P00010000,2020-02-25 1:15PM EST,10.0,0.52,0.2,0.85,0.0,-,5,7,39.28,694
2,HST220121P00013000,2020-02-25 1:15PM EST,13.0,1.31,0.95,1.95,0.0,-,5,11,37.45,694
3,HST220121P00015000,2020-02-05 2:35PM EST,15.0,1.55,2.15,2.9,0.0,-,1,79,35.67,694
4,HST220121P00017000,2020-01-27 12:06AM EST,17.0,2.4,3.5,4.1,0.0,-,-,3,34.6,694
5,HST220121P00020000,2019-10-20 11:00PM EST,20.0,4.85,4.1,5.4,0.0,-,-,3,21.24,694
6,HST220121P00022000,2019-12-27 2:01PM EST,22.0,4.6,6.6,7.4,0.0,-,33,33,25.34,694
