,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,HUM200228P00285000,2020-01-21 3:48PM EST,285.0,0.25,0.0,0.0,0.0,-,-,0,25.0,1
1,HUM200228P00290000,2020-02-03 1:55PM EST,290.0,2.05,0.0,1.6,0.0,-,-,1,86.96,1
2,HUM200228P00300000,2020-02-25 1:23PM EST,300.0,0.25,0.8,2.3,0.0,-,1,1,80.22,1
3,HUM200228P00305000,2020-02-26 10:25AM EST,305.0,0.75,0.95,2.9,-1.35,-64.29%,5,67,73.8,1
4,HUM200228P00310000,2020-02-26 10:12AM EST,310.0,0.95,1.15,4.1,-0.02,-2.06%,76,51,69.63,1
5,HUM200228P00315000,2020-02-26 1:37PM EST,315.0,3.08,2.45,4.3,2.08,+208.00%,13,80,63.31,1
6,HUM200228P00320000,2020-02-26 1:37PM EST,320.0,4.53,4.3,5.2,1.53,+51.00%,19,69,59.86,1
7,HUM200228P00322500,2020-02-26 11:24AM EST,322.5,2.37,4.9,6.4,-1.14,-32.48%,1,17,58.46,1
8,HUM200228P00325000,2020-02-26 12:59PM EST,325.0,4.5,6.3,7.4,0.2,+4.65%,54,42,58.45,1
9,HUM200228P00327500,2020-02-25 1:49PM EST,327.5,5.5,7.7,8.8,1.4,+34.15%,34,0,58.91,1
10,HUM200228P00330000,2020-02-26 1:36PM EST,330.0,8.6,9.0,10.2,2.9,+50.88%,51,115,57.72,1
11,HUM200228P00332500,2020-02-25 3:03PM EST,332.5,5.4,10.1,11.8,0.0,-,50,42,55.15,1
12,HUM200228P00335000,2020-02-25 2:12PM EST,335.0,6.8,11.2,13.7,-1.4,-17.07%,2,0,52.34,1
13,HUM200228P00337500,2020-02-24 2:25PM EST,337.5,3.4,14.0,15.8,0.0,-,114,0,58.18,1
14,HUM200228P00340000,2020-02-25 9:34AM EST,340.0,10.53,15.1,17.2,2.23,+26.87%,2,43,61.96,1
15,HUM200228P00342500,2020-02-25 9:34AM EST,342.5,10.61,17.2,19.7,-2.11,-16.59%,1,18,50.93,1
16,HUM200228P00345000,2020-02-25 12:32PM EST,345.0,13.15,20.1,23.1,1.45,+12.39%,4,27,65.43,1
17,HUM200228P00347500,2020-02-24 1:36PM EST,347.5,7.2,21.5,25.3,0.0,-,12,16,59.52,1
18,HUM200228P00350000,2020-02-26 1:36PM EST,350.0,26.1,24.2,27.7,20.3,+350.00%,1,41,64.94,1
19,HUM200228P00352500,2020-02-24 11:29AM EST,352.5,19.42,26.3,30.3,10.32,+113.41%,3,29,66.46,1
20,HUM200228P00355000,2020-02-25 1:12PM EST,355.0,20.18,28.7,32.8,0.0,-,7,21,69.58,1
21,HUM200228P00357500,2020-02-24 2:25PM EST,357.5,12.0,30.6,34.1,0.0,-,3,0,89.53,1
22,HUM200228P00360000,2020-02-25 3:05PM EST,360.0,24.6,33.7,37.7,0.0,-,2,26,76.51,1
23,HUM200228P00362500,2020-02-25 1:11PM EST,362.5,27.02,36.1,40.0,0.0,-,55,0,76.51,1
24,HUM200228P00365000,2020-02-24 2:41PM EST,365.0,16.3,37.9,41.8,0.0,-,10,0,106.15,1
25,HUM200228P00367500,2020-02-25 3:34PM EST,367.5,34.74,41.1,45.1,-2.66,-7.11%,2,63,85.35,1
26,HUM200228P00370000,2020-02-24 1:58PM EST,370.0,21.4,43.6,47.6,0.0,-,3,60,88.96,1
27,HUM200228P00372500,2020-02-26 1:08PM EST,372.5,43.7,45.7,49.2,15.1,+52.80%,21,46,117.14,1
28,HUM200228P00375000,2020-02-26 10:40AM EST,375.0,43.0,48.2,51.0,7.2,+20.11%,23,29,106.74,1
29,HUM200228P00377500,2020-02-24 3:11PM EST,377.5,27.24,50.3,54.4,0.0,-,2,3,128.91,1
30,HUM200228P00380000,2020-02-21 9:39AM EST,380.0,44.9,53.6,57.6,31.6,+237.59%,2,6,103.03,1
31,HUM200228P00382500,2020-02-20 2:58PM EST,382.5,12.9,55.0,59.3,0.0,-,1,0,135.01,1
32,HUM200228P00385000,2020-02-14 9:48AM EST,385.0,11.7,57.9,62.2,0.0,-,2,0,80.66,1
33,HUM200228P00392500,2020-02-13 12:27PM EST,392.5,16.1,65.3,69.4,0.0,-,-,0,152.2,1
34,HUM200228P00435000,2020-02-18 12:07AM EST,435.0,59.8,108.3,112.6,0.0,-,2,-,162.11,1
0,HUM200306P00280000,2020-01-28 10:39AM EST,280.0,0.9,0.0,2.85,0.0,-,-,1,67.53,8
1,HUM200306P00290000,2020-02-26 12:44PM EST,290.0,1.9,1.1,2.15,1.3,+216.67%,1,4,57.32,8
2,HUM200306P00305000,2020-02-26 12:55PM EST,305.0,3.6,3.8,4.7,2.6,+260.00%,5,10,55.92,8
3,HUM200306P00310000,2020-02-26 1:37PM EST,310.0,5.43,4.5,6.0,3.18,+141.33%,43,18,53.44,8
4,HUM200306P00315000,2020-02-25 3:52PM EST,315.0,3.92,6.4,7.8,-1.48,-27.41%,2,0,54.09,8
5,HUM200306P00320000,2020-02-26 9:30AM EST,320.0,4.35,8.4,9.6,2.17,+99.54%,4,1,53.28,8
6,HUM200306P00325000,2020-02-20 3:04PM EST,325.0,3.2,10.0,11.8,0.0,-,1,0,50.9,8
7,HUM200306P00327500,2020-02-21 2:44PM EST,327.5,8.37,10.8,12.7,-0.53,-5.96%,1,0,53.06,8
8,HUM200306P00330000,2020-02-26 12:16PM EST,330.0,11.92,13.1,14.4,3.02,+33.93%,8,105,51.32,8
9,HUM200306P00332500,2020-02-26 1:35PM EST,332.5,14.32,14.4,15.8,3.02,+26.73%,2,36,50.54,8
10,HUM200306P00335000,2020-02-26 10:44AM EST,335.0,12.21,15.3,16.6,-0.39,-3.10%,81,0,50.06,8
11,HUM200306P00337500,2020-02-25 3:54PM EST,337.5,13.8,17.3,18.6,0.0,-,33,13,51.65,8
12,HUM200306P00340000,2020-02-25 3:56PM EST,340.0,14.81,18.8,20.3,0.03,+0.20%,1,0,51.38,8
13,HUM200306P00342500,2020-02-26 11:33AM EST,342.5,16.6,20.8,22.6,4.39,+35.95%,3,0,53.96,8
14,HUM200306P00345000,2020-02-26 11:37AM EST,345.0,17.8,22.1,24.7,-0.2,-1.11%,3,17,55.24,8
15,HUM200306P00347500,2020-02-26 10:17AM EST,347.5,20.1,23.8,26.4,8.1,+67.50%,3,23,53.92,8
16,HUM200306P00350000,2020-02-24 3:15PM EST,350.0,15.65,25.2,28.5,0.0,-,1,12,54.59,8
17,HUM200306P00352500,2020-02-26 11:30AM EST,352.5,24.5,27.8,30.4,8.9,+57.05%,2,26,53.63,8
18,HUM200306P00355000,2020-02-25 10:08AM EST,355.0,14.4,30.8,32.8,0.0,-,31,22,55.76,8
19,HUM200306P00357500,2020-02-25 10:08AM EST,357.5,29.4,31.4,34.5,13.38,+83.52%,5,0,52.43,8
20,HUM200306P00360000,2020-02-24 3:48PM EST,360.0,30.9,34.2,37.8,14.5,+88.41%,5,102,61.22,8
21,HUM200306P00362500,2020-02-25 9:59AM EST,362.5,20.0,36.5,40.5,0.0,-,4,24,65.34,8
22,HUM200306P00365000,2020-02-25 10:53AM EST,365.0,27.0,38.9,42.8,0.0,-,1,20,66.46,8
23,HUM200306P00367500,2020-02-25 10:53AM EST,367.5,29.2,41.2,45.3,0.0,-,4,11,68.99,8
24,HUM200306P00370000,2020-02-26 9:30AM EST,370.0,36.65,43.7,47.4,1.78,+5.10%,2,14,68.21,8
25,HUM200306P00372500,2020-02-25 12:25PM EST,372.5,37.12,46.1,50.1,0.0,-,8,13,50.71,8
26,HUM200306P00375000,2020-02-25 9:42AM EST,375.0,31.6,48.6,52.6,0.0,-,2,7,52.64,8
27,HUM200306P00377500,2020-02-13 2:46PM EST,377.5,12.3,50.3,54.5,0.0,-,2,10,71.58,8
28,HUM200306P00380000,2020-02-18 10:19AM EST,380.0,11.6,53.5,57.4,0.0,-,1,0,53.61,8
29,HUM200306P00382500,2020-02-18 12:07AM EST,382.5,12.7,56.0,60.0,0.0,-,2,0,56.4,8
0,HUM200320P00260000,2020-02-26 11:06AM EST,260.0,0.95,1.15,1.6,0.25,+35.71%,24,118,59.16,22
1,HUM200320P00265000,2020-02-26 12:12PM EST,265.0,1.25,1.25,1.95,0.1,+8.70%,1,0,57.18,22
2,HUM200320P00270000,2020-02-25 11:56AM EST,270.0,0.5,1.55,2.15,0.0,-,10,0,55.1,22
3,HUM200320P00275000,2020-02-04 11:35AM EST,275.0,0.55,1.5,2.7,0.0,-,4,0,52.73,22
4,HUM200320P00280000,2020-02-24 12:43PM EST,280.0,1.33,1.65,3.0,0.0,-,1,0,54.04,22
5,HUM200320P00285000,2020-02-13 10:26AM EST,285.0,0.25,2.25,3.7,0.0,-,-,1,53.2,22
6,HUM200320P00290000,2020-02-24 1:24PM EST,290.0,1.62,3.1,4.3,0.0,-,11,50,51.29,22
