,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ICE200320P00065000,2019-12-11 2:28PM EST,65.0,0.15,0.0,0.35,0.0,-,1,5,75.98,22
1,ICE200320P00070000,2019-12-11 2:14PM EST,70.0,0.21,0.0,0.2,0.0,-,1,0,57.03,22
2,ICE200320P00075000,2020-02-06 1:42PM EST,75.0,0.25,0.0,0.15,0.0,-,13,243,48.54,22
3,ICE200320P00080000,2020-02-24 3:39PM EST,80.0,0.1,0.0,0.3,0.0,-,5,0,42.38,22
4,ICE200320P00082500,2020-02-14 12:49PM EST,82.5,0.35,0.15,0.2,0.2,+133.33%,10,0,32.62,22
5,ICE200320P00085000,2020-02-25 3:33PM EST,85.0,0.4,0.25,0.35,-0.15,-27.27%,1000,1469,30.57,22
6,ICE200320P00087500,2020-02-26 10:23AM EST,87.5,0.55,0.55,0.65,-0.37,-40.22%,6,1141,29.2,22
7,ICE200320P00090000,2020-02-26 11:41AM EST,90.0,0.95,0.95,1.1,-0.64,-40.25%,15,0,27.22,22
8,ICE200320P00092500,2020-02-26 12:55PM EST,92.5,1.7,1.7,1.85,-0.85,-33.33%,101,1107,25.59,22
9,ICE200320P00095000,2020-02-26 12:54PM EST,95.0,2.85,2.9,3.2,-0.25,-8.06%,40,458,26.34,22
10,ICE200320P00097500,2020-02-25 11:50AM EST,97.5,4.9,4.5,4.8,0.0,-,13,427,25.71,22
11,ICE200320P00100000,2020-02-18 10:08AM EST,100.0,4.6,6.4,6.9,0.0,-,6,159,27.64,22
0,ICE200417P00075000,2020-02-25 3:40PM EST,75.0,0.25,0.05,0.4,0.0,-,-,-,40.28,50
1,ICE200417P00080000,2020-02-25 1:58PM EST,80.0,0.4,0.2,0.4,0.0,-,-,-,30.86,50
2,ICE200417P00085000,2020-02-25 1:58PM EST,85.0,0.98,0.65,0.75,0.0,-,-,-,26.29,50
3,ICE200417P00087500,2020-02-26 10:23AM EST,87.5,1.12,1.0,1.15,0.12,+12.00%,5,-,25.0,50
4,ICE200417P00090000,2020-02-26 10:25AM EST,90.0,1.7,1.7,1.85,-0.8,-32.00%,5,12,24.68,50
5,ICE200417P00092500,2020-02-26 10:32AM EST,92.5,2.6,2.35,2.55,-0.8,-23.53%,40,-,22.46,50
6,ICE200417P00095000,2020-02-25 12:48PM EST,95.0,4.6,3.5,3.7,0.0,-,-,-,21.49,50
7,ICE200417P00097500,2020-02-25 10:10AM EST,97.5,5.0,5.2,5.6,0.0,-,2,2,23.79,50
