,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,IEX200320P00150000,2020-02-25 6:49PM EST,150.0,1.0,1.2,1.45,0.0,-,-,3,30.99,22
1,IEX200320P00160000,2020-02-21 3:02PM EST,160.0,3.3,3.7,4.1,2.65,+407.69%,3,0,25.03,22
2,IEX200320P00165000,2020-02-25 3:42PM EST,165.0,5.3,6.3,7.1,0.0,-,1,2,24.79,22
3,IEX200320P00170000,2020-02-25 11:03AM EST,170.0,5.29,10.2,11.8,0.0,-,3,8,31.89,22
4,IEX200320P00180000,2020-02-10 3:15PM EST,180.0,6.9,17.5,22.4,0.0,-,-,3,52.45,22
0,IEX200417P00115000,2019-10-09 1:37PM EST,115.0,1.35,0.0,1.0,0.0,-,-,15,51.86,50
1,IEX200417P00125000,2020-01-09 12:55PM EST,125.0,0.37,0.0,0.75,0.0,-,10,10,44.58,50
2,IEX200417P00150000,2020-02-24 9:41AM EST,150.0,1.0,2.15,2.35,0.0,-,1,0,26.09,50
3,IEX200417P00155000,2020-02-25 2:27PM EST,155.0,2.65,3.4,4.1,0.0,-,2,7,26.51,50
4,IEX200417P00160000,2020-02-05 10:25AM EST,160.0,3.9,5.1,5.6,0.0,-,1,0,23.24,50
5,IEX200417P00165000,2020-02-11 3:06PM EST,165.0,4.55,7.9,8.7,0.0,-,4,0,23.95,50
6,IEX200417P00170000,2020-02-25 2:28PM EST,170.0,8.86,11.1,12.2,0.0,-,12,9,23.73,50
7,IEX200417P00175000,2020-02-25 11:17AM EST,175.0,13.0,15.1,16.6,0.0,-,5,4,25.92,50
8,IEX200417P00180000,2020-02-18 12:12AM EST,180.0,8.6,18.4,21.1,0.0,-,-,0,27.25,50
0,IEX200717P00090000,2020-01-03 1:36PM EST,90.0,0.4,0.1,5.0,0.0,-,1,1,72.06,141
1,IEX200717P00115000,2019-11-22 2:15PM EST,115.0,1.25,0.0,1.1,0.0,-,10,20,37.13,141
2,IEX200717P00130000,2020-01-13 12:34PM EST,130.0,1.2,0.55,1.8,0.0,-,-,10,29.83,141
3,IEX200717P00155000,2020-01-29 3:28PM EST,155.0,3.86,6.4,7.4,0.0,-,-,1,24.68,141
4,IEX200717P00160000,2020-02-25 11:03AM EST,160.0,5.67,8.5,9.2,0.0,-,3,3,23.04,141
5,IEX200717P00165000,2020-02-25 12:12PM EST,165.0,7.8,11.0,11.9,0.0,-,10,20,22.65,141
6,IEX200717P00170000,2020-02-24 10:17AM EST,170.0,8.9,13.2,15.2,0.0,-,1,1,22.75,141
7,IEX200717P00175000,2020-02-18 12:12AM EST,175.0,11.4,17.4,18.1,0.0,-,1,0,20.58,141
0,IEX201016P00155000,2020-02-24 3:01PM EST,155.0,5.5,8.2,9.2,0.0,-,-,5,22.95,232
1,IEX201016P00170000,2020-02-24 10:54AM EST,170.0,11.1,14.2,14.9,0.0,-,-,-,17.16,232
