,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,IFF200320C00125000,2020-02-24 12:47PM EST,125.0,5.51,3.0,3.7,0.0,-,1,0,36.99,22
1,IFF200320C00130000,2020-02-26 12:17PM EST,130.0,1.9,1.15,1.8,-0.98,-34.03%,6,62,34.77,22
2,IFF200320C00135000,2020-02-25 2:27PM EST,135.0,0.55,0.5,0.75,0.0,-,7,0,33.3,22
3,IFF200320C00140000,2020-02-26 1:37PM EST,140.0,0.25,0.15,0.25,-0.2,-44.44%,1,355,31.84,22
4,IFF200320C00145000,2020-02-24 10:27AM EST,145.0,0.23,0.0,0.15,0.0,-,2,0,34.86,22
5,IFF200320C00150000,2020-02-19 11:27AM EST,150.0,0.2,0.0,0.05,0.0,-,52,0,34.57,22
6,IFF200320C00155000,2020-02-18 9:53AM EST,155.0,0.1,0.0,4.8,0.0,-,3,9,87.48,22
7,IFF200320C00160000,2020-02-13 12:02PM EST,160.0,0.1,0.0,0.3,0.0,-,14,0,51.17,22
0,IFF200417C00120000,2020-02-24 12:47PM EST,120.0,9.82,6.8,7.7,0.0,-,-,1,33.7,50
1,IFF200417C00125000,2020-02-25 12:40PM EST,125.0,5.97,3.9,5.1,0.0,-,10,10,32.74,50
2,IFF200417C00130000,2020-02-25 1:59PM EST,130.0,2.85,2.9,3.6,0.0,-,-,-,34.47,50
0,IFF200515C00090000,2020-01-14 2:51PM EST,90.0,40.2,49.2,54.1,0.0,-,1,1,169.74,78
1,IFF200515C00095000,2019-12-26 1:49PM EST,95.0,32.3,40.2,44.4,0.0,-,1,0,130.62,78
2,IFF200515C00105000,2020-02-04 1:01PM EST,105.0,35.3,19.5,20.9,0.0,-,1,8,44.24,78
3,IFF200515C00110000,2020-02-24 3:10PM EST,110.0,19.0,15.5,17.1,0.0,-,1,0,42.77,78
4,IFF200515C00115000,2020-02-06 12:26PM EST,115.0,29.74,12.5,13.5,0.0,-,1,0,40.7,78
5,IFF200515C00120000,2020-02-20 9:47AM EST,120.0,16.0,8.8,9.7,0.0,-,10,0,36.13,78
6,IFF200515C00125000,2020-02-20 1:50PM EST,125.0,12.02,6.2,7.1,0.0,-,1,75,35.12,78
7,IFF200515C00130000,2020-02-20 9:41AM EST,130.0,5.5,4.4,5.2,0.0,-,2,0,35.11,78
8,IFF200515C00135000,2020-02-21 3:38PM EST,135.0,3.7,2.85,3.6,0.0,-,1,0,34.49,78
9,IFF200515C00140000,2020-02-25 3:53PM EST,140.0,2.11,1.6,2.25,0.19,+9.90%,3,330,33.02,78
10,IFF200515C00145000,2020-02-21 11:32AM EST,145.0,2.35,1.0,1.4,0.0,-,1,0,32.32,78
11,IFF200515C00150000,2020-01-28 3:09PM EST,150.0,0.85,0.65,1.4,-2.19,-72.04%,6,0,36.6,78
12,IFF200515C00155000,2020-02-14 12:22PM EST,155.0,0.41,0.4,1.8,0.0,-,7,0,43.7,78
13,IFF200515C00160000,2019-12-16 2:42PM EST,160.0,0.95,0.85,1.15,0.0,-,8,0,42.08,78
14,IFF200515C00165000,2019-11-29 10:17AM EST,165.0,2.25,0.4,2.65,0.0,-,11,0,57.57,78
15,IFF200515C00170000,2019-11-05 2:41PM EST,170.0,1.03,1.6,2.2,0.0,-,1,0,55.57,78
16,IFF200515C00175000,2019-11-08 9:30AM EST,175.0,1.3,0.25,0.55,0.0,-,10,0,44.34,78
17,IFF200515C00180000,2020-02-07 11:49AM EST,180.0,0.6,0.0,0.5,0.0,-,15,0,46.22,78
0,IFF200821C00090000,2020-02-18 12:12AM EST,90.0,46.4,34.2,36.8,0.0,-,1,0,51.11,176
1,IFF200821C00105000,2020-01-16 10:47AM EST,105.0,29.27,32.2,33.5,0.0,-,4,2,72.78,176
2,IFF200821C00110000,2020-02-25 3:08PM EST,110.0,18.52,20.0,20.8,0.0,-,-,-,41.46,176
3,IFF200821C00125000,2020-02-18 12:12AM EST,125.0,16.9,9.2,10.8,0.0,-,-,0,34.35,176
4,IFF200821C00130000,2020-02-11 1:36PM EST,130.0,7.48,7.1,7.9,0.0,-,1,0,31.59,176
5,IFF200821C00135000,2020-02-24 2:22PM EST,135.0,7.02,5.3,5.9,0.0,-,1,26,30.45,176
6,IFF200821C00140000,2020-02-24 3:36PM EST,140.0,5.14,3.7,4.3,0.0,-,2,15,29.49,176
7,IFF200821C00145000,2020-02-20 3:17PM EST,145.0,4.6,2.8,3.2,0.0,-,56,0,29.22,176
8,IFF200821C00150000,2020-02-14 3:22PM EST,150.0,2.6,2.05,2.6,0.0,-,1,0,30.07,176
9,IFF200821C00160000,2020-02-21 12:29PM EST,160.0,1.76,0.9,1.25,0.0,-,6,0,28.83,176
10,IFF200821C00165000,2020-01-14 2:37PM EST,165.0,1.35,1.6,2.15,0.0,-,-,2,36.18,176
11,IFF200821C00170000,2020-02-24 10:28AM EST,170.0,0.75,0.4,0.7,0.0,-,10,17,29.25,176
0,IFF201218C00090000,2019-12-17 3:16PM EST,90.0,32.9,42.1,47.0,0.0,-,-,0,66.0,295
1,IFF201218C00105000,2020-01-16 10:47AM EST,105.0,30.51,32.7,34.1,0.0,-,4,2,57.79,295
2,IFF201218C00110000,2020-02-04 3:27PM EST,110.0,33.67,20.2,21.9,0.0,-,2,5,34.94,295
3,IFF201218C00115000,2020-02-04 3:27PM EST,115.0,29.72,17.1,18.4,0.0,-,2,15,33.11,295
4,IFF201218C00120000,2020-01-31 3:28PM EST,120.0,27.1,14.5,15.5,0.0,-,1,4,32.18,295
5,IFF201218C00125000,2020-01-21 9:45AM EST,125.0,18.0,17.3,19.6,0.0,-,1,0,46.63,295
6,IFF201218C00130000,2020-02-06 10:41AM EST,130.0,10.01,9.8,10.6,0.0,-,3,0,30.59,295
7,IFF201218C00135000,2020-02-25 9:36AM EST,135.0,8.5,7.9,8.6,0.0,-,3,36,29.9,295
8,IFF201218C00140000,2020-02-25 9:44AM EST,140.0,8.3,6.1,7.0,0.0,-,1,0,29.55,295
9,IFF201218C00145000,2020-02-10 1:51PM EST,145.0,5.3,5.0,5.8,0.0,-,1,0,29.62,295
10,IFF201218C00150000,2020-02-10 12:56PM EST,150.0,4.7,3.9,4.6,0.0,-,400,0,29.18,295
11,IFF201218C00155000,2020-02-25 3:53PM EST,155.0,3.46,3.3,3.9,0.0,-,118,0,29.63,295
12,IFF201218C00160000,2020-02-21 11:49AM EST,160.0,3.7,2.5,3.0,0.0,-,2,3,29.04,295
13,IFF201218C00175000,2020-01-28 3:09PM EST,175.0,2.1,0.95,1.55,0.0,-,-,0,28.98,295
14,IFF201218C00180000,2020-02-20 2:45PM EST,180.0,1.35,0.8,1.15,0.0,-,16,27,28.48,295
15,IFF201218C00190000,2020-02-05 1:07PM EST,190.0,1.6,0.5,0.8,0.0,-,-,22,29.08,295
16,IFF201218C00195000,2020-02-05 12:34PM EST,195.0,1.2,0.2,1.75,0.0,-,-,10,36.05,295
